name,group,indexes,min_value_base_year,max_value_base_year,min_value_end_year,max_value_end_year,dist,interpolation_index,action
VariableCost,commodity_cost_biomass,"REGION1,DKBM00I00,1",4.655510125,4.655510125,3.7244081,5.58661215,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,DKBM00X00,1",2.327755063,2.327755063,1.8622040504,2.7933060756,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,DKBF00I00,1",27.51234251,27.51234251,19.872825648,29.809238472,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,DKBF00X00,1",25.01122047,25.01122047,18.066205136,27.099307704,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,FIBM00I00,1",4.655510125,4.655510125,3.7244081,5.58661215,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,FIBM00X00,1",2.327755063,2.327755063,1.8622040504,2.7933060756,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,FIBF00I00,1",27.51234251,27.51234251,19.872825648,29.809238472,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,FIBF00X00,1",25.01122047,25.01122047,18.066205136,27.099307704,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,NOBM00I00,1",4.655510125,4.655510125,3.7244081,5.58661215,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,NOBM00X00,1",2.327755063,2.327755063,1.8622040504,2.7933060756,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,NOBF00I00,1",27.51234251,27.51234251,19.872825648,29.809238472,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,NOBF00X00,1",25.01122047,25.01122047,18.066205136,27.099307704,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,SEBM00I00,1",4.655510125,4.655510125,3.7244081,5.58661215,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,SEBM00X00,1",2.327755063,2.327755063,1.8622040504,2.7933060756,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,SEBF00I00,1",27.51234251,27.51234251,19.872825648,29.809238472,unif,YEAR,interpolate
VariableCost,commodity_cost_biomass,"REGION1,SEBF00X00,1",25.01122047,25.01122047,18.066205136,27.099307704,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,DKNG00I00,1",6.13753634,6.13753634,11.63,18.78,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,DKNG00X00,1",5.523782706,5.523782706,11.63,18.78,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,DKCO00I00,1",2.61450974,2.61450974,1.67,4.81,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,FING00I00,1",6.13753634,6.13753634,11.63,18.78,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,FICO00I00,1",2.61450974,2.61450974,1.67,4.81,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,FICO00X00,1",2.353058766,2.353058766,1.67,4.81,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,NONG00I00,1",6.13753634,6.13753634,11.63,18.78,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,NONG00X00,1",5.523782706,5.523782706,11.63,18.78,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,NOCO00I00,1",2.61450974,2.61450974,1.67,4.81,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,SENG00I00,1",6.13753634,6.13753634,11.63,18.78,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,SECO00I00,1",2.61450974,2.61450974,1.67,4.81,unif,YEAR,interpolate
VariableCost,commodity_cost_fossil,"REGION1,SECO00X00,1",2.353058766,2.353058766,1.67,4.81,unif,YEAR,interpolate
CapitalCost,cost_ccs_biomass,"REGION1,DKBMCSPN2",5800.0,5800.0,4698.964475,6357.422525,unif,YEAR,interpolate
CapitalCost,cost_ccs_biomass,"REGION1,FIBMCSPN2",5800.0,5800.0,4698.964475,6357.422525,unif,YEAR,interpolate
