REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,DKSODIFH1,S01B1,2015,0.0
REGION1,DKSODIFH1,S01B1,2016,0.0
REGION1,DKSODIFH1,S01B1,2017,0.0
REGION1,DKSODIFH1,S01B1,2018,0.0
REGION1,DKSODIFH1,S01B1,2019,0.0
REGION1,DKSODIFH1,S01B1,2020,0.0
REGION1,DKSODIFH1,S01B1,2021,0.0
REGION1,DKSODIFH1,S01B1,2022,0.0
REGION1,DKSODIFH1,S01B1,2023,0.0
REGION1,DKSODIFH1,S01B1,2024,0.0
REGION1,DKSODIFH1,S01B1,2025,0.0
REGION1,DKSODIFH1,S01B1,2026,0.0
REGION1,DKSODIFH1,S01B1,2027,0.0
REGION1,DKSODIFH1,S01B1,2028,0.0
REGION1,DKSODIFH1,S01B1,2029,0.0
REGION1,DKSODIFH1,S01B1,2030,0.0
REGION1,DKSODIFH1,S01B1,2031,0.0
REGION1,DKSODIFH1,S01B1,2032,0.0
REGION1,DKSODIFH1,S01B1,2033,0.0
REGION1,DKSODIFH1,S01B1,2034,0.0
REGION1,DKSODIFH1,S01B1,2035,0.0
REGION1,DKSODIFH1,S01B1,2036,0.0
REGION1,DKSODIFH1,S01B1,2037,0.0
REGION1,DKSODIFH1,S01B1,2038,0.0
REGION1,DKSODIFH1,S01B1,2039,0.0
REGION1,DKSODIFH1,S01B1,2040,0.0
REGION1,DKSODIFH1,S01B1,2041,0.0
REGION1,DKSODIFH1,S01B1,2042,0.0
REGION1,DKSODIFH1,S01B1,2043,0.0
REGION1,DKSODIFH1,S01B1,2044,0.0
REGION1,DKSODIFH1,S01B1,2045,0.0
REGION1,DKSODIFH1,S01B1,2046,0.0
REGION1,DKSODIFH1,S01B1,2047,0.0
REGION1,DKSODIFH1,S01B1,2048,0.0
REGION1,DKSODIFH1,S01B1,2049,0.0
REGION1,DKSODIFH1,S01B1,2050,0.0
REGION1,DKSODIFH1,S01B1,2051,0.0
REGION1,DKSODIFH1,S01B1,2052,0.0
REGION1,DKSODIFH1,S01B1,2053,0.0
REGION1,DKSODIFH1,S01B1,2054,0.0
REGION1,DKSODIFH1,S01B1,2055,0.0
REGION1,DKSODIFH1,S01B1,2056,0.0
REGION1,DKSODIFH1,S01B1,2057,0.0
REGION1,DKSODIFH1,S01B1,2058,0.0
REGION1,DKSODIFH1,S01B1,2059,0.0
REGION1,DKSODIFH1,S01B1,2060,0.0
REGION1,DKSODIFH1,S01B2,2015,0.070175059
REGION1,DKSODIFH1,S01B2,2016,0.070175059
REGION1,DKSODIFH1,S01B2,2017,0.070175059
REGION1,DKSODIFH1,S01B2,2018,0.070175059
REGION1,DKSODIFH1,S01B2,2019,0.070175059
REGION1,DKSODIFH1,S01B2,2020,0.070175059
REGION1,DKSODIFH1,S01B2,2021,0.070175059
REGION1,DKSODIFH1,S01B2,2022,0.070175059
REGION1,DKSODIFH1,S01B2,2023,0.070175059
REGION1,DKSODIFH1,S01B2,2024,0.070175059
REGION1,DKSODIFH1,S01B2,2025,0.070175059
REGION1,DKSODIFH1,S01B2,2026,0.070175059
REGION1,DKSODIFH1,S01B2,2027,0.070175059
REGION1,DKSODIFH1,S01B2,2028,0.070175059
REGION1,DKSODIFH1,S01B2,2029,0.070175059
REGION1,DKSODIFH1,S01B2,2030,0.070175059
REGION1,DKSODIFH1,S01B2,2031,0.070175059
REGION1,DKSODIFH1,S01B2,2032,0.070175059
REGION1,DKSODIFH1,S01B2,2033,0.070175059
REGION1,DKSODIFH1,S01B2,2034,0.070175059
REGION1,DKSODIFH1,S01B2,2035,0.070175059
REGION1,DKSODIFH1,S01B2,2036,0.070175059
REGION1,DKSODIFH1,S01B2,2037,0.070175059
REGION1,DKSODIFH1,S01B2,2038,0.070175059
REGION1,DKSODIFH1,S01B2,2039,0.070175059
REGION1,DKSODIFH1,S01B2,2040,0.070175059
REGION1,DKSODIFH1,S01B2,2041,0.070175059
REGION1,DKSODIFH1,S01B2,2042,0.070175059
REGION1,DKSODIFH1,S01B2,2043,0.070175059
REGION1,DKSODIFH1,S01B2,2044,0.070175059
REGION1,DKSODIFH1,S01B2,2045,0.070175059
REGION1,DKSODIFH1,S01B2,2046,0.070175059
REGION1,DKSODIFH1,S01B2,2047,0.070175059
REGION1,DKSODIFH1,S01B2,2048,0.070175059
REGION1,DKSODIFH1,S01B2,2049,0.070175059
REGION1,DKSODIFH1,S01B2,2050,0.070175059
REGION1,DKSODIFH1,S01B2,2051,0.070175059
REGION1,DKSODIFH1,S01B2,2052,0.070175059
REGION1,DKSODIFH1,S01B2,2053,0.070175059
REGION1,DKSODIFH1,S01B2,2054,0.070175059
REGION1,DKSODIFH1,S01B2,2055,0.070175059
REGION1,DKSODIFH1,S01B2,2056,0.070175059
REGION1,DKSODIFH1,S01B2,2057,0.070175059
REGION1,DKSODIFH1,S01B2,2058,0.070175059
REGION1,DKSODIFH1,S01B2,2059,0.070175059
REGION1,DKSODIFH1,S01B2,2060,0.070175059
REGION1,DKSODIFH1,S01B3,2015,0.0
REGION1,DKSODIFH1,S01B3,2016,0.0
REGION1,DKSODIFH1,S01B3,2017,0.0
REGION1,DKSODIFH1,S01B3,2018,0.0
REGION1,DKSODIFH1,S01B3,2019,0.0
REGION1,DKSODIFH1,S01B3,2020,0.0
REGION1,DKSODIFH1,S01B3,2021,0.0
REGION1,DKSODIFH1,S01B3,2022,0.0
REGION1,DKSODIFH1,S01B3,2023,0.0
REGION1,DKSODIFH1,S01B3,2024,0.0
REGION1,DKSODIFH1,S01B3,2025,0.0
REGION1,DKSODIFH1,S01B3,2026,0.0
REGION1,DKSODIFH1,S01B3,2027,0.0
REGION1,DKSODIFH1,S01B3,2028,0.0
REGION1,DKSODIFH1,S01B3,2029,0.0
REGION1,DKSODIFH1,S01B3,2030,0.0
REGION1,DKSODIFH1,S01B3,2031,0.0
REGION1,DKSODIFH1,S01B3,2032,0.0
REGION1,DKSODIFH1,S01B3,2033,0.0
REGION1,DKSODIFH1,S01B3,2034,0.0
REGION1,DKSODIFH1,S01B3,2035,0.0
REGION1,DKSODIFH1,S01B3,2036,0.0
REGION1,DKSODIFH1,S01B3,2037,0.0
REGION1,DKSODIFH1,S01B3,2038,0.0
REGION1,DKSODIFH1,S01B3,2039,0.0
REGION1,DKSODIFH1,S01B3,2040,0.0
REGION1,DKSODIFH1,S01B3,2041,0.0
REGION1,DKSODIFH1,S01B3,2042,0.0
REGION1,DKSODIFH1,S01B3,2043,0.0
REGION1,DKSODIFH1,S01B3,2044,0.0
REGION1,DKSODIFH1,S01B3,2045,0.0
REGION1,DKSODIFH1,S01B3,2046,0.0
REGION1,DKSODIFH1,S01B3,2047,0.0
REGION1,DKSODIFH1,S01B3,2048,0.0
REGION1,DKSODIFH1,S01B3,2049,0.0
REGION1,DKSODIFH1,S01B3,2050,0.0
REGION1,DKSODIFH1,S01B3,2051,0.0
REGION1,DKSODIFH1,S01B3,2052,0.0
REGION1,DKSODIFH1,S01B3,2053,0.0
REGION1,DKSODIFH1,S01B3,2054,0.0
REGION1,DKSODIFH1,S01B3,2055,0.0
REGION1,DKSODIFH1,S01B3,2056,0.0
REGION1,DKSODIFH1,S01B3,2057,0.0
REGION1,DKSODIFH1,S01B3,2058,0.0
REGION1,DKSODIFH1,S01B3,2059,0.0
REGION1,DKSODIFH1,S01B3,2060,0.0
REGION1,DKSODIFH1,S02B1,2015,0.002696467
REGION1,DKSODIFH1,S02B1,2016,0.002696467
REGION1,DKSODIFH1,S02B1,2017,0.002696467
REGION1,DKSODIFH1,S02B1,2018,0.002696467
REGION1,DKSODIFH1,S02B1,2019,0.002696467
REGION1,DKSODIFH1,S02B1,2020,0.002696467
REGION1,DKSODIFH1,S02B1,2021,0.002696467
REGION1,DKSODIFH1,S02B1,2022,0.002696467
REGION1,DKSODIFH1,S02B1,2023,0.002696467
REGION1,DKSODIFH1,S02B1,2024,0.002696467
REGION1,DKSODIFH1,S02B1,2025,0.002696467
REGION1,DKSODIFH1,S02B1,2026,0.002696467
REGION1,DKSODIFH1,S02B1,2027,0.002696467
REGION1,DKSODIFH1,S02B1,2028,0.002696467
REGION1,DKSODIFH1,S02B1,2029,0.002696467
REGION1,DKSODIFH1,S02B1,2030,0.002696467
REGION1,DKSODIFH1,S02B1,2031,0.002696467
REGION1,DKSODIFH1,S02B1,2032,0.002696467
REGION1,DKSODIFH1,S02B1,2033,0.002696467
REGION1,DKSODIFH1,S02B1,2034,0.002696467
REGION1,DKSODIFH1,S02B1,2035,0.002696467
REGION1,DKSODIFH1,S02B1,2036,0.002696467
REGION1,DKSODIFH1,S02B1,2037,0.002696467
REGION1,DKSODIFH1,S02B1,2038,0.002696467
REGION1,DKSODIFH1,S02B1,2039,0.002696467
REGION1,DKSODIFH1,S02B1,2040,0.002696467
REGION1,DKSODIFH1,S02B1,2041,0.002696467
REGION1,DKSODIFH1,S02B1,2042,0.002696467
REGION1,DKSODIFH1,S02B1,2043,0.002696467
REGION1,DKSODIFH1,S02B1,2044,0.002696467
REGION1,DKSODIFH1,S02B1,2045,0.002696467
REGION1,DKSODIFH1,S02B1,2046,0.002696467
REGION1,DKSODIFH1,S02B1,2047,0.002696467
REGION1,DKSODIFH1,S02B1,2048,0.002696467
REGION1,DKSODIFH1,S02B1,2049,0.002696467
REGION1,DKSODIFH1,S02B1,2050,0.002696467
REGION1,DKSODIFH1,S02B1,2051,0.002696467
REGION1,DKSODIFH1,S02B1,2052,0.002696467
REGION1,DKSODIFH1,S02B1,2053,0.002696467
REGION1,DKSODIFH1,S02B1,2054,0.002696467
REGION1,DKSODIFH1,S02B1,2055,0.002696467
REGION1,DKSODIFH1,S02B1,2056,0.002696467
REGION1,DKSODIFH1,S02B1,2057,0.002696467
REGION1,DKSODIFH1,S02B1,2058,0.002696467
REGION1,DKSODIFH1,S02B1,2059,0.002696467
REGION1,DKSODIFH1,S02B1,2060,0.002696467
REGION1,DKSODIFH1,S02B2,2015,0.173285732
REGION1,DKSODIFH1,S02B2,2016,0.173285732
REGION1,DKSODIFH1,S02B2,2017,0.173285732
REGION1,DKSODIFH1,S02B2,2018,0.173285732
REGION1,DKSODIFH1,S02B2,2019,0.173285732
REGION1,DKSODIFH1,S02B2,2020,0.173285732
REGION1,DKSODIFH1,S02B2,2021,0.173285732
REGION1,DKSODIFH1,S02B2,2022,0.173285732
REGION1,DKSODIFH1,S02B2,2023,0.173285732
REGION1,DKSODIFH1,S02B2,2024,0.173285732
REGION1,DKSODIFH1,S02B2,2025,0.173285732
REGION1,DKSODIFH1,S02B2,2026,0.173285732
REGION1,DKSODIFH1,S02B2,2027,0.173285732
REGION1,DKSODIFH1,S02B2,2028,0.173285732
REGION1,DKSODIFH1,S02B2,2029,0.173285732
REGION1,DKSODIFH1,S02B2,2030,0.173285732
REGION1,DKSODIFH1,S02B2,2031,0.173285732
REGION1,DKSODIFH1,S02B2,2032,0.173285732
REGION1,DKSODIFH1,S02B2,2033,0.173285732
REGION1,DKSODIFH1,S02B2,2034,0.173285732
REGION1,DKSODIFH1,S02B2,2035,0.173285732
REGION1,DKSODIFH1,S02B2,2036,0.173285732
REGION1,DKSODIFH1,S02B2,2037,0.173285732
REGION1,DKSODIFH1,S02B2,2038,0.173285732
REGION1,DKSODIFH1,S02B2,2039,0.173285732
REGION1,DKSODIFH1,S02B2,2040,0.173285732
REGION1,DKSODIFH1,S02B2,2041,0.173285732
REGION1,DKSODIFH1,S02B2,2042,0.173285732
REGION1,DKSODIFH1,S02B2,2043,0.173285732
REGION1,DKSODIFH1,S02B2,2044,0.173285732
REGION1,DKSODIFH1,S02B2,2045,0.173285732
REGION1,DKSODIFH1,S02B2,2046,0.173285732
REGION1,DKSODIFH1,S02B2,2047,0.173285732
REGION1,DKSODIFH1,S02B2,2048,0.173285732
REGION1,DKSODIFH1,S02B2,2049,0.173285732
REGION1,DKSODIFH1,S02B2,2050,0.173285732
REGION1,DKSODIFH1,S02B2,2051,0.173285732
REGION1,DKSODIFH1,S02B2,2052,0.173285732
REGION1,DKSODIFH1,S02B2,2053,0.173285732
REGION1,DKSODIFH1,S02B2,2054,0.173285732
REGION1,DKSODIFH1,S02B2,2055,0.173285732
REGION1,DKSODIFH1,S02B2,2056,0.173285732
REGION1,DKSODIFH1,S02B2,2057,0.173285732
REGION1,DKSODIFH1,S02B2,2058,0.173285732
REGION1,DKSODIFH1,S02B2,2059,0.173285732
REGION1,DKSODIFH1,S02B2,2060,0.173285732
REGION1,DKSODIFH1,S02B3,2015,0.0
REGION1,DKSODIFH1,S02B3,2016,0.0
REGION1,DKSODIFH1,S02B3,2017,0.0
REGION1,DKSODIFH1,S02B3,2018,0.0
REGION1,DKSODIFH1,S02B3,2019,0.0
REGION1,DKSODIFH1,S02B3,2020,0.0
REGION1,DKSODIFH1,S02B3,2021,0.0
REGION1,DKSODIFH1,S02B3,2022,0.0
REGION1,DKSODIFH1,S02B3,2023,0.0
REGION1,DKSODIFH1,S02B3,2024,0.0
REGION1,DKSODIFH1,S02B3,2025,0.0
REGION1,DKSODIFH1,S02B3,2026,0.0
REGION1,DKSODIFH1,S02B3,2027,0.0
REGION1,DKSODIFH1,S02B3,2028,0.0
REGION1,DKSODIFH1,S02B3,2029,0.0
REGION1,DKSODIFH1,S02B3,2030,0.0
REGION1,DKSODIFH1,S02B3,2031,0.0
REGION1,DKSODIFH1,S02B3,2032,0.0
REGION1,DKSODIFH1,S02B3,2033,0.0
REGION1,DKSODIFH1,S02B3,2034,0.0
REGION1,DKSODIFH1,S02B3,2035,0.0
REGION1,DKSODIFH1,S02B3,2036,0.0
REGION1,DKSODIFH1,S02B3,2037,0.0
REGION1,DKSODIFH1,S02B3,2038,0.0
REGION1,DKSODIFH1,S02B3,2039,0.0
REGION1,DKSODIFH1,S02B3,2040,0.0
REGION1,DKSODIFH1,S02B3,2041,0.0
REGION1,DKSODIFH1,S02B3,2042,0.0
REGION1,DKSODIFH1,S02B3,2043,0.0
REGION1,DKSODIFH1,S02B3,2044,0.0
REGION1,DKSODIFH1,S02B3,2045,0.0
REGION1,DKSODIFH1,S02B3,2046,0.0
REGION1,DKSODIFH1,S02B3,2047,0.0
REGION1,DKSODIFH1,S02B3,2048,0.0
REGION1,DKSODIFH1,S02B3,2049,0.0
REGION1,DKSODIFH1,S02B3,2050,0.0
REGION1,DKSODIFH1,S02B3,2051,0.0
REGION1,DKSODIFH1,S02B3,2052,0.0
REGION1,DKSODIFH1,S02B3,2053,0.0
REGION1,DKSODIFH1,S02B3,2054,0.0
REGION1,DKSODIFH1,S02B3,2055,0.0
REGION1,DKSODIFH1,S02B3,2056,0.0
REGION1,DKSODIFH1,S02B3,2057,0.0
REGION1,DKSODIFH1,S02B3,2058,0.0
REGION1,DKSODIFH1,S02B3,2059,0.0
REGION1,DKSODIFH1,S02B3,2060,0.0
REGION1,DKSODIFH1,S03B1,2015,0.008398169
REGION1,DKSODIFH1,S03B1,2016,0.008398169
REGION1,DKSODIFH1,S03B1,2017,0.008398169
REGION1,DKSODIFH1,S03B1,2018,0.008398169
REGION1,DKSODIFH1,S03B1,2019,0.008398169
REGION1,DKSODIFH1,S03B1,2020,0.008398169
REGION1,DKSODIFH1,S03B1,2021,0.008398169
REGION1,DKSODIFH1,S03B1,2022,0.008398169
REGION1,DKSODIFH1,S03B1,2023,0.008398169
REGION1,DKSODIFH1,S03B1,2024,0.008398169
REGION1,DKSODIFH1,S03B1,2025,0.008398169
REGION1,DKSODIFH1,S03B1,2026,0.008398169
REGION1,DKSODIFH1,S03B1,2027,0.008398169
REGION1,DKSODIFH1,S03B1,2028,0.008398169
REGION1,DKSODIFH1,S03B1,2029,0.008398169
REGION1,DKSODIFH1,S03B1,2030,0.008398169
REGION1,DKSODIFH1,S03B1,2031,0.008398169
REGION1,DKSODIFH1,S03B1,2032,0.008398169
REGION1,DKSODIFH1,S03B1,2033,0.008398169
REGION1,DKSODIFH1,S03B1,2034,0.008398169
REGION1,DKSODIFH1,S03B1,2035,0.008398169
REGION1,DKSODIFH1,S03B1,2036,0.008398169
REGION1,DKSODIFH1,S03B1,2037,0.008398169
REGION1,DKSODIFH1,S03B1,2038,0.008398169
REGION1,DKSODIFH1,S03B1,2039,0.008398169
REGION1,DKSODIFH1,S03B1,2040,0.008398169
REGION1,DKSODIFH1,S03B1,2041,0.008398169
REGION1,DKSODIFH1,S03B1,2042,0.008398169
REGION1,DKSODIFH1,S03B1,2043,0.008398169
REGION1,DKSODIFH1,S03B1,2044,0.008398169
REGION1,DKSODIFH1,S03B1,2045,0.008398169
REGION1,DKSODIFH1,S03B1,2046,0.008398169
REGION1,DKSODIFH1,S03B1,2047,0.008398169
REGION1,DKSODIFH1,S03B1,2048,0.008398169
REGION1,DKSODIFH1,S03B1,2049,0.008398169
REGION1,DKSODIFH1,S03B1,2050,0.008398169
REGION1,DKSODIFH1,S03B1,2051,0.008398169
REGION1,DKSODIFH1,S03B1,2052,0.008398169
REGION1,DKSODIFH1,S03B1,2053,0.008398169
REGION1,DKSODIFH1,S03B1,2054,0.008398169
REGION1,DKSODIFH1,S03B1,2055,0.008398169
REGION1,DKSODIFH1,S03B1,2056,0.008398169
REGION1,DKSODIFH1,S03B1,2057,0.008398169
REGION1,DKSODIFH1,S03B1,2058,0.008398169
REGION1,DKSODIFH1,S03B1,2059,0.008398169
REGION1,DKSODIFH1,S03B1,2060,0.008398169
REGION1,DKSODIFH1,S03B2,2015,0.251812035
REGION1,DKSODIFH1,S03B2,2016,0.251812035
REGION1,DKSODIFH1,S03B2,2017,0.251812035
REGION1,DKSODIFH1,S03B2,2018,0.251812035
REGION1,DKSODIFH1,S03B2,2019,0.251812035
REGION1,DKSODIFH1,S03B2,2020,0.251812035
REGION1,DKSODIFH1,S03B2,2021,0.251812035
REGION1,DKSODIFH1,S03B2,2022,0.251812035
REGION1,DKSODIFH1,S03B2,2023,0.251812035
REGION1,DKSODIFH1,S03B2,2024,0.251812035
