REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00X00,2015,46.55151149
REGION1,DKBM00X00,2016,52.12911411
REGION1,DKBM00X00,2017,57.70671674
REGION1,DKBM00X00,2018,63.28431936
REGION1,DKBM00X00,2019,68.86192199
REGION1,DKBM00X00,2020,74.43952461
REGION1,DKBM00X00,2021,75.21889743
REGION1,DKBM00X00,2022,75.99827025
REGION1,DKBM00X00,2023,76.77764307
REGION1,DKBM00X00,2024,77.55701589
REGION1,DKBM00X00,2025,78.33638871
REGION1,DKBM00X00,2026,78.67043255
REGION1,DKBM00X00,2027,79.00447639
REGION1,DKBM00X00,2028,79.33852022
REGION1,DKBM00X00,2029,79.67256406
REGION1,DKBM00X00,2030,80.0066079
REGION1,DKBM00X00,2031,80.06726417
REGION1,DKBM00X00,2032,80.12792043
REGION1,DKBM00X00,2033,80.1885767
REGION1,DKBM00X00,2034,80.24923296
REGION1,DKBM00X00,2035,80.30988923
REGION1,DKBM00X00,2036,81.27474775
REGION1,DKBM00X00,2037,82.23960628
REGION1,DKBM00X00,2038,83.20446481
REGION1,DKBM00X00,2039,84.16932333
REGION1,DKBM00X00,2040,85.13418186
REGION1,DKBM00X00,2041,86.94370635
REGION1,DKBM00X00,2042,88.75323085
REGION1,DKBM00X00,2043,90.56275534
REGION1,DKBM00X00,2044,92.37227983
REGION1,DKBM00X00,2045,94.18180433
REGION1,DKBM00X00,2046,95.27092708
REGION1,DKBM00X00,2047,96.36004983
REGION1,DKBM00X00,2048,97.44917258
REGION1,DKBM00X00,2049,98.53829533
REGION1,DKBM00X00,2050,99.62741808
REGION1,DKBM00X00,2051,100.6236923
REGION1,DKBM00X00,2052,101.6299292
REGION1,DKBM00X00,2053,102.6462285
REGION1,DKBM00X00,2054,103.6726908
REGION1,DKBM00X00,2055,104.7094177
REGION1,DKBM00X00,2056,105.2329648
REGION1,DKBM00X00,2057,105.7591296
REGION1,DKBM00X00,2058,106.2879252
REGION1,DKBM00X00,2059,106.8193649
REGION1,DKBM00X00,2060,107.3534617
REGION1,DKCOCHPH3,2015,35.0
REGION1,DKCOCHPH3,2016,35.0
REGION1,DKCOCHPH3,2017,40.0
REGION1,DKCOCHPH3,2018,40.0
REGION1,DKCOCHPH3,2019,40.0
REGION1,DKCOCHPH3,2020,40.0
REGION1,DKCOCHPH3,2021,40.0
REGION1,DKCOCHPH3,2022,9999999999.0
REGION1,DKCOCHPH3,2023,9999999999.0
REGION1,DKCOCHPH3,2024,9999999999.0
REGION1,DKCOCHPH3,2025,9999999999.0
REGION1,DKCOCHPH3,2026,9999999999.0
REGION1,DKCOCHPH3,2027,9999999999.0
REGION1,DKCOCHPH3,2028,9999999999.0
REGION1,DKCOCHPH3,2029,9999999999.0
REGION1,DKCOCHPH3,2030,9999999999.0
REGION1,DKCOCHPH3,2031,0.0
REGION1,DKCOCHPH3,2032,0.0
REGION1,DKCOCHPH3,2033,0.0
REGION1,DKCOCHPH3,2034,0.0
REGION1,DKCOCHPH3,2035,0.0
REGION1,DKCOCHPH3,2036,0.0
REGION1,DKCOCHPH3,2037,0.0
REGION1,DKCOCHPH3,2038,0.0
REGION1,DKCOCHPH3,2039,0.0
REGION1,DKCOCHPH3,2040,0.0
REGION1,DKCOCHPH3,2041,0.0
REGION1,DKCOCHPH3,2042,0.0
REGION1,DKCOCHPH3,2043,0.0
REGION1,DKCOCHPH3,2044,0.0
