REGION,TECHNOLOGY,VALUE
REGION1,Denmark (DK)| Biofuel (BF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Denmark (DK)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Denmark (DK)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Denmark (DK)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Denmark (DK)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Denmark (DK)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Denmark (DK)| Electricity (EL)| connected to Norway (NO)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Denmark (DK)| Electricity (EL)| connected to Sweden (SE)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Denmark (DK)| Geothermal (GO)| Conventional (CV)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3,31.536
