VALUE
Denmark (DK)| Biofuel (BF)
Denmark (DK)| Biomass (BM)
Denmark (DK)| Coal (CO)
Denmark (DK)| Electricity 1 (E1)
Denmark (DK)| Electricity 2 (E2)
Denmark (DK)| Geothermal (GO)
Denmark (DK)| Heavy fuel oil (HF)
Denmark (DK)| Natural gas (NG)
Denmark (DK)| Oil (OI)
Denmark (DK)| Uranium (UR)
Denmark (DK)| Waste (WS)
Finland (FI)| Biofuel (BF)
Finland (FI)| Biomass (BM)
Finland (FI)| Coal (CO)
Finland (FI)| Electricity 1 (E1)
Finland (FI)| Electricity 2 (E2)
Finland (FI)| Geothermal (GO)
Finland (FI)| Heavy fuel oil (HF)
Finland (FI)| Natural gas (NG)
Finland (FI)| Oil (OI)
Finland (FI)| Uranium (UR)
Finland (FI)| Waste (WS)
Norway (NO)| Biofuel (BF)
Norway (NO)| Biomass (BM)
Norway (NO)| Coal (CO)
Norway (NO)| Electricity 1 (E1)
Norway (NO)| Electricity 2 (E2)
Norway (NO)| Heavy fuel oil (HF)
Norway (NO)| Natural gas (NG)
Norway (NO)| Oil (OI)
Norway (NO)| Uranium (UR)
Norway (NO)| Waste (WS)
Sweden (SE)| Biofuel (BF)
Sweden (SE)| Biomass (BM)
Sweden (SE)| Coal (CO)
Sweden (SE)| Electricity 1 (E1)
Sweden (SE)| Electricity 2 (E2)
Sweden (SE)| Geothermal (GO)
Sweden (SE)| Heavy fuel oil (HF)
Sweden (SE)| Natural gas (NG)
Sweden (SE)| Oil (OI)
Sweden (SE)| Uranium (UR)
Sweden (SE)| Waste (WS)
