REGION,FUEL,YEAR,VALUE
REGION1,Denmark (DK)| Electricity 1 (E1),2015,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2016,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2017,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2018,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2019,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2020,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2021,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2022,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2023,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2024,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2025,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2026,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2027,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2028,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2029,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2030,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2031,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2032,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2033,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2034,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2035,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2036,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2037,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2038,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2039,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2040,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2041,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2042,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2043,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2044,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2045,1.0
REGION1,Denmark (DK)| Electricity 1 (E1),2046,1.0
