VALUE
Denmark (DK)| Biofuel (BF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Denmark (DK)| Biofuel (BF)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Denmark (DK)| Biofuel (BF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Denmark (DK)| Biomass (BM)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Denmark (DK)| Biomass (BM)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1
Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Denmark (DK)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Coal (CO)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Denmark (DK)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Denmark (DK)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
Denmark (DK)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Electricity (EL)| unspecified (00)| Unknown energy level (T)| Unknown age (D)| size 0
Denmark (DK)| Electricity (EL)| connected to Norway (NO)| Primary energy commodity (P)| Historic (H)| size 1
Denmark (DK)| Electricity (EL)| connected to Sweden (SE)| Primary energy commodity (P)| Historic (H)| size 1
Denmark (DK)| Geothermal (GO)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Denmark (DK)| Geothermal (GO)| Conventional (CV)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Heavy fuel oil (HF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Denmark (DK)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3
Denmark (DK)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Denmark (DK)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 0
Denmark (DK)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 1
Denmark (DK)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Denmark (DK)| Natural gas (NG)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| New (N)| size 3
Denmark (DK)| Natural gas (NG)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Denmark (DK)| Natural gas (NG)| Fuel cell (FC)| Final electricity (F)| Historic (H)| size 1
Denmark (DK)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 2
Denmark (DK)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Denmark (DK)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Natural gas (NG)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1
Denmark (DK)| Oil (OI)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Denmark (DK)| Oil (OI)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Denmark (DK)| Oil (OI)| Refinery (RF)| Primary energy commodity (P)| Historic (H)| size 0
Denmark (DK)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1
Denmark (DK)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2
Denmark (DK)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2
Denmark (DK)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3
Denmark (DK)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3
Denmark (DK)| Waste (WS)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
