REGION,TECHNOLOGY,YEAR,VALUE
REGION1,Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0,2015,11.0
REGION1,Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0,2016,11.0
REGION1,Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0,2017,10.0
REGION1,Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0,2018,9.0
REGION1,Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0,2019,8.0
REGION1,Denmark (DK)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0,2020,7.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2015,31.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2016,31.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2017,27.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2018,25.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2019,22.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2020,20.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2021,25.0
REGION1,Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0,2022,23.0
