REGION,FUEL,YEAR,VALUE
REGION1,DKH2,2015,3.6
REGION1,DKH2,2016,3.6
REGION1,DKH2,2017,3.6
REGION1,DKH2,2018,3.6
REGION1,DKH2,2019,3.6
REGION1,DKH2,2020,3.6
REGION1,DKH2,2021,3.74
REGION1,DKH2,2022,3.88
REGION1,DKH2,2023,4.02
REGION1,DKH2,2024,4.16
REGION1,DKH2,2025,4.3
REGION1,DKH2,2026,4.4399999999999995
REGION1,DKH2,2027,4.58
REGION1,DKH2,2028,4.72
REGION1,DKH2,2029,4.86
REGION1,DKH2,2030,5.0
REGION1,DKH2,2031,7.8100000000000005
REGION1,DKH2,2032,10.620000000000001
REGION1,DKH2,2033,13.430000000000001
REGION1,DKH2,2034,16.240000000000002
REGION1,DKH2,2035,19.05
REGION1,DKH2,2036,21.860000000000003
REGION1,DKH2,2037,24.67
REGION1,DKH2,2038,27.48
REGION1,DKH2,2039,30.29
REGION1,DKH2,2040,33.1
REGION1,DKH2,2041,35.910000000000004
REGION1,DKH2,2042,38.720000000000006
REGION1,DKH2,2043,41.53
REGION1,DKH2,2044,44.34
REGION1,DKH2,2045,47.15
REGION1,DKH2,2046,49.96
REGION1,DKH2,2047,52.77
REGION1,DKH2,2048,55.58
REGION1,DKH2,2049,58.39
REGION1,DKH2,2050,61.2
REGION1,DKH2,2051,64.01000000000113
REGION1,DKH2,2052,66.82000000000062
REGION1,DKH2,2053,69.63000000000102
REGION1,DKH2,2054,72.44000000000051
REGION1,DKH2,2055,75.25000000000091
REGION1,DKH2,2056,78.0600000000004
REGION1,DKH2,2057,80.8700000000008
REGION1,DKH2,2058,83.6800000000012
REGION1,DKH2,2059,86.49000000000069
REGION1,DKH2,2060,89.30000000000109
REGION1,FIH2,2015,18.0
REGION1,FIH2,2016,18.0
REGION1,FIH2,2017,18.0
REGION1,FIH2,2018,18.0
REGION1,FIH2,2019,18.0
REGION1,FIH2,2020,18.0
REGION1,FIH2,2021,18.6
REGION1,FIH2,2022,19.2
REGION1,FIH2,2023,19.8
REGION1,FIH2,2024,20.4
REGION1,FIH2,2025,21.0
REGION1,FIH2,2026,21.6
REGION1,FIH2,2027,22.2
REGION1,FIH2,2028,22.8
REGION1,FIH2,2029,23.4
REGION1,FIH2,2030,24.0
REGION1,FIH2,2031,24.6
REGION1,FIH2,2032,25.2
REGION1,FIH2,2033,25.8
REGION1,FIH2,2034,26.4
REGION1,FIH2,2035,27.0
