REGION,EMISSION,YEAR,VALUE
REGION1,BMIM,2015,0
REGION1,BMIM,2016,0
REGION1,BMIM,2017,0
REGION1,BMIM,2018,0
REGION1,BMIM,2019,0
REGION1,BMIM,2020,0
REGION1,BMIM,2021,0
REGION1,BMIM,2022,0
REGION1,BMIM,2023,0
REGION1,BMIM,2024,0
REGION1,BMIM,2025,0
REGION1,BMIM,2026,0
REGION1,BMIM,2027,0
REGION1,BMIM,2028,0
REGION1,BMIM,2029,0
REGION1,BMIM,2030,0
REGION1,BMIM,2031,0
REGION1,BMIM,2032,0
REGION1,BMIM,2033,0
REGION1,BMIM,2034,0
REGION1,BMIM,2035,0
REGION1,BMIM,2036,0
REGION1,BMIM,2037,0
REGION1,BMIM,2038,0
REGION1,BMIM,2039,0
REGION1,BMIM,2040,0
REGION1,BMIM,2041,0
REGION1,BMIM,2042,0
REGION1,BMIM,2043,0
REGION1,BMIM,2044,0
REGION1,BMIM,2045,0
REGION1,BMIM,2046,0
REGION1,BMIM,2047,0
REGION1,BMIM,2048,0
REGION1,BMIM,2049,0
REGION1,BMIM,2050,0
REGION1,BMIM,2051,0
REGION1,BMIM,2052,0
REGION1,BMIM,2053,0
REGION1,BMIM,2054,0
REGION1,BMIM,2055,0
REGION1,BMIM,2056,0
REGION1,BMIM,2057,0
REGION1,BMIM,2058,0
REGION1,BMIM,2059,0
REGION1,BMIM,2060,0
REGION1,CO2,2015,24000
REGION1,CO2,2016,23314
REGION1,CO2,2017,22629
REGION1,CO2,2018,21943
REGION1,CO2,2019,21257
REGION1,CO2,2020,20571
REGION1,CO2,2021,19886
REGION1,CO2,2022,19200
REGION1,CO2,2023,18514
REGION1,CO2,2024,17829
REGION1,CO2,2025,17143
REGION1,CO2,2026,16457
REGION1,CO2,2027,15771
REGION1,CO2,2028,15086
REGION1,CO2,2029,14400
REGION1,CO2,2030,13714
REGION1,CO2,2031,13029
REGION1,CO2,2032,12343
REGION1,CO2,2033,11657
REGION1,CO2,2034,10971
REGION1,CO2,2035,10286
REGION1,CO2,2036,9600
REGION1,CO2,2037,8914
REGION1,CO2,2038,8229
REGION1,CO2,2039,7543
REGION1,CO2,2040,6857
REGION1,CO2,2041,6171
REGION1,CO2,2042,5486
REGION1,CO2,2043,4800
REGION1,CO2,2044,4114
REGION1,CO2,2045,3429
REGION1,CO2,2046,2743
REGION1,CO2,2047,2057
REGION1,CO2,2048,1371
REGION1,CO2,2049,686
REGION1,CO2,2050,0
REGION1,CO2,2051,0
REGION1,CO2,2052,0
REGION1,CO2,2053,0
REGION1,CO2,2054,0
REGION1,CO2,2055,0
REGION1,CO2,2056,0
REGION1,CO2,2057,0
REGION1,CO2,2058,0
REGION1,CO2,2059,0
REGION1,CO2,2060,0
REGION1,DKHO,2015,0.08
REGION1,DKHO,2016,0.08
REGION1,DKHO,2017,0.08
REGION1,DKHO,2018,0.08
REGION1,DKHO,2019,0.08
REGION1,DKHO,2020,0.08
REGION1,DKHO,2021,0.08
REGION1,DKHO,2022,0.08
REGION1,DKHO,2023,0.08
REGION1,DKHO,2024,0.08
REGION1,DKHO,2025,0.08
REGION1,DKHO,2026,0.08
REGION1,DKHO,2027,0.08
REGION1,DKHO,2028,0.08
REGION1,DKHO,2029,0.08
REGION1,DKHO,2030,0.08
REGION1,DKHO,2031,0.08
REGION1,DKHO,2032,0.08
REGION1,DKHO,2033,0.08
REGION1,DKHO,2034,0.08
REGION1,DKHO,2035,0.08
REGION1,DKHO,2036,0.08
REGION1,DKHO,2037,0.08
REGION1,DKHO,2038,0.08
REGION1,DKHO,2039,0.08
REGION1,DKHO,2040,0.08
REGION1,DKHO,2041,0.08
REGION1,DKHO,2042,0.08
REGION1,DKHO,2043,0.08
REGION1,DKHO,2044,0.08
REGION1,DKHO,2045,0.08
REGION1,DKHO,2046,0.08
REGION1,DKHO,2047,0.08
REGION1,DKHO,2048,0.08
REGION1,DKHO,2049,0.08
REGION1,DKHO,2050,0.08
REGION1,DKHO,2051,0.08
REGION1,DKHO,2052,0.08
REGION1,DKHO,2053,0.08
REGION1,DKHO,2054,0.08
REGION1,DKHO,2055,0.08
REGION1,DKHO,2056,0.08
REGION1,DKHO,2057,0.08
REGION1,DKHO,2058,0.08
REGION1,DKHO,2059,0.08
REGION1,DKHO,2060,0.08
REGION1,DKWI,2015,626.4
REGION1,DKWI,2016,626.4
REGION1,DKWI,2017,626.4
REGION1,DKWI,2018,626.4
REGION1,DKWI,2019,626.4
REGION1,DKWI,2020,626.4
REGION1,DKWI,2021,626.4
REGION1,DKWI,2022,626.4
REGION1,DKWI,2023,626.4
REGION1,DKWI,2024,626.4
REGION1,DKWI,2025,626.4
REGION1,DKWI,2026,626.4
REGION1,DKWI,2027,626.4
REGION1,DKWI,2028,626.4
REGION1,DKWI,2029,626.4
REGION1,DKWI,2030,626.4
REGION1,DKWI,2031,626.4
REGION1,DKWI,2032,626.4
REGION1,DKWI,2033,626.4
REGION1,DKWI,2034,626.4
REGION1,DKWI,2035,626.4
REGION1,DKWI,2036,626.4
REGION1,DKWI,2037,626.4
REGION1,DKWI,2038,626.4
REGION1,DKWI,2039,626.4
REGION1,DKWI,2040,626.4
REGION1,DKWI,2041,626.4
REGION1,DKWI,2042,626.4
REGION1,DKWI,2043,626.4
REGION1,DKWI,2044,626.4
REGION1,DKWI,2045,626.4
REGION1,DKWI,2046,626.4
REGION1,DKWI,2047,626.4
REGION1,DKWI,2048,626.4
REGION1,DKWI,2049,626.4
REGION1,DKWI,2050,626.4
REGION1,DKWI,2051,626.4
REGION1,DKWI,2052,626.4
REGION1,DKWI,2053,626.4
REGION1,DKWI,2054,626.4
REGION1,DKWI,2055,626.4
REGION1,DKWI,2056,626.4
REGION1,DKWI,2057,626.4
REGION1,DKWI,2058,626.4
REGION1,DKWI,2059,626.4
REGION1,DKWI,2060,626.4
REGION1,FIHO,2015,56.52
REGION1,FIHO,2016,55.39
REGION1,FIHO,2017,54.26
REGION1,FIHO,2018,53.13
REGION1,FIHO,2019,52.0
REGION1,FIHO,2020,50.87
REGION1,FIHO,2021,51.31
REGION1,FIHO,2022,51.74
REGION1,FIHO,2023,52.18
REGION1,FIHO,2024,52.61
REGION1,FIHO,2025,53.05
REGION1,FIHO,2026,53.33
REGION1,FIHO,2027,53.62
REGION1,FIHO,2028,53.9
REGION1,FIHO,2029,54.19
REGION1,FIHO,2030,54.47
REGION1,FIHO,2031,54.82
REGION1,FIHO,2032,55.17
REGION1,FIHO,2033,55.53
REGION1,FIHO,2034,55.88
REGION1,FIHO,2035,56.23
REGION1,FIHO,2036,56.3
REGION1,FIHO,2037,56.36
REGION1,FIHO,2038,56.43
REGION1,FIHO,2039,56.5
REGION1,FIHO,2040,56.56
REGION1,FIHO,2041,56.56
REGION1,FIHO,2042,56.56
REGION1,FIHO,2043,56.56
REGION1,FIHO,2044,56.56
REGION1,FIHO,2045,56.56
REGION1,FIHO,2046,57.06
REGION1,FIHO,2047,57.55
REGION1,FIHO,2048,58.05
REGION1,FIHO,2049,58.54
REGION1,FIHO,2050,59.03
REGION1,FIHO,2051,59.33
REGION1,FIHO,2052,59.63
REGION1,FIHO,2053,59.92
REGION1,FIHO,2054,60.22
REGION1,FIHO,2055,60.52
REGION1,FIHO,2056,60.83
REGION1,FIHO,2057,61.13
REGION1,FIHO,2058,61.44
REGION1,FIHO,2059,61.74
REGION1,FIHO,2060,62.05
REGION1,FIWI,2015,259.2
REGION1,FIWI,2016,259.2
REGION1,FIWI,2017,259.2
REGION1,FIWI,2018,259.2
REGION1,FIWI,2019,259.2
REGION1,FIWI,2020,259.2
REGION1,FIWI,2021,259.2
REGION1,FIWI,2022,259.2
REGION1,FIWI,2023,259.2
REGION1,FIWI,2024,259.2
REGION1,FIWI,2025,259.2
REGION1,FIWI,2026,259.2
REGION1,FIWI,2027,259.2
REGION1,FIWI,2028,259.2
REGION1,FIWI,2029,259.2
REGION1,FIWI,2030,259.2
REGION1,FIWI,2031,259.2
REGION1,FIWI,2032,259.2
REGION1,FIWI,2033,259.2
REGION1,FIWI,2034,259.2
REGION1,FIWI,2035,259.2
REGION1,FIWI,2036,259.2
REGION1,FIWI,2037,259.2
REGION1,FIWI,2038,259.2
REGION1,FIWI,2039,259.2
REGION1,FIWI,2040,259.2
REGION1,FIWI,2041,259.2
REGION1,FIWI,2042,259.2
REGION1,FIWI,2043,259.2
REGION1,FIWI,2044,259.2
REGION1,FIWI,2045,259.2
REGION1,FIWI,2046,259.2
REGION1,FIWI,2047,259.2
REGION1,FIWI,2048,259.2
REGION1,FIWI,2049,259.2
REGION1,FIWI,2050,259.2
REGION1,FIWI,2051,259.2
REGION1,FIWI,2052,259.2
REGION1,FIWI,2053,259.2
REGION1,FIWI,2054,259.2
REGION1,FIWI,2055,259.2
REGION1,FIWI,2056,259.2
REGION1,FIWI,2057,259.2
REGION1,FIWI,2058,259.2
REGION1,FIWI,2059,259.2
REGION1,FIWI,2060,259.2
REGION1,NOHO,2015,613.08
REGION1,NOHO,2016,613.08
REGION1,NOHO,2017,613.08
REGION1,NOHO,2018,613.08
REGION1,NOHO,2019,613.08
REGION1,NOHO,2020,613.08
REGION1,NOHO,2021,613.08
REGION1,NOHO,2022,613.08
REGION1,NOHO,2023,613.08
REGION1,NOHO,2024,613.08
REGION1,NOHO,2025,613.08
REGION1,NOHO,2026,613.08
REGION1,NOHO,2027,613.08
REGION1,NOHO,2028,613.08
REGION1,NOHO,2029,613.08
REGION1,NOHO,2030,613.08
REGION1,NOHO,2031,613.08
REGION1,NOHO,2032,613.08
REGION1,NOHO,2033,613.08
REGION1,NOHO,2034,613.08
REGION1,NOHO,2035,613.08
REGION1,NOHO,2036,613.08
REGION1,NOHO,2037,613.08
REGION1,NOHO,2038,613.08
REGION1,NOHO,2039,613.08
REGION1,NOHO,2040,613.08
REGION1,NOHO,2041,613.08
REGION1,NOHO,2042,613.08
REGION1,NOHO,2043,613.08
REGION1,NOHO,2044,613.08
REGION1,NOHO,2045,613.08
REGION1,NOHO,2046,613.08
REGION1,NOHO,2047,613.08
REGION1,NOHO,2048,613.08
REGION1,NOHO,2049,613.08
REGION1,NOHO,2050,613.08
REGION1,NOHO,2051,613.08
REGION1,NOHO,2052,613.08
REGION1,NOHO,2053,613.08
REGION1,NOHO,2054,613.08
REGION1,NOHO,2055,613.08
REGION1,NOHO,2056,613.08
REGION1,NOHO,2057,613.08
REGION1,NOHO,2058,613.08
REGION1,NOHO,2059,613.08
REGION1,NOHO,2060,613.08
REGION1,SEHO,2015,259.71
REGION1,SEHO,2016,258.45
REGION1,SEHO,2017,257.2
REGION1,SEHO,2018,255.94
REGION1,SEHO,2019,254.68
REGION1,SEHO,2020,253.43
REGION1,SEHO,2021,253.03
REGION1,SEHO,2022,252.64
REGION1,SEHO,2023,252.25
REGION1,SEHO,2024,251.85
REGION1,SEHO,2025,251.46
REGION1,SEHO,2026,251.43
REGION1,SEHO,2027,251.41
REGION1,SEHO,2028,251.38
REGION1,SEHO,2029,251.36
REGION1,SEHO,2030,251.33
REGION1,SEHO,2031,252.41
REGION1,SEHO,2032,253.48
REGION1,SEHO,2033,254.55
REGION1,SEHO,2034,255.62
REGION1,SEHO,2035,256.69
REGION1,SEHO,2036,256.68
REGION1,SEHO,2037,256.68
REGION1,SEHO,2038,256.67
REGION1,SEHO,2039,256.66
REGION1,SEHO,2040,256.65
REGION1,SEHO,2041,258.23
REGION1,SEHO,2042,259.82
REGION1,SEHO,2043,261.4
REGION1,SEHO,2044,262.98
REGION1,SEHO,2045,264.56
REGION1,SEHO,2046,266.15
REGION1,SEHO,2047,267.75
REGION1,SEHO,2048,269.34
REGION1,SEHO,2049,270.93
REGION1,SEHO,2050,272.52
REGION1,SEHO,2051,273.88
REGION1,SEHO,2052,275.25
REGION1,SEHO,2053,276.63
REGION1,SEHO,2054,278.01
REGION1,SEHO,2055,279.4
REGION1,SEHO,2056,280.52
REGION1,SEHO,2057,281.64
REGION1,SEHO,2058,282.77
REGION1,SEHO,2059,283.9
REGION1,SEHO,2060,285.03
REGION1,SEWI,2015,1353.6
REGION1,SEWI,2016,1353.6
REGION1,SEWI,2017,1353.6
REGION1,SEWI,2018,1353.6
REGION1,SEWI,2019,1353.6
REGION1,SEWI,2020,1353.6
REGION1,SEWI,2021,1353.6
REGION1,SEWI,2022,1353.6
REGION1,SEWI,2023,1353.6
REGION1,SEWI,2024,1353.6
REGION1,SEWI,2025,1353.6
REGION1,SEWI,2026,1353.6
REGION1,SEWI,2027,1353.6
REGION1,SEWI,2028,1353.6
REGION1,SEWI,2029,1353.6
REGION1,SEWI,2030,1353.6
REGION1,SEWI,2031,1353.6
REGION1,SEWI,2032,1353.6
REGION1,SEWI,2033,1353.6
REGION1,SEWI,2034,1353.6
REGION1,SEWI,2035,1353.6
REGION1,SEWI,2036,1353.6
REGION1,SEWI,2037,1353.6
REGION1,SEWI,2038,1353.6
REGION1,SEWI,2039,1353.6
REGION1,SEWI,2040,1353.6
REGION1,SEWI,2041,1353.6
REGION1,SEWI,2042,1353.6
REGION1,SEWI,2043,1353.6
REGION1,SEWI,2044,1353.6
REGION1,SEWI,2045,1353.6
REGION1,SEWI,2046,1353.6
REGION1,SEWI,2047,1353.6
REGION1,SEWI,2048,1353.6
REGION1,SEWI,2049,1353.6
REGION1,SEWI,2050,1353.6
REGION1,SEWI,2051,1353.6
REGION1,SEWI,2052,1353.6
REGION1,SEWI,2053,1353.6
REGION1,SEWI,2054,1353.6
REGION1,SEWI,2055,1353.6
REGION1,SEWI,2056,1353.6
REGION1,SEWI,2057,1353.6
REGION1,SEWI,2058,1353.6
REGION1,SEWI,2059,1353.6
REGION1,SEWI,2060,1353.6
REGION1,DKSO,2015,3.34
REGION1,DKSO,2016,3.26
REGION1,DKSO,2017,3.21
REGION1,DKSO,2018,3.18
REGION1,DKSO,2019,3.17
REGION1,DKSO,2020,3.17
REGION1,DKSO,2021,3.53
REGION1,DKSO,2022,4.34
REGION1,DKSO,2023,5.5
REGION1,DKSO,2024,6.85
REGION1,DKSO,2025,8.44
REGION1,DKSO,2026,9.13
REGION1,DKSO,2027,9.81
REGION1,DKSO,2028,10.49
REGION1,DKSO,2029,11.17
REGION1,DKSO,2030,11.85
REGION1,DKSO,2031,12.29
REGION1,DKSO,2032,12.72
REGION1,DKSO,2033,13.15
REGION1,DKSO,2034,13.58
REGION1,DKSO,2035,14.02
REGION1,DKSO,2036,14.38
REGION1,DKSO,2037,14.74
REGION1,DKSO,2038,15.11
