REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2028,0.0
REGION1,CO2,2029,0.0
REGION1,CO2,2030,0.0
REGION1,CO2,2031,0.0
REGION1,CO2,2032,0.0
REGION1,CO2,2033,0.0
REGION1,CO2,2034,0.0
REGION1,CO2,2035,0.0
REGION1,CO2,2036,0.0
REGION1,CO2,2037,0.0
REGION1,CO2,2038,0.0
REGION1,CO2,2039,0.0
REGION1,CO2,2040,0
REGION1,CO2,2041,0
REGION1,CO2,2042,0
REGION1,CO2,2043,0
REGION1,CO2,2044,0
REGION1,CO2,2045,0
REGION1,CO2,2046,0
REGION1,CO2,2047,0
REGION1,CO2,2048,0
REGION1,CO2,2049,0
REGION1,CO2,2050,0
REGION1,CO2,2051,0
REGION1,CO2,2052,0
REGION1,CO2,2053,0
REGION1,CO2,2054,0
REGION1,CO2,2055,0
REGION1,CO2,2056,0
REGION1,CO2,2057,0
REGION1,CO2,2058,0
REGION1,CO2,2059,0
REGION1,CO2,2060,0
