REGION,STORAGE,YEAR,VALUE
REGION1,SEHGSTPN2,2015,0.818344736
REGION1,SEHGSTPN2,2016,0.818344736
REGION1,SEHGSTPN2,2017,0.818344736
REGION1,SEHGSTPN2,2018,0.818344736
REGION1,SEHGSTPN2,2019,0.818344736
REGION1,SEHGSTPN2,2020,0.818344736
REGION1,SEHGSTPN2,2021,0.818344736
REGION1,SEHGSTPN2,2022,0.818344736
REGION1,SEHGSTPN2,2023,0.818344736
REGION1,SEHGSTPN2,2024,0.818344736
REGION1,SEHGSTPN2,2025,0.818344736
REGION1,SEHGSTPN2,2026,0.818344736
REGION1,SEHGSTPN2,2027,0.818344736
REGION1,SEHGSTPN2,2028,0.818344736
REGION1,SEHGSTPN2,2029,0.818344736
REGION1,SEHGSTPN2,2030,0.818344736
REGION1,SEHGSTPN2,2031,0.818344736
REGION1,SEHGSTPN2,2032,0.818344736
REGION1,SEHGSTPN2,2033,0.818344736
REGION1,SEHGSTPN2,2034,0.818344736
REGION1,SEHGSTPN2,2035,0.818344736
REGION1,SEHGSTPN2,2036,0.818344736
REGION1,SEHGSTPN2,2037,0.818344736
REGION1,SEHGSTPN2,2038,0.818344736
REGION1,SEHGSTPN2,2039,0.818344736
REGION1,SEHGSTPN2,2040,0.818344736
REGION1,SEHGSTPN2,2041,0.818344736
REGION1,SEHGSTPN2,2042,0.818344736
REGION1,SEHGSTPN2,2043,0.818344736
REGION1,SEHGSTPN2,2044,0.818344736
REGION1,SEHGSTPN2,2045,0.818344736
REGION1,SEHGSTPN2,2046,0.818344736
REGION1,SEHGSTPN2,2047,0.818344736
REGION1,SEHGSTPN2,2048,0.818344736
REGION1,SEHGSTPN2,2049,0.818344736
REGION1,SEHGSTPN2,2050,0.818344736
REGION1,SEHGSTPN2,2051,0.818344736
REGION1,SEHGSTPN2,2052,0.818344736
REGION1,SEHGSTPN2,2053,0.818344736
REGION1,SEHGSTPN2,2054,0.818344736
REGION1,SEHGSTPN2,2055,0.818344736
REGION1,SEHGSTPN2,2056,0.818344736
REGION1,SEHGSTPN2,2057,0.818344736
REGION1,SEHGSTPN2,2058,0.818344736
REGION1,SEHGSTPN2,2059,0.818344736
REGION1,SEHGSTPN2,2060,0.818344736
REGION1,FIHGSTPN2,2015,0.818344736
REGION1,FIHGSTPN2,2016,0.818344736
REGION1,FIHGSTPN2,2017,0.818344736
REGION1,FIHGSTPN2,2018,0.818344736
REGION1,FIHGSTPN2,2019,0.818344736
REGION1,FIHGSTPN2,2020,0.818344736
REGION1,FIHGSTPN2,2021,0.818344736
REGION1,FIHGSTPN2,2022,0.818344736
REGION1,FIHGSTPN2,2023,0.818344736
REGION1,FIHGSTPN2,2024,0.818344736
REGION1,FIHGSTPN2,2025,0.818344736
REGION1,FIHGSTPN2,2026,0.818344736
REGION1,FIHGSTPN2,2027,0.818344736
REGION1,FIHGSTPN2,2028,0.818344736
REGION1,FIHGSTPN2,2029,0.818344736
REGION1,FIHGSTPN2,2030,0.818344736
REGION1,FIHGSTPN2,2031,0.818344736
REGION1,FIHGSTPN2,2032,0.818344736
REGION1,FIHGSTPN2,2033,0.818344736
REGION1,FIHGSTPN2,2034,0.818344736
REGION1,FIHGSTPN2,2035,0.818344736
REGION1,FIHGSTPN2,2036,0.818344736
REGION1,FIHGSTPN2,2037,0.818344736
REGION1,FIHGSTPN2,2038,0.818344736
REGION1,FIHGSTPN2,2039,0.818344736
REGION1,FIHGSTPN2,2040,0.818344736
REGION1,FIHGSTPN2,2041,0.818344736
REGION1,FIHGSTPN2,2042,0.818344736
REGION1,FIHGSTPN2,2043,0.818344736
REGION1,FIHGSTPN2,2044,0.818344736
REGION1,FIHGSTPN2,2045,0.818344736
REGION1,FIHGSTPN2,2046,0.818344736
REGION1,FIHGSTPN2,2047,0.818344736
REGION1,FIHGSTPN2,2048,0.818344736
REGION1,FIHGSTPN2,2049,0.818344736
REGION1,FIHGSTPN2,2050,0.818344736
REGION1,FIHGSTPN2,2051,0.818344736
REGION1,FIHGSTPN2,2052,0.818344736
REGION1,FIHGSTPN2,2053,0.818344736
REGION1,FIHGSTPN2,2054,0.818344736
REGION1,FIHGSTPN2,2055,0.818344736
REGION1,FIHGSTPN2,2056,0.818344736
REGION1,FIHGSTPN2,2057,0.818344736
REGION1,FIHGSTPN2,2058,0.818344736
REGION1,FIHGSTPN2,2059,0.818344736
REGION1,FIHGSTPN2,2060,0.818344736
REGION1,DKHGSTPN2,2015,0.818344736
REGION1,DKHGSTPN2,2016,0.818344736
REGION1,DKHGSTPN2,2017,0.818344736
REGION1,DKHGSTPN2,2018,0.818344736
REGION1,DKHGSTPN2,2019,0.818344736
REGION1,DKHGSTPN2,2020,0.818344736
REGION1,DKHGSTPN2,2021,0.818344736
REGION1,DKHGSTPN2,2022,0.818344736
REGION1,DKHGSTPN2,2023,0.818344736
REGION1,DKHGSTPN2,2024,0.818344736
REGION1,DKHGSTPN2,2025,0.818344736
REGION1,DKHGSTPN2,2026,0.818344736
REGION1,DKHGSTPN2,2027,0.818344736
REGION1,DKHGSTPN2,2028,0.818344736
REGION1,DKHGSTPN2,2029,0.818344736
REGION1,DKHGSTPN2,2030,0.818344736
REGION1,DKHGSTPN2,2031,0.818344736
REGION1,DKHGSTPN2,2032,0.818344736
REGION1,DKHGSTPN2,2033,0.818344736
REGION1,DKHGSTPN2,2034,0.818344736
REGION1,DKHGSTPN2,2035,0.818344736
REGION1,DKHGSTPN2,2036,0.818344736
REGION1,DKHGSTPN2,2037,0.818344736
REGION1,DKHGSTPN2,2038,0.818344736
REGION1,DKHGSTPN2,2039,0.818344736
REGION1,DKHGSTPN2,2040,0.818344736
REGION1,DKHGSTPN2,2041,0.818344736
REGION1,DKHGSTPN2,2042,0.818344736
REGION1,DKHGSTPN2,2043,0.818344736
