SEASON,DAYTYPE,YEAR,VALUE
1,1,2015,7
1,1,2016,7
1,1,2017,7
1,1,2018,7
1,1,2019,7
1,1,2020,7
1,1,2021,7
1,1,2022,7
1,1,2023,7
1,1,2024,7
1,1,2025,7
1,1,2026,7
1,1,2027,7
1,1,2028,7
1,1,2029,7
1,1,2030,7
1,1,2031,7
1,1,2032,7
1,1,2033,7
1,1,2034,7
1,1,2035,7
1,1,2036,7
1,1,2037,7
1,1,2038,7
1,1,2039,7
1,1,2040,7
1,1,2041,7
1,1,2042,7
1,1,2043,7
1,1,2044,7
1,1,2045,7
1,1,2046,7
1,1,2047,7
1,1,2048,7
1,1,2049,7
1,1,2050,7
1,1,2051,7
1,1,2052,7
1,1,2053,7
1,1,2054,7
1,1,2055,7
1,1,2056,7
1,1,2057,7
1,1,2058,7
1,1,2059,7
1,1,2060,7
2,1,2015,7
2,1,2016,7
2,1,2017,7
2,1,2018,7
2,1,2019,7
2,1,2020,7
2,1,2021,7
2,1,2022,7
2,1,2023,7
2,1,2024,7
2,1,2025,7
2,1,2026,7
2,1,2027,7
2,1,2028,7
2,1,2029,7
2,1,2030,7
2,1,2031,7
2,1,2032,7
2,1,2033,7
2,1,2034,7
2,1,2035,7
2,1,2036,7
2,1,2037,7
2,1,2038,7
2,1,2039,7
2,1,2040,7
2,1,2041,7
2,1,2042,7
2,1,2043,7
2,1,2044,7
2,1,2045,7
2,1,2046,7
2,1,2047,7
2,1,2048,7
2,1,2049,7
2,1,2050,7
2,1,2051,7
2,1,2052,7
2,1,2053,7
2,1,2054,7
2,1,2055,7
2,1,2056,7
2,1,2057,7
2,1,2058,7
2,1,2059,7
2,1,2060,7
3,1,2015,7
3,1,2016,7
3,1,2017,7
3,1,2018,7
3,1,2019,7
3,1,2020,7
3,1,2021,7
3,1,2022,7
3,1,2023,7
3,1,2024,7
3,1,2025,7
3,1,2026,7
3,1,2027,7
3,1,2028,7
3,1,2029,7
3,1,2030,7
3,1,2031,7
3,1,2032,7
3,1,2033,7
3,1,2034,7
3,1,2035,7
3,1,2036,7
3,1,2037,7
3,1,2038,7
3,1,2039,7
3,1,2040,7
3,1,2041,7
3,1,2042,7
3,1,2043,7
3,1,2044,7
3,1,2045,7
3,1,2046,7
3,1,2047,7
3,1,2048,7
3,1,2049,7
3,1,2050,7
3,1,2051,7
3,1,2052,7
3,1,2053,7
3,1,2054,7
3,1,2055,7
3,1,2056,7
3,1,2057,7
3,1,2058,7
3,1,2059,7
3,1,2060,7
4,1,2015,7
4,1,2016,7
4,1,2017,7
4,1,2018,7
4,1,2019,7
4,1,2020,7
4,1,2021,7
4,1,2022,7
4,1,2023,7
4,1,2024,7
4,1,2025,7
4,1,2026,7
4,1,2027,7
4,1,2028,7
4,1,2029,7
4,1,2030,7
4,1,2031,7
4,1,2032,7
4,1,2033,7
4,1,2034,7
4,1,2035,7
4,1,2036,7
4,1,2037,7
4,1,2038,7
4,1,2039,7
4,1,2040,7
4,1,2041,7
4,1,2042,7
4,1,2043,7
4,1,2044,7
4,1,2045,7
4,1,2046,7
4,1,2047,7
4,1,2048,7
4,1,2049,7
4,1,2050,7
4,1,2051,7
4,1,2052,7
4,1,2053,7
4,1,2054,7
4,1,2055,7
4,1,2056,7
4,1,2057,7
4,1,2058,7
4,1,2059,7
4,1,2060,7
5,1,2015,7
5,1,2016,7
5,1,2017,7
5,1,2018,7
5,1,2019,7
5,1,2020,7
5,1,2021,7
5,1,2022,7
5,1,2023,7
5,1,2024,7
5,1,2025,7
5,1,2026,7
5,1,2027,7
5,1,2028,7
5,1,2029,7
5,1,2030,7
5,1,2031,7
5,1,2032,7
5,1,2033,7
5,1,2034,7
5,1,2035,7
5,1,2036,7
5,1,2037,7
5,1,2038,7
5,1,2039,7
5,1,2040,7
5,1,2041,7
5,1,2042,7
5,1,2043,7
5,1,2044,7
5,1,2045,7
5,1,2046,7
5,1,2047,7
5,1,2048,7
5,1,2049,7
5,1,2050,7
5,1,2051,7
5,1,2052,7
5,1,2053,7
5,1,2054,7
5,1,2055,7
5,1,2056,7
5,1,2057,7
5,1,2058,7
5,1,2059,7
5,1,2060,7
