REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SEELDEIH1,2015,0.0
REGION1,SEELDEIH1,2016,0.0
REGION1,SEELDEIH1,2017,0.0
REGION1,SEELDEIH1,2018,0.0
REGION1,SEELDEIH1,2019,0.0
REGION1,SEELDEIH1,2020,0.0
REGION1,SEELDEIH1,2021,0.0
REGION1,SEELDEIH1,2022,0.0
REGION1,SEELDEIH1,2023,0.0
REGION1,SEELDEIH1,2024,0.0
REGION1,SEELDEIH1,2025,0.0
REGION1,SEELDEIH1,2026,0.0
REGION1,SEELDEIH1,2027,0.0
REGION1,SEELDEIH1,2028,0.0
REGION1,SEELDEIH1,2029,0.0
REGION1,SEELDEIH1,2030,0.0
REGION1,SEELDEIH1,2031,0.0
REGION1,SEELDEIH1,2032,0.0
REGION1,SEELDEIH1,2033,0.0
REGION1,SEELDEIH1,2034,0.0
REGION1,SEELDEIH1,2035,0.0
REGION1,SEELDEIH1,2036,0.0
REGION1,SEELDEIH1,2037,0.0
REGION1,SEELDEIH1,2038,0.0
REGION1,SEELDEIH1,2039,0.0
REGION1,SEELDEIH1,2040,0.0
REGION1,SEELDEIH1,2041,0.0
REGION1,SEELDEIH1,2042,0.0
REGION1,SEELDEIH1,2043,0.0
REGION1,SEELDEIH1,2044,0.0
REGION1,SEELDEIH1,2045,0.0
REGION1,SEELDEIH1,2046,0.0
REGION1,SEELDEIH1,2047,0.0
REGION1,SEELDEIH1,2048,0.0
REGION1,SEELDEIH1,2049,0.0
REGION1,SEELDEIH1,2050,0.0
REGION1,SEELDEIH1,2051,0.0
REGION1,SEELDEIH1,2052,0.0
REGION1,SEELDEIH1,2053,0.0
REGION1,SEELDEIH1,2054,0.0
REGION1,SEELDEIH1,2055,0.0
REGION1,SEELDEIH1,2056,0.0
REGION1,SEELDEIH1,2057,0.0
REGION1,SEELDEIH1,2058,0.0
REGION1,SEELDEIH1,2059,0.0
REGION1,SEELDEIH1,2060,0.0
REGION1,SEELDEEH1,2015,0.0
REGION1,SEELDEEH1,2016,0.0
REGION1,SEELDEEH1,2017,0.0
REGION1,SEELDEEH1,2018,0.0
REGION1,SEELDEEH1,2019,0.0
REGION1,SEELDEEH1,2020,0.0
REGION1,SEELDEEH1,2021,0.0
REGION1,SEELDEEH1,2022,0.0
REGION1,SEELDEEH1,2023,0.0
REGION1,SEELDEEH1,2024,0.0
REGION1,SEELDEEH1,2025,0.0
REGION1,SEELDEEH1,2026,0.0
REGION1,SEELDEEH1,2027,0.0
REGION1,SEELDEEH1,2028,0.0
REGION1,SEELDEEH1,2029,0.0
REGION1,SEELDEEH1,2030,0.0
REGION1,SEELDEEH1,2031,0.0
REGION1,SEELDEEH1,2032,0.0
REGION1,SEELDEEH1,2033,0.0
REGION1,SEELDEEH1,2034,0.0
REGION1,SEELDEEH1,2035,0.0
REGION1,SEELDEEH1,2036,0.0
REGION1,SEELDEEH1,2037,0.0
REGION1,SEELDEEH1,2038,0.0
REGION1,SEELDEEH1,2039,0.0
REGION1,SEELDEEH1,2040,0.0
REGION1,SEELDEEH1,2041,0.0
REGION1,SEELDEEH1,2042,0.0
REGION1,SEELDEEH1,2043,0.0
REGION1,SEELDEEH1,2044,0.0
REGION1,SEELDEEH1,2045,0.0
REGION1,SEELDEEH1,2046,0.0
REGION1,SEELDEEH1,2047,0.0
REGION1,SEELDEEH1,2048,0.0
REGION1,SEELDEEH1,2049,0.0
REGION1,SEELDEEH1,2050,0.0
REGION1,SEELDEEH1,2051,0.0
REGION1,SEELDEEH1,2052,0.0
REGION1,SEELDEEH1,2053,0.0
REGION1,SEELDEEH1,2054,0.0
REGION1,SEELDEEH1,2055,0.0
REGION1,SEELDEEH1,2056,0.0
REGION1,SEELDEEH1,2057,0.0
REGION1,SEELDEEH1,2058,0.0
REGION1,SEELDEEH1,2059,0.0
REGION1,SEELDEEH1,2060,0.0
REGION1,SEELLTIH1,2015,0.0
REGION1,SEELLTIH1,2016,0.0
REGION1,SEELLTIH1,2017,0.0
REGION1,SEELLTIH1,2018,0.0
REGION1,SEELLTIH1,2019,0.0
REGION1,SEELLTIH1,2020,0.0
REGION1,SEELLTIH1,2021,0.0
REGION1,SEELLTIH1,2022,0.0
REGION1,SEELLTIH1,2023,0.0
REGION1,SEELLTIH1,2024,0.0
REGION1,SEELLTIH1,2025,0.0
REGION1,SEELLTIH1,2026,0.0
REGION1,SEELLTIH1,2027,0.0
REGION1,SEELLTIH1,2028,0.0
REGION1,SEELLTIH1,2029,0.0
REGION1,SEELLTIH1,2030,0.0
REGION1,SEELLTIH1,2031,0.0
REGION1,SEELLTIH1,2032,0.0
REGION1,SEELLTIH1,2033,0.0
REGION1,SEELLTIH1,2034,0.0
REGION1,SEELLTIH1,2035,0.0
REGION1,SEELLTIH1,2036,0.0
REGION1,SEELLTIH1,2037,0.0
REGION1,SEELLTIH1,2038,0.0
REGION1,SEELLTIH1,2039,0.0
REGION1,SEELLTIH1,2040,0.0
REGION1,SEELLTIH1,2041,0.0
REGION1,SEELLTIH1,2042,0.0
REGION1,SEELLTIH1,2043,0.0
REGION1,SEELLTIH1,2044,0.0
REGION1,SEELLTIH1,2045,0.0
REGION1,SEELLTIH1,2046,0.0
REGION1,SEELLTIH1,2047,0.0
REGION1,SEELLTIH1,2048,0.0
REGION1,SEELLTIH1,2049,0.0
REGION1,SEELLTIH1,2050,0.0
REGION1,SEELLTIH1,2051,0.0
REGION1,SEELLTIH1,2052,0.0
REGION1,SEELLTIH1,2053,0.0
REGION1,SEELLTIH1,2054,0.0
