REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKELNLEH1,2020,0.000
REGION1,DKELNLEH1,2021,7.976
REGION1,DKELNLEH1,2022,19.785
REGION1,DKELNLEH1,2023,0.000
REGION1,DKELNLEH1,2024,0.000
REGION1,DKELNLEH1,2025,0.000
REGION1,DKELNLEH1,2026,0.000
REGION1,DKELNLEH1,2027,0.000
REGION1,DKELNLEH1,2028,0.000
REGION1,DKELNLEH1,2029,0.000
REGION1,DKELNLEH1,2030,20.177
REGION1,DKELNLEH1,2031,21.307
REGION1,DKELNLEH1,2032,22.075
REGION1,DKELNLEH1,2033,22.075
REGION1,DKELNLEH1,2034,21.463
REGION1,DKELNLEH1,2035,22.075
REGION1,DKELNLEH1,2036,22.075
REGION1,DKELNLEH1,2037,22.075
REGION1,DKELNLEH1,2038,22.075
REGION1,DKELNLEH1,2039,22.075
REGION1,DKELNLEH1,2040,22.075
REGION1,DKELNLEH1,2041,21.889
REGION1,DKELNLEH1,2042,22.075
REGION1,DKELNLEH1,2043,22.075
REGION1,DKELNLEH1,2044,22.075
REGION1,DKELNLEH1,2045,22.075
REGION1,DKELNLEH1,2046,22.075
REGION1,DKELNLEH1,2047,22.075
REGION1,DKELNLEH1,2048,22.075
REGION1,DKELNLEH1,2049,22.075
REGION1,DKELNLEH1,2050,22.075
REGION1,DKELNLEH1,2051,22.075
REGION1,DKELNLEH1,2052,22.075
REGION1,DKELNLEH1,2053,22.075
REGION1,DKELNLEH1,2054,22.075
REGION1,DKELNLEH1,2055,22.075
REGION1,DKELNLEH1,2056,22.075
REGION1,DKELNLEH1,2057,22.075
REGION1,DKELNLEH1,2058,22.075
REGION1,DKELNLEH1,2059,22.075
REGION1,DKELNLEH1,2060,22.075
REGION1,NOELUKEH1,2022,44.150
REGION1,NOELUKEH1,2023,39.323
REGION1,NOELUKEH1,2024,26.563
REGION1,NOELUKEH1,2025,42.620
REGION1,NOELUKEH1,2026,43.931
REGION1,NOELUKEH1,2027,44.150
REGION1,NOELUKEH1,2028,44.150
REGION1,NOELUKEH1,2029,44.150
REGION1,NOELUKEH1,2030,29.594
REGION1,NOELUKEH1,2031,44.150
REGION1,NOELUKEH1,2032,41.526
REGION1,NOELUKEH1,2033,44.150
REGION1,NOELUKEH1,2034,44.150
REGION1,NOELUKEH1,2035,43.751
REGION1,NOELUKEH1,2036,43.218
REGION1,NOELUKEH1,2037,43.150
REGION1,NOELUKEH1,2038,42.941
REGION1,NOELUKEH1,2039,42.277
REGION1,NOELUKEH1,2040,42.343
REGION1,NOELUKEH1,2041,32.302
REGION1,NOELUKEH1,2042,42.496
REGION1,NOELUKEH1,2043,42.757
REGION1,NOELUKEH1,2044,42.598
REGION1,NOELUKEH1,2045,42.870
REGION1,NOELUKEH1,2046,42.941
REGION1,NOELUKEH1,2047,42.941
REGION1,NOELUKEH1,2048,42.941
REGION1,NOELUKEH1,2049,42.941
REGION1,NOELUKEH1,2050,42.941
REGION1,NOELUKEH1,2051,43.147
REGION1,NOELUKEH1,2052,42.941
REGION1,NOELUKEH1,2053,42.941
REGION1,NOELUKEH1,2054,38.554
REGION1,NOELUKEH1,2055,32.907
REGION1,NOELUKEH1,2056,29.760
REGION1,NOELUKEH1,2057,23.533
REGION1,NOELUKEH1,2058,28.570
REGION1,NOELUKEH1,2059,33.416
REGION1,NOELUKEH1,2060,42.941
REGION1,SEELPLEH1,2015,0.000
REGION1,SEELPLEH1,2016,0.000
REGION1,SEELPLEH1,2017,0.000
REGION1,SEELPLEH1,2018,0.000
REGION1,SEELPLEH1,2019,0.000
REGION1,SEELPLEH1,2020,0.000
REGION1,SEELPLEH1,2021,0.000
REGION1,SEELPLEH1,2022,19.048
REGION1,SEELPLEH1,2023,19.048
REGION1,SEELPLEH1,2024,19.048
REGION1,SEELPLEH1,2025,19.048
REGION1,SEELPLEH1,2026,19.048
REGION1,SEELPLEH1,2027,19.048
REGION1,SEELPLEH1,2028,19.048
REGION1,SEELPLEH1,2029,19.048
REGION1,SEELPLEH1,2030,19.048
REGION1,SEELPLEH1,2031,19.048
REGION1,SEELPLEH1,2032,19.048
REGION1,SEELPLEH1,2033,19.048
REGION1,SEELPLEH1,2034,19.048
REGION1,SEELPLEH1,2035,19.048
