REGION,TECHNOLOGY,VALUE
REGION1,SEELDEIH1,31.536
REGION1,SEELDEEH1,31.536
REGION1,SEELLTIH1,31.536
REGION1,SEELLTEH1,31.536
REGION1,NOELDEIH1,31.536
REGION1,NOELDEEH1,31.536
REGION1,NOELNLIH1,31.536
REGION1,NOELNLEH1,31.536
REGION1,DKELDEIH1,31.536
REGION1,DKELDEEH1,31.536
REGION1,FIELEEIH1,31.536
REGION1,FIELEEEH1,31.536
REGION1,SEELPLIH1,31.536
REGION1,SEELPLEH1,31.536
REGION1,NOELUKIH1,31.536
REGION1,NOELUKEH1,31.536
REGION1,DKELNLIH1,31.536
REGION1,DKELNLEH1,31.536
REGION1,DKBFHPFH1,31.536
REGION1,DKBMCCPH1,31.536
REGION1,DKBMCHPH3,31.536
REGION1,DKBMCSPN2,31.536
REGION1,DKBMSTPH3,31.536
REGION1,DKCOCHPH3,31.536
REGION1,DKCOCSPN2,31.536
REGION1,DKCOSTPH1,31.536
REGION1,DKCOSTPH3,31.536
REGION1,DKELNOPH1,31.536
REGION1,DKELSEPH1,31.536
REGION1,DKGOCVPH2,31.536
REGION1,DKHFCCPH2,31.536
REGION1,DKHFCHPH3,31.536
REGION1,DKHFGCPH3,31.536
REGION1,DKHFGCPN3,31.536
REGION1,DKHFHPFH1,31.536
REGION1,DKHFHPPH2,31.536
REGION1,DKHFSTPH2,31.536
REGION1,DKHFSTPH3,31.536
REGION1,DKHYDMPH0,31.536
REGION1,DKHYDMPH1,31.536
REGION1,DKHYDMPH2,31.536
REGION1,DKHYDMPH3,31.536
REGION1,DKNGCCPH2,31.536
REGION1,DKNGCHPH3,31.536
REGION1,DKNGCHPN3,31.536
REGION1,DKNGCSPN2,31.536
REGION1,DKNGFCFH1,31.536
REGION1,DKNGGCPH2,31.536
REGION1,DKNGGCPN2,31.536
REGION1,DKNGHPFH1,31.536
REGION1,DKNGHPPH2,31.536
REGION1,DKNGSTPH2,31.536
REGION1,DKOCWVPH1,31.536
REGION1,DKSODIFH1,31.536
REGION1,DKSOUTPH2,31.536
REGION1,DKWIOFPH3,31.536
REGION1,DKWIOFPN2,31.536
REGION1,DKWIOFPN3,31.536
REGION1,DKWIONPH3,31.536
REGION1,DKWSCHPH2,31.536
REGION1,DKWSSTPH1,31.536
REGION1,FIBFHPFH1,31.536
REGION1,FIBMCCPH1,31.536
REGION1,FIBMCHPH3,31.536
REGION1,FIBMCSPN2,31.536
REGION1,FIBMSTPH3,31.536
REGION1,FICOCHPH3,31.536
REGION1,FICOCSPN2,31.536
REGION1,FICOSTPH1,31.536
REGION1,FICOSTPH3,31.536
REGION1,FIELNOPH1,31.536
REGION1,FIELSEPH1,31.536
REGION1,FIGOCVPH2,31.536
REGION1,FIHFCCPH2,31.536
REGION1,FIHFCHPH3,31.536
REGION1,FIHFGCPH3,31.536
REGION1,FIHFGCPN3,31.536
REGION1,FIHFHPFH1,31.536
REGION1,FIHFHPPH2,31.536
REGION1,FIHFSTPH2,31.536
REGION1,FIHFSTPH3,31.536
REGION1,FIHYDMPH0,31.536
REGION1,FIHYDMPH1,31.536
REGION1,FIHYDMPH2,31.536
REGION1,FIHYDMPH3,31.536
REGION1,FINGCCPH2,31.536
REGION1,FINGCHPH3,31.536
REGION1,FINGCHPN3,31.536
REGION1,FINGCSPN2,31.536
REGION1,FINGFCFH1,31.536
REGION1,FINGGCPH2,31.536
REGION1,FINGGCPN2,31.536
REGION1,FINGHPFH1,31.536
REGION1,FINGHPPH2,31.536
REGION1,FINGSTPH2,31.536
REGION1,FINUG2PH3,31.536
REGION1,FINUG3PN3,31.536
REGION1,FIOCWVPH1,31.536
REGION1,FISODIFH1,31.536
REGION1,FISOUTPH2,31.536
REGION1,FIWIOFPH3,31.536
REGION1,FIWIOFPN2,31.536
REGION1,FIWIOFPN3,31.536
REGION1,FIWIONPH3,31.536
REGION1,FIWIONPN3,31.536
REGION1,FIWSCHPH2,31.536
REGION1,FIWSSTPH1,31.536
REGION1,NOBFHPFH1,31.536
REGION1,NOBMCCPH1,31.536
REGION1,NOBMCHPH3,31.536
REGION1,NOBMCSPN2,31.536
REGION1,NOBMSTPH3,31.536
REGION1,NOCOCHPH3,31.536
REGION1,NOCOCSPN2,31.536
REGION1,NOCOSTPH1,31.536
REGION1,NOCOSTPH3,31.536
REGION1,NOELSEPH1,31.536
REGION1,NOHFCCPH2,31.536
REGION1,NOHFCHPH3,31.536
REGION1,NOHFGCPH3,31.536
REGION1,NOHFGCPN3,31.536
REGION1,NOHFHPFH1,31.536
REGION1,NOHFHPPH2,31.536
REGION1,NOHFSTPH2,31.536
REGION1,NOHFSTPH3,31.536
REGION1,NOHYDMPH0,31.536
REGION1,NOHYDMPH1,31.536
REGION1,NOHYDMPH2,31.536
REGION1,NOHYDMPH3,31.536
REGION1,NOHYDSPH2,31.536
REGION1,NOHYDSPH3,31.536
REGION1,NONGCCPH2,31.536
REGION1,NONGCHPH3,31.536
REGION1,NONGCHPN3,31.536
REGION1,NONGCSPN2,31.536
REGION1,NONGFCFH1,31.536
REGION1,NONGGCPH2,31.536
REGION1,NONGGCPN2,31.536
REGION1,NONGHPFH1,31.536
REGION1,NONGHPPH2,31.536
REGION1,NONGSTPH2,31.536
REGION1,NONUG3PN3,31.536
REGION1,NOOCWVPH1,31.536
REGION1,NOSODIFH1,31.536
REGION1,NOSOUTPH2,31.536
REGION1,NOWIOFPH3,31.536
REGION1,NOWIOFPN2,31.536
REGION1,NOWIOFPN3,31.536
REGION1,NOWIONPH3,31.536
REGION1,NOWIONPN3,31.536
REGION1,NOWSCHPH2,31.536
REGION1,NOWSSTPH1,31.536
REGION1,SEBFHPFH1,31.536
REGION1,SEBMCCPH1,31.536
REGION1,SEBMCHPH3,31.536
REGION1,SEBMCSPN2,31.536
REGION1,SEBMSTPH3,31.536
REGION1,SECOCHPH3,31.536
REGION1,SECOCSPN2,31.536
REGION1,SECOSTPH1,31.536
REGION1,SECOSTPH3,31.536
REGION1,SEGOCVPH2,31.536
REGION1,SEHFCCPH2,31.536
REGION1,SEHFCHPH3,31.536
REGION1,SEHFGCPH3,31.536
REGION1,SEHFGCPN3,31.536
REGION1,SEHFHPFH1,31.536
REGION1,SEHFHPPH2,31.536
REGION1,SEHFSTPH2,31.536
REGION1,SEHFSTPH3,31.536
REGION1,SEHYDMPH0,31.536
REGION1,SEHYDMPH1,31.536
REGION1,SEHYDMPH2,31.536
REGION1,SEHYDMPH3,31.536
REGION1,SEHYDSPH2,31.536
REGION1,SEHYDSPH3,31.536
REGION1,SENGCCPH2,31.536
REGION1,SENGCHPH3,31.536
