REGION,TECHNOLOGY,VALUE
REGION1,DKBFHPFH1,20.0
REGION1,DKBMCCPH1,30.0
REGION1,DKBMCHPH3,25.0
REGION1,DKBMCSPN2,35.0
REGION1,DKBMSTPH3,30.0
REGION1,DKCOCHPH3,25.0
REGION1,DKCOCSPN2,40.0
REGION1,DKCOSTPH1,30.0
REGION1,DKCOSTPH3,30.0
REGION1,DKGOCVPH2,40.0
REGION1,DKHFCCPH2,30.0
REGION1,DKHFCHPH3,25.0
REGION1,DKHFGCPH3,25.0
REGION1,DKHFGCPN3,25.0
REGION1,DKHFHPFH1,20.0
REGION1,DKHFHPPH2,20.0
REGION1,DKHFSTPH2,30.0
REGION1,DKHFSTPH3,30.0
REGION1,DKHYDMPH0,80.0
REGION1,DKHYDMPH1,80.0
REGION1,DKHYDMPH2,80.0
REGION1,DKHYDMPH3,80.0
REGION1,DKNGCCPH2,30.0
REGION1,DKNGCHPH3,25.0
REGION1,DKNGCHPN3,25.0
REGION1,DKNGCSPN2,30.0
REGION1,DKNGFCFH1,5.0
REGION1,DKNGGCPH2,25.0
REGION1,DKNGGCPN2,25.0
REGION1,DKNGHPFH1,20.0
REGION1,DKNGHPPH2,20.0
REGION1,DKNGSTPH2,30.0
REGION1,DKOCWVPH1,25.0
REGION1,DKSODIFH1,25.0
REGION1,DKSOUTPH2,25.0
REGION1,DKWIOFPH3,25.0
REGION1,DKWIOFPN2,25.0
REGION1,DKWIOFPN3,25.0
REGION1,DKWIONPH3,25.0
REGION1,DKWSCHPH2,25.0
REGION1,DKWSSTPH1,30.0
REGION1,FIBFHPFH1,20.0
REGION1,FIBMCCPH1,30.0
REGION1,FIBMCHPH3,25.0
REGION1,FIBMCSPN2,35.0
REGION1,FIBMSTPH3,30.0
REGION1,FICOCHPH3,25.0
REGION1,FICOCSPN2,40.0
REGION1,FICOSTPH1,30.0
REGION1,FICOSTPH3,30.0
REGION1,FIGOCVPH2,40.0
REGION1,FIHFCCPH2,30.0
REGION1,FIHFCHPH3,25.0
REGION1,FIHFGCPH3,25.0
REGION1,FIHFGCPN3,25.0
REGION1,FIHFHPFH1,20.0
REGION1,FIHFHPPH2,20.0
REGION1,FIHFSTPH2,30.0
REGION1,FIHFSTPH3,30.0
REGION1,FIHYDMPH0,80.0
REGION1,FIHYDMPH1,80.0
REGION1,FIHYDMPH2,80.0
REGION1,FIHYDMPH3,80.0
REGION1,FINGCCPH2,30.0
REGION1,FINGCHPH3,25.0
REGION1,FINGCHPN3,25.0
REGION1,FINGCSPN2,30.0
REGION1,FINGFCFH1,5.0
REGION1,FINGGCPH2,25.0
REGION1,FINGGCPN2,25.0
REGION1,FINGHPFH1,20.0
REGION1,FINGHPPH2,20.0
REGION1,FINGSTPH2,30.0
REGION1,FINUG2PH3,50.0
REGION1,FINUG3PN3,60.0
REGION1,FIOCWVPH1,25.0
REGION1,FISODIFH1,25.0
REGION1,FISOUTPH2,25.0
REGION1,FIWIOFPH3,25.0
REGION1,FIWIOFPN2,25.0
REGION1,FIWIOFPN3,25.0
REGION1,FIWIONPH3,25.0
REGION1,FIWIONPN3,25.0
REGION1,FIWSCHPH2,25.0
REGION1,FIWSSTPH1,30.0
REGION1,NOBFHPFH1,20.0
REGION1,NOBMCCPH1,30.0
REGION1,NOBMCHPH3,25.0
REGION1,NOBMCSPN2,35.0
REGION1,NOBMSTPH3,30.0
REGION1,NOCOCHPH3,25.0
REGION1,NOCOCSPN2,40.0
REGION1,NOCOSTPH1,30.0
REGION1,NOCOSTPH3,30.0
REGION1,NOHFCCPH2,30.0
REGION1,NOHFCHPH3,25.0
REGION1,NOHFGCPH3,25.0
REGION1,NOHFGCPN3,25.0
REGION1,NOHFHPFH1,20.0
REGION1,NOHFHPPH2,20.0
REGION1,NOHFSTPH2,30.0
REGION1,NOHFSTPH3,30.0
REGION1,NOHYDMPH0,80.0
REGION1,NOHYDMPH1,80.0
REGION1,NOHYDMPH2,80.0
REGION1,NOHYDMPH3,80.0
REGION1,NOHYDSPH2,80.0
REGION1,NOHYDSPH3,80.0
REGION1,NONGCCPH2,30.0
REGION1,NONGCHPH3,25.0
REGION1,NONGCHPN3,25.0
REGION1,NONGCSPN2,30.0
REGION1,NONGFCFH1,5.0
REGION1,NONGGCPH2,25.0
REGION1,NONGGCPN2,25.0
REGION1,NONGHPFH1,20.0
REGION1,NONGHPPH2,20.0
REGION1,NONGSTPH2,30.0
REGION1,NONUG3PN3,60.0
REGION1,NOOCWVPH1,25.0
REGION1,NOSODIFH1,25.0
REGION1,NOSOUTPH2,25.0
REGION1,NOWIOFPH3,25.0
REGION1,NOWIOFPN2,25.0
REGION1,NOWIOFPN3,25.0
REGION1,NOWIONPH3,25.0
REGION1,NOWIONPN3,25.0
REGION1,NOWSCHPH2,25.0
REGION1,NOWSSTPH1,30.0
REGION1,SEBFHPFH1,20.0
REGION1,SEBMCCPH1,30.0
REGION1,SEBMCHPH3,25.0
REGION1,SEBMCSPN2,35.0
REGION1,SEBMSTPH3,30.0
REGION1,SECOCHPH3,25.0
REGION1,SECOCSPN2,40.0
REGION1,SECOSTPH1,30.0
REGION1,SECOSTPH3,30.0
REGION1,SEGOCVPH2,40.0
REGION1,SEHFCCPH2,30.0
REGION1,SEHFCHPH3,25.0
REGION1,SEHFGCPH3,25.0
REGION1,SEHFGCPN3,25.0
REGION1,SEHFHPFH1,20.0
REGION1,SEHFHPPH2,20.0
REGION1,SEHFSTPH2,30.0
REGION1,SEHFSTPH3,30.0
REGION1,SEHYDMPH0,80.0
REGION1,SEHYDMPH1,80.0
REGION1,SEHYDMPH2,80.0
REGION1,SEHYDMPH3,80.0
REGION1,SEHYDSPH2,80.0
REGION1,SEHYDSPH3,80.0
REGION1,SENGCCPH2,30.0
REGION1,SENGCHPH3,25.0
REGION1,SENGCHPN3,25.0
REGION1,SENGCSPN2,30.0
REGION1,SENGFCFH1,5.0
REGION1,SENGGCPH2,25.0
REGION1,SENGGCPN2,25.0
REGION1,SENGHPFH1,20.0
REGION1,SENGHPPH2,20.0
REGION1,SENGSTPH2,30.0
REGION1,SENUG2PH3,50.0
REGION1,SENUG3PN3,60.0
REGION1,SEOCWVPH1,25.0
REGION1,SESODIFH1,25.0
REGION1,SESOUTPH2,25.0
REGION1,SEWIOFPH3,25.0
REGION1,SEWIOFPN2,25.0
REGION1,SEWIOFPN3,25.0
REGION1,SEWIONPH3,25.0
REGION1,SEWIONPN3,25.0
REGION1,SEWSCHPH2,25.0
REGION1,SEWSSTPH1,30.0
