REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,0.05599344242248978
REGION1,DKBMCSPN2,2031,0.05770761661366858
REGION1,DKBMCSPN2,2032,0.05985732267708336
REGION1,DKBMCSPN2,2033,0.06250203144489405
REGION1,DKBMCSPN2,2034,0.06571771221645274
REGION1,DKBMCSPN2,2035,0.06960134281478729
REGION1,DKBMCSPN2,2036,0.07427695419659161
REGION1,DKBMCSPN2,2037,0.07990416847857754
REGION1,DKBMCSPN2,2038,0.08680144476600557
REGION1,DKBMCSPN2,2039,0.09768246560337071
REGION1,DKBMCSPN2,2040,0.11260785207363228
REGION1,DKBMCSPN2,2041,0.12943158635756172
REGION1,DKBMCSPN2,2042,0.1483384131218604
REGION1,DKBMCSPN2,2043,0.16952413811021677
REGION1,DKBMCSPN2,2044,0.19319574524293667
REGION1,DKBMCSPN2,2045,0.21957157362412413
REGION1,DKBMCSPN2,2046,0.2488816185776707
REGION1,DKBMCSPN2,2047,0.28136805336145615
REGION1,DKBMCSPN2,2048,0.31728611926845685
REGION1,DKBMCSPN2,2049,0.3569056149731139
REGION1,DKBMCSPN2,2050,0.4005133569614247
REGION1,DKBMCSPN2,2051,0.44895451411279447
REGION1,DKBMCSPN2,2052,0.5018438489314376
REGION1,DKBMCSPN2,2053,0.5599646795914316
REGION1,DKBMCSPN2,2054,0.624408012096839
REGION1,DKBMCSPN2,2055,0.6967357379095889
REGION1,DKBMCSPN2,2056,0.7772543729723589
REGION1,DKBMCSPN2,2057,0.8691122095043933
REGION1,DKBMCSPN2,2058,0.9779723074145812
REGION1,DKBMCSPN2,2059,1.1158597155335883
REGION1,DKBMCSPN2,2060,1.3180907515411788
REGION1,DKBMSTPH3,2023,0.001231116771338589
REGION1,DKBMSTPH3,2024,0.06584359230960829
REGION1,DKBMSTPH3,2025,0.09489234747397547
REGION1,DKBMSTPH3,2026,0.09489234747397547
REGION1,DKBMSTPH3,2027,0.09489234747397547
REGION1,DKBMSTPH3,2028,0.09489234747397547
REGION1,DKBMSTPH3,2029,0.09489234747397547
REGION1,DKBMSTPH3,2030,0.09489234747397547
REGION1,DKBMSTPH3,2031,0.09489234747397547
REGION1,DKBMSTPH3,2032,0.09489234747397547
REGION1,DKBMSTPH3,2033,0.09489234747397547
REGION1,DKBMSTPH3,2034,0.09489234747397547
REGION1,DKBMSTPH3,2035,0.09489234747397547
REGION1,DKBMSTPH3,2036,0.09489234747397547
REGION1,DKBMSTPH3,2037,0.09489234747397547
REGION1,DKBMSTPH3,2038,0.09489234747397547
REGION1,DKBMSTPH3,2039,0.09489234747397547
REGION1,DKBMSTPH3,2040,0.09489234747397547
REGION1,DKBMSTPH3,2041,0.09489234747397547
REGION1,DKBMSTPH3,2042,0.09489234747397547
REGION1,DKBMSTPH3,2043,0.09489234747397547
REGION1,DKBMSTPH3,2044,0.09799999999999982
REGION1,DKBMSTPH3,2045,0.09799999999999982
REGION1,DKBMSTPH3,2046,0.09799999999999982
REGION1,DKBMSTPH3,2047,0.09799999999999982
REGION1,DKBMSTPH3,2048,0.09799999999999982
REGION1,DKBMSTPH3,2049,0.09799999999999982
REGION1,DKBMSTPH3,2050,0.09799999999999982
REGION1,DKBMSTPH3,2051,0.09799999999999982
REGION1,DKBMSTPH3,2052,0.09799999999999982
REGION1,DKBMSTPH3,2053,0.09676888322866123
REGION1,DKBMSTPH3,2054,0.03215640769039154
REGION1,DKBMSTPH3,2055,0.003107652526024356
REGION1,DKBMSTPH3,2056,0.003107652526024356
REGION1,DKBMSTPH3,2057,0.003107652526024356
REGION1,DKBMSTPH3,2058,0.003107652526024356
REGION1,DKBMSTPH3,2059,0.003107652526024356
REGION1,DKBMSTPH3,2060,0.003107652526024356
REGION1,DKGOCVPH2,2022,0.032358405308954355
