REGION,EMISSION,YEAR,VALUE
REGION1,BMIM,2015,0.0
REGION1,BMIM,2016,0.0
REGION1,BMIM,2017,0.0
REGION1,BMIM,2018,0.0
REGION1,BMIM,2019,0.0
REGION1,BMIM,2020,0.0
REGION1,BMIM,2021,0.0
REGION1,BMIM,2022,0.0
REGION1,BMIM,2023,0.0
REGION1,BMIM,2024,0.0
REGION1,BMIM,2025,0.0
REGION1,BMIM,2026,0.0
REGION1,BMIM,2027,0.0
REGION1,BMIM,2028,0.0
REGION1,BMIM,2029,0.0
REGION1,BMIM,2030,0.0
REGION1,BMIM,2031,0.0
REGION1,BMIM,2032,0.0
REGION1,BMIM,2033,0.0
REGION1,BMIM,2034,0.0
REGION1,BMIM,2035,0.0
REGION1,BMIM,2036,0.0
REGION1,BMIM,2037,0.0
REGION1,BMIM,2038,0.0
REGION1,BMIM,2039,0.0
REGION1,BMIM,2040,0.0
REGION1,BMIM,2041,0.0
REGION1,BMIM,2042,0.0
REGION1,BMIM,2043,0.0
REGION1,BMIM,2044,0.0
REGION1,BMIM,2045,0.0
REGION1,BMIM,2046,0.0
REGION1,BMIM,2047,0.0
REGION1,BMIM,2048,0.0
REGION1,BMIM,2049,0.0
REGION1,BMIM,2050,0.0
REGION1,BMIM,2051,0.0
REGION1,BMIM,2052,0.0
REGION1,BMIM,2053,0.0
REGION1,BMIM,2054,0.0
REGION1,BMIM,2055,0.0
REGION1,BMIM,2056,0.0
REGION1,BMIM,2057,0.0
REGION1,BMIM,2058,0.0
REGION1,BMIM,2059,0.0
REGION1,BMIM,2060,0.0
REGION1,CO2,2015,22909.974019538415
REGION1,CO2,2016,24010.592265957814
REGION1,CO2,2017,24919.629423072023
REGION1,CO2,2018,13596.31715190914
REGION1,CO2,2019,13074.791743994158
REGION1,CO2,2020,12663.503721399808
REGION1,CO2,2021,17929.02452576902
REGION1,CO2,2022,27975.361546241165
REGION1,CO2,2023,16489.121285046956
REGION1,CO2,2024,10347.424124367246
REGION1,CO2,2025,10231.158506437969
REGION1,CO2,2026,10048.196125271801
REGION1,CO2,2027,10310.531420672121
REGION1,CO2,2028,10086.427325457007
REGION1,CO2,2029,8902.953032801503
REGION1,CO2,2030,1789.862467978851
REGION1,CO2,2031,1608.9149833092981
REGION1,CO2,2032,-3172.244792978487
REGION1,CO2,2033,-6147.639794006759
REGION1,CO2,2034,-7955.17848850358
REGION1,CO2,2035,-23522.593571334342
REGION1,CO2,2036,-26340.808209795796
REGION1,CO2,2037,-31191.196949959907
REGION1,CO2,2038,-33405.66827414487
REGION1,CO2,2039,-36325.41225428181
REGION1,CO2,2040,-40033.98803094291
REGION1,CO2,2041,-44311.408380905836
REGION1,CO2,2042,-49011.81489094234
REGION1,CO2,2043,-52946.26147701546
REGION1,CO2,2044,-57819.82692458037
REGION1,CO2,2045,-62755.76901843336
REGION1,CO2,2046,-68389.38842833051
REGION1,CO2,2047,-72799.51603171664
REGION1,CO2,2048,-74657.76742653536
REGION1,CO2,2049,-75926.66353115583
REGION1,CO2,2050,-77198.62699306922
REGION1,CO2,2051,-79370.0318777915
REGION1,CO2,2052,-80474.60257707923
REGION1,CO2,2053,-81506.16060390712
REGION1,CO2,2054,-82479.68063501868
REGION1,CO2,2055,-83407.28190884979
REGION1,CO2,2056,-84117.51502720063
REGION1,CO2,2057,-84796.86331242607
REGION1,CO2,2058,-85452.11531480707
REGION1,CO2,2059,-86088.47899411527
REGION1,CO2,2060,-86710.61955265944
REGION1,DKHO,2015,0.07999998306619478
REGION1,DKHO,2016,0.07999998306619478
REGION1,DKHO,2017,0.022035464592726303
REGION1,DKHO,2018,0.07999996909815668
REGION1,DKHO,2019,0.0799999689832498
REGION1,DKHO,2020,0.07999996920793605
REGION1,DKHO,2021,0.07999996934815527
REGION1,DKHO,2022,0.07999996916015506
REGION1,DKHO,2023,0.07999996942836236
REGION1,DKHO,2024,0.0799999693165298
REGION1,DKHO,2025,0.0799999693202298
REGION1,DKHO,2026,0.07999996932584649
REGION1,DKHO,2027,0.07999996932584598
REGION1,DKHO,2028,0.07999996959102938
REGION1,DKHO,2029,0.07999996920793605
REGION1,DKHO,2030,0.07999996957281814
REGION1,DKHO,2031,0.07999996910575105
REGION1,DKHO,2032,0.07999996914771731
REGION1,DKHO,2033,0.07999996931652885
REGION1,DKHO,2034,0.07999996851356801
REGION1,DKHO,2035,0.07999996851356801
REGION1,DKHO,2036,0.07999996932584648
REGION1,DKHO,2037,0.07999996856226244
REGION1,DKHO,2038,0.07999996914771727
REGION1,DKHO,2039,0.07999996914534695
REGION1,DKHO,2040,0.0799999686283846
REGION1,DKHO,2041,0.07999996801706119
REGION1,DKHO,2042,0.07999996862838363
REGION1,DKHO,2043,0.07999996879780047
REGION1,DKHO,2044,0.0799999685413079
REGION1,DKHO,2045,0.07999996756736454
REGION1,DKHO,2046,0.07999996801706245
REGION1,DKHO,2047,0.07999996777253689
REGION1,DKHO,2048,0.07999996777253866
REGION1,DKHO,2049,0.07999996756735965
REGION1,DKHO,2050,0.07999996756735912
REGION1,DKHO,2051,0.07999996756734708
REGION1,DKHO,2052,0.07999996756735912
REGION1,DKHO,2053,0.07999996893723278
REGION1,DKHO,2054,0.07999996893722923
REGION1,DKHO,2055,0.07999996862837896
REGION1,DKHO,2056,0.07999996915684018
REGION1,DKHO,2057,0.07999996779029989
REGION1,DKHO,2058,0.07999996756735521
REGION1,DKHO,2059,0.07999996862838463
REGION1,DKHO,2060,0.07999996756735915
REGION1,DKPM25,2015,1.6117479444081155
REGION1,DKPM25,2016,1.638369359799874
REGION1,DKPM25,2017,1.6543149048193873
REGION1,DKPM25,2018,1.5582489161978186
REGION1,DKPM25,2019,1.5582430744047286
REGION1,DKPM25,2020,1.5479827329863565
REGION1,DKPM25,2021,1.5825522234987357
REGION1,DKPM25,2022,1.6954548775369105
REGION1,DKPM25,2023,1.1471608471933668
REGION1,DKPM25,2024,1.303854816559579
REGION1,DKPM25,2025,1.3891581695045498
REGION1,DKPM25,2026,1.3888721127489079
REGION1,DKPM25,2027,1.3886686579515939
REGION1,DKPM25,2028,1.3872361364052768
REGION1,DKPM25,2029,1.3872872623231298
REGION1,DKPM25,2030,1.2203554956644238
REGION1,DKPM25,2031,1.2229952974154905
REGION1,DKPM25,2032,1.222477121012741
REGION1,DKPM25,2033,1.2219589639360762
REGION1,DKPM25,2034,1.2214409829790625
REGION1,DKPM25,2035,1.2209225223494928
REGION1,DKPM25,2036,1.2206974439178535
REGION1,DKPM25,2037,1.209998855130462
REGION1,DKPM25,2038,1.2095004024225098
REGION1,DKPM25,2039,1.0099689527466558
REGION1,DKPM25,2040,0.7595789259152036
REGION1,DKPM25,2041,0.5499776404988177
REGION1,DKPM25,2042,0.3339539716398824
REGION1,DKPM25,2043,0.3542122041416323
REGION1,DKPM25,2044,0.033677735444579
REGION1,DKPM25,2045,0.32323305486889187
REGION1,DKPM25,2046,0.3229587009391901
REGION1,DKPM25,2047,0.2709665030989029
REGION1,DKPM25,2048,0.20934968174719026
REGION1,DKPM25,2049,0.13748723090558146
REGION1,DKPM25,2050,0.054763286689729136
REGION1,DKPM25,2051,0.023083840203032266
REGION1,DKPM25,2052,0.022783733329477515
REGION1,DKPM25,2053,0.022487564888601878
REGION1,DKPM25,2054,0.02219518762238001
REGION1,DKPM25,2055,0.02190668188566753
REGION1,DKPM25,2056,0.021578107512379048
REGION1,DKPM25,2057,0.021254432674230363
REGION1,DKPM25,2058,0.020935593816084917
REGION1,DKPM25,2059,0.02062151871796422
REGION1,DKPM25,2060,0.020312196118793206
REGION1,DKSO,2015,2.771097774546021
REGION1,DKSO,2016,2.771097774546021
REGION1,DKSO,2017,2.771097774546021
REGION1,DKSO,2018,2.771097774546021
REGION1,DKSO,2019,2.771097774546026
REGION1,DKSO,2020,2.771097774546026
REGION1,DKSO,2021,2.771097774546026
REGION1,DKSO,2022,2.771097774546026
REGION1,DKSO,2023,2.7710800565295646
REGION1,DKSO,2024,5.0017926892633575
REGION1,DKSO,2025,8.439992080335903
