REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,12.014504280309298
REGION1,DKBFHPFH1,2016,11.932454006825099
REGION1,DKBFHPFH1,2017,11.850403733340897
REGION1,DKBFHPFH1,2018,11.7683534598567
REGION1,DKBFHPFH1,2019,11.686303186372498
REGION1,DKBFHPFH1,2020,11.604252912888299
REGION1,DKBFHPFH1,2021,11.569088510866598
REGION1,DKBFHPFH1,2022,11.5339241088449
REGION1,DKBFHPFH1,2023,8.651399112828
REGION1,DKBFHPFH1,2024,3.9861588320805
REGION1,DKBFHPFH1,2025,3.4475564011798
REGION1,DKBFHPFH1,2026,3.3465358314080995
REGION1,DKBFHPFH1,2027,3.1838811426761997
REGION1,DKBFHPFH1,2028,2.0355661310540003
REGION1,DKBFHPFH1,2029,1.7692962527363998
REGION1,DKBFHPFH1,2030,1.4601763336608
REGION1,DKBFHPFH1,2031,1.3051737983837
REGION1,DKBMCSPN2,2030,7.119479442180541
REGION1,DKBMCSPN2,2031,7.337434034476017
REGION1,DKBMCSPN2,2032,7.610765829469661
REGION1,DKBMCSPN2,2033,7.947036451320555
REGION1,DKBMCSPN2,2034,8.355905278726887
REGION1,DKBMCSPN2,2035,8.849702891619511
REGION1,DKBMCSPN2,2036,9.444199633956096
REGION1,DKBMCSPN2,2037,10.159691210542077
REGION1,DKBMCSPN2,2038,11.036669203158944
REGION1,DKBMCSPN2,2039,12.420174142488133
REGION1,DKBMCSPN2,2040,14.317913905295555
REGION1,DKBMCSPN2,2041,16.45702565112091
REGION1,DKBMCSPN2,2042,18.86099937807342
REGION1,DKBMCSPN2,2043,21.55473148306206
REGION1,DKBMCSPN2,2044,24.564539650832142
REGION1,DKBMCSPN2,2045,27.91818536015405
REGION1,DKBMCSPN2,2046,31.64491216008284
REGION1,DKBMCSPN2,2047,35.775512005110464
REGION1,DKBMCSPN2,2048,40.34243843014248
REGION1,DKBMCSPN2,2049,45.37999591858103
REGION1,DKBMCSPN2,2050,50.92465274219854
REGION1,DKBMCSPN2,2051,57.0838708144222
REGION1,DKBMCSPN2,2052,63.80866778458837
REGION1,DKBMCSPN2,2053,71.1986413447795
REGION1,DKBMCSPN2,2054,79.39251121789833
REGION1,DKBMCSPN2,2055,88.58886948317833
REGION1,DKBMCSPN2,2056,98.82668916778451
REGION1,DKBMCSPN2,2057,110.50627074911498
REGION1,DKBMCSPN2,2058,124.34766351967366
REGION1,DKBMCSPN2,2059,141.87983380546652
REGION1,DKBMCSPN2,2060,167.59319667684136
REGION1,DKBMSTPH3,2015,39.360586592669435
REGION1,DKBMSTPH3,2016,39.07605223271679
REGION1,DKBMSTPH3,2017,38.79151787276416
REGION1,DKBMSTPH3,2018,38.506983512811516
REGION1,DKBMSTPH3,2019,38.222449147760635
REGION1,DKBMSTPH3,2020,37.937914787808
REGION1,DKBMSTPH3,2021,37.81145507057408
REGION1,DKBMSTPH3,2022,37.6849953584384
REGION1,DKBMSTPH3,2023,26.987765463927012
REGION1,DKBMSTPH3,2024,31.640846634496548
REGION1,DKBMSTPH3,2025,33.65955152241714
REGION1,DKBMSTPH3,2026,33.54545135121096
REGION1,DKBMSTPH3,2027,33.43135117540481
REGION1,DKBMSTPH3,2028,33.31725099959865
REGION1,DKBMSTPH3,2029,33.203150823792505
REGION1,DKBMSTPH3,2030,29.011727909939953
REGION1,DKBMSTPH3,2031,28.911687467869864
REGION1,DKBMSTPH3,2032,28.811647025799772
REGION1,DKBMSTPH3,2033,28.711606583729683
REGION1,DKBMSTPH3,2034,28.611566145692734
REGION1,DKBMSTPH3,2035,28.511525703622645
REGION1,DKBMSTPH3,2036,28.42599112752813
REGION1,DKBMSTPH3,2037,28.34071315212091
REGION1,DKBMSTPH3,2038,28.255691015136865
REGION1,DKBMSTPH3,2039,28.170923942212447
REGION1,DKBMSTPH3,2040,28.086411167050397
REGION1,DKBMSTPH3,2041,28.00215193545289
REGION1,DKBMSTPH3,2042,27.333775037502768
REGION1,DKBMSTPH3,2043,10.605564217318918
REGION1,DKBMSTPH3,2044,-1.2413573097502796e-14
REGION1,DKBMSTPH3,2045,6.7228658422799885
REGION1,DKBMSTPH3,2046,6.702697244319988
REGION1,DKBMSTPH3,2047,6.682589152539988
REGION1,DKBMSTPH3,2048,6.662541385639988
REGION1,DKBMSTPH3,2049,6.642553761339989
REGION1,DKBMSTPH3,2050,6.622626099319987
REGION1,DKBMSTPH3,2051,6.602758221219988
REGION1,DKBMSTPH3,2052,6.582949946719989
REGION1,DKBMSTPH3,2053,6.480751434758449
REGION1,DKBMSTPH3,2054,2.147100238071864
REGION1,DKBMSTPH3,2055,0.2068770932910871
REGION1,DKBMSTPH3,2056,0.20625646201621717
REGION1,DKBMSTPH3,2057,0.20563769262920514
REGION1,DKBMSTPH3,2058,0.20502077953627648
REGION1,DKBMSTPH3,2059,0.2044057172058097
REGION1,DKBMSTPH3,2060,0.20379250004403027
REGION1,DKCOSTPH1,2015,6.83955363699
REGION1,DKCOSTPH1,2016,6.83955363699
REGION1,DKCOSTPH1,2017,6.83955363699
REGION1,DKCOSTPH1,2018,6.83955363699
REGION1,DKCOSTPH1,2019,6.83955363699
REGION1,DKCOSTPH1,2020,6.579570604005
REGION1,DKCOSTPH1,2021,1.099928216475
REGION1,DKGOCVPH2,2022,2.140400649944162
REGION1,DKGOCVPH2,2023,2.277298057917302
REGION1,DKGOCVPH2,2024,2.4132882848153043
REGION1,DKGOCVPH2,2025,2.5483666523889617
REGION1,DKGOCVPH2,2026,4.004435237025109
REGION1,DKGOCVPH2,2027,5.45132679207206
REGION1,DKGOCVPH2,2028,6.888975119111366
REGION1,DKGOCVPH2,2029,8.317329487272792
REGION1,DKGOCVPH2,2030,9.736355479192104
REGION1,DKGOCVPH2,2031,10.835015730348033
REGION1,DKGOCVPH2,2032,11.931336863967504
REGION1,DKGOCVPH2,2033,13.025300749662605
REGION1,DKGOCVPH2,2034,13.63552830831283
REGION1,DKGOCVPH2,2035,13.593181946076298
REGION1,DKGOCVPH2,2036,13.550835586008724
REGION1,DKGOCVPH2,2037,13.508489223772191
REGION1,DKGOCVPH2,2038,13.466142863704617
REGION1,DKGOCVPH2,2039,13.423796501468084
REGION1,DKGOCVPH2,2040,13.38145014140051
REGION1,DKGOCVPH2,2041,13.339103779163977
REGION1,DKGOCVPH2,2042,13.296757416927445
REGION1,DKGOCVPH2,2043,13.25441105685987
REGION1,DKGOCVPH2,2044,13.212064694623338
REGION1,DKGOCVPH2,2045,13.169718334555764
REGION1,DKGOCVPH2,2046,13.127371972319231
REGION1,DKGOCVPH2,2047,13.085025612251657
REGION1,DKGOCVPH2,2048,13.042679250015125
REGION1,DKGOCVPH2,2049,13.000332889947552
REGION1,DKGOCVPH2,2050,12.957986527711018
REGION1,DKGOCVPH2,2051,12.945028542731945
REGION1,DKGOCVPH2,2052,12.932083512950738
REGION1,DKGOCVPH2,2053,12.919151429691555
REGION1,DKGOCVPH2,2054,12.906232277771679
REGION1,DKGOCVPH2,2055,12.893326046346306
REGION1,DKGOCVPH2,2056,12.880432720232724
REGION1,DKGOCVPH2,2057,12.867552286417165
REGION1,DKGOCVPH2,2058,12.854684734054835
REGION1,DKGOCVPH2,2059,12.841830050131971
REGION1,DKGOCVPH2,2060,12.828988219465854
REGION1,DKHFCHPH3,2015,0.003085250308
REGION1,DKHFCHPH3,2016,0.003085250308
REGION1,DKHFCHPH3,2017,0.003085250308
REGION1,DKHFCHPH3,2018,0.003085250308
REGION1,DKHFCHPH3,2019,0.003085250308
REGION1,DKHFCHPH3,2020,0.003085250308
REGION1,DKHFCHPH3,2021,0.000200095112
REGION1,DKHFCHPH3,2022,0.002980275157857676
REGION1,DKHFCHPH3,2023,0.018914382218179898
REGION1,DKHFCHPH3,2024,0.029272397805751454
REGION1,DKHFCHPH3,2025,0.029708492737528784
REGION1,DKHFCHPH3,2026,0.030178761308515725
REGION1,DKHFCHPH3,2027,0.03204355616483915
REGION1,DKHFCHPH3,2028,0.032573988318613425
REGION1,DKHFCHPH3,2029,0.03279897484748244
REGION1,DKHFCHPH3,2030,0.03279897484748244
REGION1,DKHFCHPH3,2031,0.03293182111631342
REGION1,DKHFCHPH3,2032,0.03322399647634266
REGION1,DKHFCHPH3,2033,0.03342323596044617
REGION1,DKHFCHPH3,2034,0.03355932200182777
REGION1,DKHFCHPH3,2035,0.03361661066055379
REGION1,DKHFCHPH3,2036,0.03361661066055379
REGION1,DKHFCHPH3,2037,0.033687645024009345
REGION1,DKHFCHPH3,2038,0.033778011736750595
REGION1,DKHFCHPH3,2039,0.033778011736750595
REGION1,DKHFCHPH3,2040,0.033778011736750595
REGION1,DKHFCHPH3,2041,0.033778011736750595
REGION1,DKHFCHPH3,2042,0.033778011736750595
REGION1,DKHFCHPH3,2043,0.034576458051497186
REGION1,DKHFCHPH3,2044,0.03583804280848893
REGION1,DKHFCHPH3,2045,0.03583804280848893
REGION1,DKHFCHPH3,2046,0.03583804280848893
REGION1,DKHFCHPH3,2047,0.03612974771691358
REGION1,DKHFCHPH3,2048,0.036459468953222114
REGION1,DKHFCHPH3,2049,0.03676917294601923
REGION1,DKHFCHPH3,2050,0.03705730859863226
REGION1,DKHFCHPH3,2051,0.037304130477389424
REGION1,DKHFCHPH3,2052,0.037787348384192
REGION1,DKHFCHPH3,2053,0.038035830243650155
REGION1,DKHFCHPH3,2054,0.038544116517093475
REGION1,DKHFCHPH3,2055,0.0388800232643159
REGION1,DKHFCHPH3,2056,0.03882672676972611
REGION1,DKHFCHPH3,2057,0.03861092062226251
REGION1,DKHFCHPH3,2058,0.038411681138158994
REGION1,DKHFCHPH3,2059,0.038275595096777394
REGION1,DKHFCHPH3,2060,0.03821830643805137
REGION1,DKHFGCPH3,2015,1.7263838892864
REGION1,DKHFGCPH3,2016,1.7642481814536
REGION1,DKHFGCPH3,2017,1.8021124733902
REGION1,DKHFGCPH3,2018,1.8399767653268
REGION1,DKHFGCPH3,2019,1.8778410572634
REGION1,DKHFGCPH3,2020,1.9157053492
REGION1,DKHFGCPH3,2021,1.9157053492
REGION1,DKHFGCPH3,2022,0.103843525
REGION1,DKHFSTPH3,2015,33.7652382705
