REGION,TECHNOLOGY,YEAR,VALUE,absolute_production
REGION1,DKELRENEW,2015,0.6694,66.84
REGION1,DKELRENEW,2016,0.6151,66.84
REGION1,DKELRENEW,2017,0.59,66.79
REGION1,DKELRENEW,2018,0.8587,66.84
REGION1,DKELRENEW,2019,0.87,66.84
REGION1,DKELRENEW,2020,0.9164,66.84
REGION1,DKELRENEW,2021,0.79,66.84
REGION1,DKELRENEW,2022,0.5661,75.59
REGION1,DKELRENEW,2023,0.8521,71.49
REGION1,DKELRENEW,2024,0.9917,73.4
REGION1,DKELRENEW,2025,0.992,76.58
REGION1,DKELRENEW,2026,1.0,77.31
REGION1,DKELRENEW,2027,1.0,76.06
REGION1,DKELRENEW,2028,1.0,73.88
REGION1,DKELRENEW,2029,1.0,75.1
REGION1,DKELRENEW,2030,1.0,91.54
REGION1,DKELRENEW,2031,1.0,93.98
REGION1,DKELRENEW,2032,1.0,99.92
REGION1,DKELRENEW,2033,1.0,105.73
REGION1,DKELRENEW,2034,1.0,113.64
REGION1,DKELRENEW,2035,1.0,125.18
REGION1,DKELRENEW,2036,1.0,138.63
REGION1,DKELRENEW,2037,1.0,149.76
REGION1,DKELRENEW,2038,1.0,161.94
REGION1,DKELRENEW,2039,1.0,173.08
REGION1,DKELRENEW,2040,1.0,200.63
REGION1,DKELRENEW,2041,1.0,228.66
REGION1,DKELRENEW,2042,1.0,229.65
REGION1,DKELRENEW,2043,1.0,240.67
REGION1,DKELRENEW,2044,1.0,239.11
REGION1,DKELRENEW,2045,1.0,251.55
REGION1,DKELRENEW,2046,1.0,252.28
REGION1,DKELRENEW,2047,1.0,252.69
REGION1,DKELRENEW,2048,1.0,253.13
REGION1,DKELRENEW,2049,1.0,253.6
REGION1,DKELRENEW,2050,1.0,254.08
REGION1,DKELRENEW,2051,1.0,254.45
REGION1,DKELRENEW,2052,1.0,254.8
REGION1,DKELRENEW,2053,1.0,255.15
REGION1,DKELRENEW,2054,1.0,257.11
REGION1,DKELRENEW,2055,1.0,258.4
REGION1,DKELRENEW,2056,1.0,263.32
REGION1,DKELRENEW,2057,1.0,271.29
REGION1,DKELRENEW,2058,1.0,278.16
REGION1,DKELRENEW,2059,1.0,278.11
REGION1,DKELRENEW,2060,1.0,288.08
REGION1,ELRENEW,2015,0.9335,1277.18
REGION1,ELRENEW,2016,0.9341,1294.36
REGION1,ELRENEW,2017,0.9327,1293.49
REGION1,ELRENEW,2018,0.9694,1362.65
REGION1,ELRENEW,2019,0.9707,1348.29
REGION1,ELRENEW,2020,0.9718,1338.5
REGION1,ELRENEW,2021,0.9571,1357.56
REGION1,ELRENEW,2022,0.9275,1442.1
REGION1,ELRENEW,2023,0.9588,1499.91
REGION1,ELRENEW,2024,0.9792,1553.61
REGION1,ELRENEW,2025,0.9828,1595.92
REGION1,ELRENEW,2026,0.987,1634.67
REGION1,ELRENEW,2027,0.9876,1678.78
REGION1,ELRENEW,2028,0.9895,1735.54
REGION1,ELRENEW,2029,0.9961,1770.92
REGION1,ELRENEW,2030,1.0,1826.36
REGION1,ELRENEW,2031,1.0,1872.51
REGION1,ELRENEW,2032,1.0,1935.26
REGION1,ELRENEW,2033,1.0,2019.04
REGION1,ELRENEW,2034,1.0,2101.89
REGION1,ELRENEW,2035,1.0,2161.05
REGION1,ELRENEW,2036,1.0,2223.51
REGION1,ELRENEW,2037,1.0,2284.17
REGION1,ELRENEW,2038,1.0,2329.49
REGION1,ELRENEW,2039,1.0,2378.84
REGION1,ELRENEW,2040,1.0,2427.68
REGION1,ELRENEW,2041,1.0,2458.21
REGION1,ELRENEW,2042,1.0,2506.23
REGION1,ELRENEW,2043,1.0,2542.09
REGION1,ELRENEW,2044,1.0,2591.94
REGION1,ELRENEW,2045,1.0,2630.81
REGION1,ELRENEW,2046,1.0,2689.24
REGION1,ELRENEW,2047,1.0,2741.89
REGION1,ELRENEW,2048,1.0,2788.83
REGION1,ELRENEW,2049,1.0,2839.2
REGION1,ELRENEW,2050,1.0,2886.68
REGION1,ELRENEW,2051,1.0,2898.98
REGION1,ELRENEW,2052,1.0,2916.81
REGION1,ELRENEW,2053,1.0,2924.8
REGION1,ELRENEW,2054,1.0,2946.22
REGION1,ELRENEW,2055,1.0,2948.89
