REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DKBMCSPN2,CO2,2030,-317.04236225215544
REGION1,DKBMCSPN2,CO2,2031,-325.814683072294
REGION1,DKBMCSPN2,CO2,2032,-336.98348341944137
REGION1,DKBMCSPN2,CO2,2033,-350.8614939190736
REGION1,DKBMCSPN2,CO2,2034,-367.84989764517127
REGION1,DKBMCSPN2,CO2,2035,-388.462230503042
REGION1,DKBMCSPN2,CO2,2036,-413.3563483862666
REGION1,DKBMCSPN2,CO2,2037,-443.37953270732424
REGION1,DKBMCSPN2,CO2,2038,-480.247532484067
REGION1,DKBMCSPN2,CO2,2039,-538.8688711538623
REGION1,DKBMCSPN2,CO2,2040,-619.383576089657
REGION1,DKBMCSPN2,CO2,2041,-711.9201942695879
REGION1,DKBMCSPN2,CO2,2042,-815.9145243878116
REGION1,DKBMCSPN2,CO2,2043,-932.443625084127
REGION1,DKBMCSPN2,CO2,2044,-1062.6459650352408
REGION1,DKBMCSPN2,CO2,2045,-1207.7224243162484
REGION1,DKBMCSPN2,CO2,2046,-1368.9382485428741
REGION1,DKBMCSPN2,CO2,2047,-1547.625302205051
REGION1,DKBMCSPN2,CO2,2048,-1745.187503607241
REGION1,DKBMCSPN2,CO2,2049,-1963.1089116270036
REGION1,DKBMCSPN2,CO2,2050,-2202.967289911486
REGION1,DKBMCSPN2,CO2,2051,-2331.0970490054983
REGION1,DKBMCSPN2,CO2,2052,-2423.278897676737
REGION1,DKBMCSPN2,CO2,2053,-2514.439243132935
REGION1,DKBMCSPN2,CO2,2054,-2604.9528439569726
REGION1,DKBMCSPN2,CO2,2055,-2694.911741870282
REGION1,DKBMCSPN2,CO2,2056,-2742.840018889297
REGION1,DKBMCSPN2,CO2,2057,-2789.89152262348
REGION1,DKBMCSPN2,CO2,2058,-2836.331615968628
REGION1,DKBMCSPN2,CO2,2059,-2882.2295092400445
REGION1,DKBMCSPN2,CO2,2060,-2927.7984513410047
REGION1,DKBMSTPH3,DKPM25,2015,1.4968440187806904
REGION1,DKBMSTPH3,DKPM25,2016,1.4968438939507154
REGION1,DKBMSTPH3,DKPM25,2017,1.496843994531897
REGION1,DKBMSTPH3,DKPM25,2018,1.4968443473855595
