REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00X00,2015,74.85032779703063
REGION1,DKBM00X00,2016,74.85032155485413
REGION1,DKBM00X00,2017,74.85032658445931
REGION1,DKBM00X00,2018,74.85034422905818
REGION1,DKBM00X00,2019,74.85032412962629
REGION1,DKBM00X00,2020,74.85032589641304
REGION1,DKBM00X00,2021,74.85030970503503
REGION1,DKBM00X00,2022,74.8503164551737
REGION1,DKBM00X00,2023,53.783850289236035
REGION1,DKBM00X00,2024,63.270001561070934
REGION1,DKBM00X00,2025,67.53482579810922
REGION1,DKBM00X00,2026,67.53482378637783
REGION1,DKBM00X00,2027,67.53482302468242
REGION1,DKBM00X00,2028,67.53481508308089
REGION1,DKBM00X00,2029,67.53482537430789
REGION1,DKBM00X00,2030,69.48894957649144
REGION1,DKBM00X00,2031,69.77324568677967
REGION1,DKBM00X00,2032,71.25669604859242
REGION1,DKBM00X00,2033,83.66204084943763
REGION1,DKBM00X00,2034,96.18242257094533
REGION1,DKBM00X00,2035,108.81614046180326
REGION1,DKBM00X00,2036,121.58867739490304
REGION1,DKBM00X00,2037,177.69694425441438
REGION1,DKBM00X00,2038,192.2065479465639
REGION1,DKBM00X00,2039,195.92542172550046
REGION1,DKBM00X00,2040,198.17148539412028
REGION1,DKBM00X00,2041,202.38356886214822
REGION1,DKBM00X00,2042,206.59563223969852
REGION1,DKBM00X00,2043,210.80794047963025
REGION1,DKBM00X00,2044,198.46594352470692
REGION1,DKBM00X00,2045,217.09853762899692
REGION1,DKBM00X00,2046,221.76722962871068
REGION1,DKBM00X00,2047,224.3023854813468
REGION1,DKBM00X00,2048,226.83778108791097
REGION1,DKBM00X00,2049,229.37293275439396
REGION1,DKBM00X00,2050,231.90809460347535
REGION1,DKBM00X00,2051,234.22792988719556
REGION1,DKBM00X00,2052,236.56965000454184
REGION1,DKBM00X00,2053,238.93463582021087
REGION1,DKBM00X00,2054,241.3252501686716
REGION1,DKBM00X00,2055,243.73678828275595
REGION1,DKBM00X00,2056,244.95652114539095
REGION1,DKBM00X00,2057,246.18094238257794
REGION1,DKBM00X00,2058,247.41233065588918
REGION1,DKBM00X00,2059,248.64833710275252
REGION1,DKBM00X00,2060,249.8913650766876
REGION1,DKCO00I00,2015,204.58200658115123
REGION1,DKCO00I00,2016,269.17694321854367
REGION1,DKCO00I00,2017,309.5632604796826
REGION1,DKCO00I00,2018,66.36170306741722
REGION1,DKCO00I00,2019,63.29355740727854
REGION1,DKCO00I00,2020,38.88494136370285
REGION1,DKCO00I00,2021,134.12575742022008
REGION1,DKCO00I00,2022,441.0514313927489
REGION1,DKCO00I00,2023,93.01246654129743
REGION1,DKCOCHPH3,2015,0.13630749669904108
REGION1,DKCOCHPH3,2016,0.18206990995003666
REGION1,DKCOCHPH3,2017,0.20807989493193252
REGION1,DKCOCHPH3,2018,0.02604016033445966
REGION1,DKCOCHPH3,2019,0.02296566772291443
REGION1,DKCOCHPH3,2020,0.005829238589229872
REGION1,DKCOCHPH3,2021,0.08882907745983969
REGION1,DKCOCHPH3,2022,0.29729189429357755
REGION1,DKCOCHPH3,2023,0.06135481056931249
REGION1,DKHGBCPN2,2032,2.3502056649889145
REGION1,DKHGBCPN2,2033,27.40554677238645
REGION1,DKHGBCPN2,2034,52.490752462360696
REGION1,DKHGBCPN2,2035,77.56729396306106
REGION1,DKHGBCPN2,2036,102.64382934201262
REGION1,DKHGBCPN2,2037,218.19136951290838
REGION1,DKHGBCPN2,2038,246.09506991656642
REGION1,DKHGBCPN2,2039,270.79348567377986
REGION1,DKHGBCPN2,2040,296.2481406658128
REGION1,DKHGBCPN2,2041,321.13376030603087
REGION1,DKHGBCPN2,2042,346.02580790008335
REGION1,DKHGBCPN2,2043,346.0258079000832
REGION1,DKHGBCPN2,2044,346.0258079000833
REGION1,DKHGBCPN2,2045,346.0258079000833
