REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,-6.697255191660561
REGION1,DKBMCSPN2,2031,-7.355949913660197
REGION1,DKBMCSPN2,2032,-8.034986300920124
REGION1,DKBMCSPN2,2033,-8.750019069280274
REGION1,DKBMCSPN2,2034,-9.518166588708468
REGION1,DKBMCSPN2,2035,-10.358728537024763
REGION1,DKBMCSPN2,2036,-11.29401983486794
REGION1,DKBMCSPN2,2037,-12.351031244457436
REGION1,DKBMCSPN2,2038,-13.732779101020288
REGION1,DKBMCSPN2,2039,-18.75182227068353
REGION1,DKBMCSPN2,2040,-23.20466271758053
REGION1,DKBMCSPN2,2041,-24.424417856712267
REGION1,DKBMCSPN2,2042,-25.59290060354272
REGION1,DKBMCSPN2,2043,-26.694680143626165
REGION1,DKBMCSPN2,2044,-27.713812852223448
REGION1,DKBMCSPN2,2045,-28.634008624659646
REGION1,DKBMCSPN2,2046,-29.43881073210064
REGION1,DKBMCSPN2,2047,-30.111787093185477
REGION1,DKBMCSPN2,2048,-30.63673098043876
REGION1,DKBMCSPN2,2049,-30.99786966659755
REGION1,DKBMCSPN2,2050,-31.18008062373167
REGION1,DKBMCSPN2,2051,-31.422466008314387
REGION1,DKBMCSPN2,2052,-31.109570438846344
REGION1,DKBMCSPN2,2053,-30.742737238007862
REGION1,DKBMCSPN2,2054,-30.33275720919844
REGION1,DKBMCSPN2,2055,-29.88596980882617
REGION1,DKBMCSPN2,2056,-28.969035721088996
REGION1,DKBMCSPN2,2057,-28.062829438121756
REGION1,DKBMCSPN2,2058,-27.17138725707776
REGION1,DKBMCSPN2,2059,-26.296274736434107
REGION1,DKBMCSPN2,2060,-25.44002337829289
REGION1,DKNG00X00,2028,1.8983910852165529
REGION1,DKNG00X00,2029,3.721992290716986
REGION1,DKNG00X00,2030,8.202860489944001
REGION1,DKNG00X00,2031,13.640173851915623
REGION1,DKNG00X00,2032,19.068560729504927
REGION1,DKNG00X00,2033,19.944157905859733
REGION1,DKNG00X00,2034,20.693125508209103
REGION1,DKNG00X00,2035,21.32553801485656
REGION1,DKNG00X00,2036,21.850797571872736
REGION1,DKNG00X00,2037,0.5645717630690636
REGION1,DKNG00X00,2043,6.221586080623488
REGION1,DKNG00X00,2044,8.964458165646791
REGION1,DKNG00X00,2045,9.854237852908714
REGION1,DKNG00X00,2046,8.93808422032535
REGION1,DKNG00X00,2047,8.086838104103892
REGION1,DKNG00X00,2048,7.296395281898256
REGION1,DKNG00X00,2049,6.562895227104248
REGION1,DKNG00X00,2050,5.882707206367951
REGION1,FIBMCSPN2,2030,-8.890979790685629
REGION1,FIBMCSPN2,2031,-9.765433771298834
REGION1,FIBMCSPN2,2032,-117.36475358789308
REGION1,FIBMCSPN2,2033,-127.80903333187318
REGION1,FIBMCSPN2,2034,-139.0291450981519
REGION1,FIBMCSPN2,2035,-151.30699377702325
REGION1,FIBMCSPN2,2036,-164.9685270507882
REGION1,FIBMCSPN2,2037,-180.40799128632244
REGION1,FIBMCSPN2,2038,-200.59078819881103
REGION1,FIBMCSPN2,2039,-273.90252051465416
REGION1,FIBMCSPN2,2040,-338.94389112115147
REGION1,FIBMCSPN2,2041,-356.7605066050347
REGION1,FIBMCSPN2,2042,-373.82820087574606
REGION1,FIBMCSPN2,2043,-389.9215804270302
REGION1,FIBMCSPN2,2044,-404.80776127891113
REGION1,FIBMCSPN2,2045,-418.2487985177957
REGION1,FIBMCSPN2,2046,-430.00431339851355
REGION1,FIBMCSPN2,2047,-439.8342871945056
REGION1,FIBMCSPN2,2048,-404.6959809612604
REGION1,FIBMCSPN2,2049,-371.1944979191901
REGION1,FIBMCSPN2,2050,-339.2739460497846
REGION1,FIBMCSPN2,2051,-329.202264266036
REGION1,FIBMCSPN2,2052,-318.9859596114798
REGION1,FIBMCSPN2,2053,-308.742775365973
REGION1,FIBMCSPN2,2054,-298.56105316425163
REGION1,FIBMCSPN2,2055,-288.5076248524246
REGION1,FIBMCSPN2,2056,-278.630204533126
REGION1,FIBMCSPN2,2057,-268.9655924917436
REGION1,FIBMCSPN2,2058,-259.53852543840657
REGION1,FIBMCSPN2,2059,-250.36467744422976
REGION1,FIBMCSPN2,2060,-241.45439735279555
REGION1,FICO00X00,2028,7.717004282888741
REGION1,FICO00X00,2029,14.663361308612767
REGION1,FING00I00,2028,9.063792692463663
REGION1,FING00I00,2029,17.718692481507922
REGION1,FING00I00,2030,38.94218127803935
REGION1,FING00I00,2031,42.66126261173572
REGION1,FING00I00,2032,46.15369632952815
REGION1,FING00I00,2033,49.4223558241971
REGION1,FING00I00,2034,52.47084423907052
REGION1,FING00I00,2045,1.0926915435155575
REGION1,NOBMCSPN2,2033,-47.62013160184406
REGION1,NOBMCSPN2,2034,-51.80061231567752
REGION1,NOBMCSPN2,2035,-56.3751932716041
REGION1,NOBMCSPN2,2036,-61.465318714383926
REGION1,NOBMCSPN2,2037,-67.21788016948068
REGION1,NOBMCSPN2,2038,-74.73775118337346
REGION1,NOBMCSPN2,2039,-102.05283408345647
REGION1,NOBMCSPN2,2040,-126.28647819375344
REGION1,NOBMCSPN2,2041,-132.92473804068408
REGION1,NOBMCSPN2,2042,-139.2839587164313
REGION1,NOBMCSPN2,2043,-145.28016127091425
