REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,0.05599344242248978
REGION1,DKBMCSPN2,2031,0.0017141741911787982
REGION1,DKBMCSPN2,2032,0.0021497060634147846
REGION1,DKBMCSPN2,2033,0.0026447087678106974
REGION1,DKBMCSPN2,2034,0.0032156807715586874
REGION1,DKBMCSPN2,2035,0.003883630598334548
REGION1,DKBMCSPN2,2036,0.004675611381804323
REGION1,DKBMCSPN2,2037,0.005627214281985918
REGION1,DKBMCSPN2,2038,0.0068972762874280336
REGION1,DKBMCSPN2,2039,0.010881020837365135
REGION1,DKBMCSPN2,2040,0.01492538647026157
REGION1,DKBMCSPN2,2041,0.016823734283929442
REGION1,DKBMCSPN2,2042,0.018906826764298702
REGION1,DKBMCSPN2,2043,0.02118572498835635
REGION1,DKBMCSPN2,2044,0.023671607132719905
REGION1,DKBMCSPN2,2045,0.026375828381187467
REGION1,DKBMCSPN2,2046,0.029310044953546555
REGION1,DKBMCSPN2,2047,0.03248643478378548
REGION1,DKBMCSPN2,2048,0.03591806590700067
REGION1,DKBMCSPN2,2049,0.039619495704657066
REGION1,DKBMCSPN2,2050,0.04360774198831081
REGION1,DKBMCSPN2,2051,0.04844115715136976
REGION1,DKBMCSPN2,2052,0.052889334818643136
REGION1,DKBMCSPN2,2053,0.058120830659993926
REGION1,DKBMCSPN2,2054,0.06444333250540743
REGION1,DKBMCSPN2,2055,0.07232772581274978
REGION1,DKBMCSPN2,2056,0.08051863506276997
REGION1,DKBMCSPN2,2057,0.09185783653203439
REGION1,DKBMCSPN2,2058,0.10886009791018791
REGION1,DKBMCSPN2,2059,0.13788740811900724
REGION1,DKBMCSPN2,2060,0.2022310360075905
REGION1,DKBMSTPH3,2023,0.001231116771338589
REGION1,DKBMSTPH3,2024,0.0646124755382697
REGION1,DKBMSTPH3,2025,0.029048755164367186
REGION1,DKBMSTPH3,2044,0.003107652526024356
REGION1,DKGOCVPH2,2022,0.032358405308954355
REGION1,DKGOCVPH2,2023,0.002232963509852287
REGION1,DKGOCVPH2,2024,0.002240409708617601
REGION1,DKGOCVPH2,2025,0.002247891181774968
REGION1,DKGOCVPH2,2026,0.02262466827165328
REGION1,DKGOCVPH2,2027,0.02270143563665556
REGION1,DKGOCVPH2,2028,0.022778292341874545
REGION1,DKGOCVPH2,2029,0.022855481996727343
REGION1,DKGOCVPH2,2030,0.02293326743771433
REGION1,DKGOCVPH2,2031,0.017785406254090617
REGION1,DKGOCVPH2,2032,0.01785821476581634
REGION1,DKGOCVPH2,2033,0.017931412073149865
REGION1,DKGOCVPH2,2034,0.010348147922289283
REGION1,DKHFCHPH3,2022,0.5140888284004359
REGION1,DKHFCHPH3,2023,2.9464086120800506
REGION1,DKHFCHPH3,2024,1.9523220331546511
REGION1,DKHFCHPH3,2025,0.08063921359438897
REGION1,DKHFCHPH3,2026,0.0869583317283471
REGION1,DKHFCHPH3,2027,0.3448230643633448
REGION1,DKHFCHPH3,2028,0.09808330395221354
REGION1,DKHFCHPH3,2029,0.041602723249698485
REGION1,DKHFCHPH3,2031,0.024564877660510295
REGION1,DKHFCHPH3,2032,0.05402674864482382
REGION1,DKHFCHPH3,2033,0.03684178408031347
REGION1,DKHFCHPH3,2034,0.025163950687207223
REGION1,DKHFCHPH3,2035,0.010593364084089174
REGION1,DKHFCHPH3,2037,0.013135110706031128
REGION1,DKHFCHPH3,2038,0.01670989529932232
REGION1,DKHFCHPH3,2043,0.1476423554295705
REGION1,DKHFCHPH3,2044,0.23328224034125625
REGION1,DKHFCHPH3,2047,0.5680285848684115
REGION1,DKHFCHPH3,2048,3.0073780461730517
REGION1,DKHFCHPH3,2049,2.0095900374499944
REGION1,DKHFCHPH3,2050,0.13391897160607957
REGION1,DKHFCHPH3,2051,0.13259867457697716
REGION1,DKHFCHPH3,2052,0.4341758844946799
REGION1,DKHFCHPH3,2053,0.14403059725716716
REGION1,DKHFCHPH3,2054,0.13559098677810957
REGION1,DKHFCHPH3,2055,0.06211320967815404
REGION1,DKHFCHPH3,2056,0.014709712883560933
REGION1,DKHFCHPH3,2057,0.014121588661939022
REGION1,DKHYDMPH3,2018,0.001875553438118412
REGION1,DKHYDMPH3,2059,3.2999999999999535e-05
REGION1,DKSOUTPH2,2024,0.6296700524449212
REGION1,DKSOUTPH2,2025,0.9717801633203204
REGION1,DKSOUTPH2,2026,0.194716873089813
REGION1,DKSOUTPH2,2027,0.19189488942184305
REGION1,DKSOUTPH2,2028,0.19189488942184416
REGION1,DKSOUTPH2,2029,0.1918948894218457
REGION1,DKSOUTPH2,2030,0.19189488942184307
REGION1,DKSOUTPH2,2031,0.12416728139060434
REGION1,DKSOUTPH2,2032,0.12264929772263852
REGION1,DKSOUTPH2,2033,0.12134529772263672
REGION1,DKSOUTPH2,2034,0.123345297722635
REGION1,DKSOUTPH2,2035,0.12616728139060188
REGION1,DKSOUTPH2,2036,0.1115914120468602
