REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,DKBM,2015,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2017,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2018,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2019,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2020,0.5467368744135352
REGION1,S01B1,DKBM00X00,DKBM,2021,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2023,1.4469175826823435
REGION1,S01B1,DKBM00X00,DKBM,2024,1.702118142598388
REGION1,S01B1,DKBM00X00,DKBM,2025,1.8168523099716805
REGION1,S01B1,DKBM00X00,DKBM,2029,1.8168523099716805
REGION1,S01B1,DKBM00X00,DKBM,2030,1.8206378512900014
REGION1,S01B1,DKBM00X00,DKBM,2031,0.42789879780724793
REGION1,S01B1,DKBM00X00,DKBM,2032,0.021118539211352677
REGION1,S01B1,DKBM00X00,DKBM,2033,0.4982094695259178
REGION1,S01B1,DKBM00X00,DKBM,2034,0.4716727691637986
REGION1,S01B1,DKBM00X00,DKBM,2035,2.568929213467878
REGION1,S01B1,DKBM00X00,DKBM,2036,1.2191641601192347
REGION1,S01B1,DKBM00X00,DKBM,2037,3.8719875174551204
REGION1,S01B1,DKBM00X00,DKBM,2038,2.5562251466750014
REGION1,S01B1,DKBM00X00,DKBM,2039,2.820256243937531
REGION1,S01B1,DKBM00X00,DKBM,2040,2.6620342500837184
REGION1,S01B1,DKBM00X00,DKBM,2041,2.975803547356575
REGION1,S01B1,DKBM00X00,DKBM,2042,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2043,3.1093277074167642
REGION1,S01B1,DKBM00X00,DKBM,2044,3.1093277074167642
REGION1,S01B1,DKBM00X00,DKBM,2045,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2046,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2047,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2048,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2049,3.1093277074167642
REGION1,S01B1,DKBM00X00,DKBM,2050,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2051,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2052,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2053,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2054,3.6341739529997015
REGION1,S01B1,DKBM00X00,DKBM,2055,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2056,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2057,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2058,3.1093277074167647
REGION1,S01B1,DKBM00X00,DKBM,2059,3.1093277074167642
REGION1,S01B1,DKBM00X00,DKBM,2060,3.1093277074167647
REGION1,S01B1,DKBMCSPN2,DKE1,2030,0.07740533403079634
REGION1,S01B1,DKBMCSPN2,DKE1,2031,0.07977500840898516
REGION1,S01B1,DKBMCSPN2,DKE1,2033,0.0864028074053933
REGION1,S01B1,DKBMCSPN2,DKE1,2035,0.09621689534499275
REGION1,S01B1,DKBMCSPN2,DKE1,2036,0.10268046045456342
REGION1,S01B1,DKBMCSPN2,DKE1,2037,0.11045952140019011
REGION1,S01B1,DKBMCSPN2,DKE1,2038,0.11999431604458266
REGION1,S01B1,DKBMCSPN2,DKE1,2039,0.135036239099737
REGION1,S01B1,DKBMCSPN2,DKE1,2041,0.031804052382791416
REGION1,S01B1,DKBMCSPN2,DKE1,2054,0.20350213277768234
REGION1,S01B1,DKBMSTPH3,DKE1,2015,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2017,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2018,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2019,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2020,0.19135809740283471
REGION1,S01B1,DKBMSTPH3,DKE1,2021,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2023,0.5064216603604806
REGION1,S01B1,DKBMSTPH3,DKE1,2024,0.5957419456513816
REGION1,S01B1,DKBMSTPH3,DKE1,2025,0.6358989443890327
REGION1,S01B1,DKBMSTPH3,DKE1,2029,0.6358989443890327
REGION1,S01B1,DKBMSTPH3,DKE1,2030,0.5575417483726048
REGION1,S01B1,DKBMSTPH3,DKE1,2031,0.06787803411650409
REGION1,S01B1,DKBMSTPH3,DKE1,2035,0.5575417483726048
REGION1,S01B1,DKBMSTPH3,DKE1,2037,0.5575417483726048
REGION1,S01B1,DKCO00I00,DKCO,2015,1.9229317804179906
REGION1,S01B1,DKCO00I00,DKCO,2016,3.6413381925059185
REGION1,S01B1,DKCO00I00,DKCO,2017,1.8761876208431862
REGION1,S01B1,DKCO00I00,DKCO,2018,1.8053407775367993
REGION1,S01B1,DKCO00I00,DKCO,2019,0.5824753953912444
REGION1,S01B1,DKCO00I00,DKCO,2020,0.5546448497495502
REGION1,S01B1,DKCO00I00,DKCO,2021,2.041447842693518
REGION1,S01B1,DKCO00I00,DKCO,2022,4.981104319801282
REGION1,S01B1,DKCO00I00,DKCO,2023,1.472952714870469
REGION1,S01B1,DKCOCHPH3,DKE1,2015,0.6693011938054136
REGION1,S01B1,DKCOCHPH3,DKE1,2016,1.1977211118046567
REGION1,S01B1,DKCOCHPH3,DKE1,2017,0.5098846149304546
REGION1,S01B1,DKCOCHPH3,DKE1,2018,0.4889198711146778
REGION1,S01B1,DKCOCHPH3,DKE1,2021,0.8009742448683356
REGION1,S01B1,DKCOCHPH3,DKE1,2022,2.0520243056596463
REGION1,S01B1,DKCOCHPH3,DKE1,2023,0.6082559939174386
REGION1,S01B1,DKCOSTPH1,DKE1,2015,0.08064295050174697
