REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DKBM00X00,DKBM,2015,32.15558586330121
REGION1,DKBM00X00,DKBM,2016,32.15558318167178
REGION1,DKBM00X00,DKBM,2017,32.15558534238244
REGION1,DKBM00X00,DKBM,2018,32.155592922475016
REGION1,DKBM00X00,DKBM,2019,32.15558428778995
REGION1,DKBM00X00,DKBM,2020,32.15558504679881
REGION1,DKBM00X00,DKBM,2021,32.15557809100769
REGION1,DKBM00X00,DKBM,2022,32.15558099085689
REGION1,DKBM00X00,DKBM,2023,23.10545948074092
REGION1,DKBM00X00,DKBM,2024,27.180695497888355
REGION1,DKBM00X00,DKBM,2025,29.012857440022344
REGION1,DKBM00X00,DKBM,2026,29.012856575785623
REGION1,DKBM00X00,DKBM,2027,29.01285624856245
REGION1,DKBM00X00,DKBM,2028,29.01285283686262
REGION1,DKBM00X00,DKBM,2029,29.012857257957933
REGION1,DKBM00X00,DKBM,2030,29.852346013989287
REGION1,DKBM00X00,DKBM,2031,29.974479186335106
REGION1,DKBM00X00,DKBM,2032,30.611767183423975
REGION1,DKBM00X00,DKBM,2033,35.9410842572132
REGION1,DKBM00X00,DKBM,2034,41.31982101544046
REGION1,DKBM00X00,DKBM,2035,46.74724681795408
REGION1,DKBM00X00,DKBM,2036,52.23430906781064
REGION1,DKBM00X00,DKBM,2037,76.33833433720443
REGION1,DKBM00X00,DKBM,2038,82.57163779888808
REGION1,DKBM00X00,DKBM,2039,84.1692602627154
REGION1,DKBM00X00,DKBM,2040,85.13416576515476
REGION1,DKBM00X00,DKBM,2041,86.94367035392341
REGION1,DKBM00X00,DKBM,2042,88.7531663118537
REGION1,DKBM00X00,DKBM,2043,90.562767462287
REGION1,DKBM00X00,DKBM,2044,85.26066452581351
REGION1,DKBM00X00,DKBM,2045,93.26519833628944
REGION1,DKBM00X00,DKBM,2046,95.2708612489916
REGION1,DKBM00X00,DKBM,2047,96.35996030968434
REGION1,DKBM00X00,DKBM,2048,97.44916236829637
REGION1,DKBM00X00,DKBM,2049,98.53825963062418
REGION1,DKBM00X00,DKBM,2050,99.62736126738064
REGION1,DKBM00X00,DKBM,2051,100.62395894236556
REGION1,DKBM00X00,DKBM,2052,101.6299583082646
REGION1,DKBM00X00,DKBM,2053,102.64595258243064
REGION1,DKBM00X00,DKBM,2054,103.67295683492262
REGION1,DKBM00X00,DKBM,2055,104.7089499049909
REGION1,DKBM00X00,DKBM,2056,105.23294526946151
REGION1,DKBM00X00,DKBM,2057,105.75895475243905
REGION1,DKBM00X00,DKBM,2058,106.28795726343532
REGION1,DKBM00X00,DKBM,2059,106.81894373469676
REGION1,DKBM00X00,DKBM,2060,107.35294664320428
REGION1,DKBMCSPN2,DKE1,2030,1.5009376574772348
REGION1,DKBMCSPN2,DKE1,2031,1.5468871377621312
REGION1,DKBMCSPN2,DKE1,2032,1.6045112790391398
REGION1,DKBMCSPN2,DKE1,2033,1.6754043415042283
REGION1,DKBMCSPN2,DKE1,2034,1.7616026052928895
REGION1,DKBMCSPN2,DKE1,2035,1.8657055673718728
REGION1,DKBMCSPN2,DKE1,2036,1.991038108726416
REGION1,DKBMCSPN2,DKE1,2037,2.1418789581096367
REGION1,DKBMCSPN2,DKE1,2038,2.32676455449308
REGION1,DKBMCSPN2,DKE1,2039,2.618436947458511
REGION1,DKBMCSPN2,DKE1,2040,3.0185207890881105
REGION1,DKBMCSPN2,DKE1,2041,3.469491264429868
REGION1,DKBMCSPN2,DKE1,2042,3.9763000651910154
REGION1,DKBMCSPN2,DKE1,2043,4.544196158281243
REGION1,DKBMCSPN2,DKE1,2044,5.178727787956655
REGION1,DKBMCSPN2,DKE1,2045,5.885747355882082
REGION1,DKBMCSPN2,DKE1,2046,6.671420944501106
REGION1,DKBMCSPN2,DKE1,2047,7.542239298493283
REGION1,DKBMCSPN2,DKE1,2048,8.50504431156034
REGION1,DKBMCSPN2,DKE1,2049,9.567068436655624
REGION1,DKBMCSPN2,DKE1,2050,10.736000790108708
REGION1,DKBMCSPN2,DKE1,2051,11.36043184778684
REGION1,DKBMCSPN2,DKE1,2052,11.809673379742522
REGION1,DKBMCSPN2,DKE1,2053,12.25393669010863
