REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,1,DKBM,2015,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2017,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2018,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2019,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2020,12.472435072283153
REGION1,S01B1,DKBM00X00,1,DKBM,2021,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2023,33.00780768501912
REGION1,S01B1,DKBM00X00,1,DKBM,2024,38.829570516321525
REGION1,S01B1,DKBM00X00,1,DKBM,2025,41.4469437356985
REGION1,S01B1,DKBM00X00,1,DKBM,2029,41.4469437356985
REGION1,S01B1,DKBM00X00,1,DKBM,2030,41.53330139788627
REGION1,S01B1,DKBM00X00,1,DKBM,2031,9.76144142259228
REGION1,S01B1,DKBM00X00,1,DKBM,2032,0.4817666805766509
REGION1,S01B1,DKBM00X00,1,DKBM,2033,11.365403637214063
REGION1,S01B1,DKBM00X00,1,DKBM,2034,10.760035154149532
REGION1,S01B1,DKBM00X00,1,DKBM,2035,58.603698268273085
REGION1,S01B1,DKBM00X00,1,DKBM,2036,27.812182680841936
REGION1,S01B1,DKBM00X00,1,DKBM,2037,88.3297161252423
REGION1,S01B1,DKBM00X00,1,DKBM,2038,58.31388674166247
REGION1,S01B1,DKBM00X00,1,DKBM,2039,64.33709620819604
REGION1,S01B1,DKBM00X00,1,DKBM,2040,60.72765693731154
REGION1,S01B1,DKBM00X00,1,DKBM,2041,67.88551910292722
REGION1,S01B1,DKBM00X00,1,DKBM,2042,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2043,70.93153903476049
REGION1,S01B1,DKBM00X00,1,DKBM,2044,70.93153903476049
REGION1,S01B1,DKBM00X00,1,DKBM,2045,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2046,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2047,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2048,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2049,70.93153903476049
REGION1,S01B1,DKBM00X00,1,DKBM,2050,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2051,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2052,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2053,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2054,82.90459413185182
REGION1,S01B1,DKBM00X00,1,DKBM,2055,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2056,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2057,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2058,70.9315390347605
REGION1,S01B1,DKBM00X00,1,DKBM,2059,70.93153903476049
REGION1,S01B1,DKBM00X00,1,DKBM,2060,70.9315390347605
REGION1,S01B1,DKBMCSPN2,1,DKE1,2030,1.7658092002356378
REGION1,S01B1,DKBMCSPN2,1,DKE1,2031,1.8198673975286523
REGION1,S01B1,DKBMCSPN2,1,DKE1,2033,1.97106406364618
REGION1,S01B1,DKBMCSPN2,1,DKE1,2035,2.194947947007132
REGION1,S01B1,DKBMCSPN2,1,DKE1,2036,2.3423980275437137
REGION1,S01B1,DKBMCSPN2,1,DKE1,2037,2.5198578571404213
REGION1,S01B1,DKBMCSPN2,1,DKE1,2038,2.737370362140752
REGION1,S01B1,DKBMCSPN2,1,DKE1,2039,3.0805142352679
REGION1,S01B1,DKBMCSPN2,1,DKE1,2041,0.7255299522377304
REGION1,S01B1,DKBMCSPN2,1,DKE1,2054,4.642392450414814
REGION1,S01B1,DKBMSTPH3,1,DKE1,2015,16.077809664
