REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2030,5.193556472008385
REGION1,S01B1,DKBMCSPN2,DKBM,2031,5.337258165417845
REGION1,S01B1,DKBMCSPN2,DKBM,2033,5.74755655621589
REGION1,S01B1,DKBMCSPN2,DKBM,2035,6.363504552542686
REGION1,S01B1,DKBMCSPN2,DKBM,2036,6.771301862256758
REGION1,S01B1,DKBMCSPN2,DKBM,2037,7.263119705430651
REGION1,S01B1,DKBMCSPN2,DKBM,2038,7.867064402578862
REGION1,S01B1,DKBMCSPN2,DKBM,2039,8.827355916367093
REGION1,S01B1,DKBMCSPN2,DKBM,2041,2.0565773832906973
REGION1,S01B1,DKBMCSPN2,DKBM,2054,11.973044702774638
REGION1,S01B1,DKBMSTPH3,DKBM,2015,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2017,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2018,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2019,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2020,12.472447544107073
REGION1,S01B1,DKBMSTPH3,DKBM,2021,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2023,33.00784069120942
REGION1,S01B1,DKBMSTPH3,DKBM,2024,38.829609343989404
REGION1,S01B1,DKBMSTPH3,DKBM,2025,41.446985180611335
REGION1,S01B1,DKBMSTPH3,DKBM,2029,41.446985180611335
REGION1,S01B1,DKBMSTPH3,DKBM,2030,36.339775032295265
REGION1,S01B1,DKBMSTPH3,DKBM,2031,4.4241933391143045
REGION1,S01B1,DKBMSTPH3,DKBM,2035,36.339775032295265
REGION1,S01B1,DKBMSTPH3,DKBM,2037,36.339775032295265
REGION1,S01B1,DKCOCHPH3,DKCO,2015,39.14982983528112
REGION1,S01B1,DKCOCHPH3,DKCO,2016,69.37550551520843
REGION1,S01B1,DKCOCHPH3,DKCO,2017,29.243030921677644
REGION1,S01B1,DKCOCHPH3,DKCO,2018,27.761644149918233
REGION1,S01B1,DKCOCHPH3,DKCO,2021,44.46029230112641
REGION1,S01B1,DKCOCHPH3,DKCO,2022,113.6314428700398
REGION1,S01B1,DKCOCHPH3,DKCO,2023,33.60177281596608
REGION1,S01B1,DKCOSTPH1,DKCO,2015,4.717095709344086
REGION1,S01B1,DKCOSTPH1,DKCO,2016,13.692422362193424
REGION1,S01B1,DKCOSTPH1,DKCO,2017,13.557521653409518
REGION1,S01B1,DKCOSTPH1,DKCO,2018,13.42262093923296
REGION1,S01B1,DKCOSTPH1,DKCO,2019,13.2877202250564
REGION1,S01B1,DKCOSTPH1,DKCO,2020,12.652858535320082
REGION1,S01B1,DKCOSTPH1,DKCO,2021,2.1101832749883602
REGION1,S01B1,DKEL00TD0,DKE1,2015,101.52779961108276
REGION1,S01B1,DKEL00TD0,DKE1,2016,101.05755812026852
REGION1,S01B1,DKEL00TD0,DKE1,2017,100.59618911041302
REGION1,S01B1,DKEL00TD0,DKE1,2018,100.13482010055752
REGION1,S01B1,DKEL00TD0,DKE1,2019,99.67345109070207
REGION1,S01B1,DKEL00TD0,DKE1,2020,99.22095456180534
REGION1,S01B1,DKEL00TD0,DKE1,2021,101.54554457300029
REGION1,S01B1,DKEL00TD0,DKE1,2022,103.88787954611274
REGION1,S01B1,DKEL00TD0,DKE1,2023,106.23908700018394
REGION1,S01B1,DKEL00TD0,DKE1,2024,108.59916693521392
REGION1,S01B1,DKEL00TD0,DKE1,2025,110.97699183216142
REGION1,S01B1,DKEL00TD0,DKE1,2026,112.93781012404722
REGION1,S01B1,DKEL00TD0,DKE1,2027,114.89862841593305
REGION1,S01B1,DKEL00TD0,DKE1,2028,116.85944670781883
REGION1,S01B1,DKEL00TD0,DKE1,2029,118.8291374806634
REGION1,S01B1,DKEL00TD0,DKE1,2030,120.79882825350798
REGION1,S01B1,DKEL00TD0,DKE1,2031,125.64320285699054
REGION1,S01B1,DKEL00TD0,DKE1,2032,130.51419490334942
REGION1,S01B1,DKEL00TD0,DKE1,2033,135.4206768735433
REGION1,S01B1,DKEL00TD0,DKE1,2034,140.35377628661348
REGION1,S01B1,DKEL00TD0,DKE1,2035,145.3223656235187
REGION1,S01B1,DKEL00TD0,DKE1,2036,150.10463286028997
REGION1,S01B1,DKEL00TD0,DKE1,2037,154.90464505897876
REGION1,S01B1,DKEL00TD0,DKE1,2038,159.72240221958504
REGION1,S01B1,DKEL00TD0,DKE1,2039,164.56677682306764
REGION1,S01B1,DKEL00TD0,DKE1,2040,169.42002390750898
REGION1,S01B1,DKEL00TD0,DKE1,2041,173.50136514853827
REGION1,S01B1,DKEL00TD0,DKE1,2042,177.5915788705263
REGION1,S01B1,DKEL00TD0,DKE1,2043,181.7084100353906
REGION1,S01B1,DKEL00TD0,DKE1,2044,185.84298616217245
REGION1,S01B1,DKEL00TD0,DKE1,2045,189.98643476991305
REGION1,S01B1,DKEL00TD0,DKE1,2046,194.1387558586124
REGION1,S01B1,DKEL00TD0,DKE1,2047,198.29994942827048
REGION1,S01B1,DKEL00TD0,DKE1,2048,202.47888795984613
REGION1,S01B1,DKEL00TD0,DKE1,2049,206.66669897238057
REGION1,S01B1,DKEL00TD0,DKE1,2050,210.88112742779123
REGION1,S01B1,DKEL00TD0,DKE1,2051,211.83048289037845
REGION1,S01B1,DKEL00TD0,DKE1,2052,212.77983835296567
REGION1,S01B1,DKEL00TD0,DKE1,2053,213.73806629651173
REGION1,S01B1,DKEL00TD0,DKE1,2054,214.70516672101647
REGION1,S01B1,DKEL00TD0,DKE1,2055,215.66339466456247
REGION1,S01B1,DKEL00TD0,DKE1,2056,216.71034741769608
REGION1,S01B1,DKEL00TD0,DKE1,2057,217.7484276898709
REGION1,S01B1,DKEL00TD0,DKE1,2058,218.80425292396328
REGION1,S01B1,DKEL00TD0,DKE1,2059,219.85120567709689
REGION1,S01B1,DKEL00TD0,DKE1,2060,220.915903392148
REGION1,S01B1,DKELDEEH1,DKE1,2027,22.528268420974783
REGION1,S01B1,DKELDEEH1,DKE1,2028,17.705015589890625
REGION1,S01B1,DKELDEEH1,DKE1,2029,46.5606467648812
REGION1,S01B1,DKELDEEH1,DKE1,2030,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2031,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2032,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2033,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2034,73.258128
