REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2030,DKBM,S01B1,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S01B2,3.9709023868756597
REGION1,DKBMCSPN2,1,2030,DKBM,S01B3,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S02B2,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S03B1,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S03B2,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S04B1,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S04B2,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S05B1,5.193556472008385
REGION1,DKBMCSPN2,1,2030,DKBM,S05B2,5.193556472008385
REGION1,DKBMCSPN2,1,2031,DKBM,S01B1,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S01B2,1.5622559465349257
REGION1,DKBMCSPN2,1,2031,DKBM,S02B1,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S02B2,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S03B1,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S03B2,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S03B3,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S04B2,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S05B1,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S05B2,5.337258165417845
REGION1,DKBMCSPN2,1,2031,DKBM,S05B3,5.337258165417845
REGION1,DKBMCSPN2,1,2032,DKBM,S01B2,4.273240415064475
REGION1,DKBMCSPN2,1,2032,DKBM,S01B3,1.2876941805613773
REGION1,DKBMCSPN2,1,2032,DKBM,S02B1,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S02B2,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S03B1,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S03B2,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S03B3,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S04B2,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S04B3,5.5202173424146075
REGION1,DKBMCSPN2,1,2032,DKBM,S05B1,2.6236816701518415
REGION1,DKBMCSPN2,1,2032,DKBM,S05B2,5.5202173424146075
REGION1,DKBMCSPN2,1,2033,DKBM,S01B1,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S01B2,3.837688417255718
REGION1,DKBMCSPN2,1,2033,DKBM,S02B1,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S02B2,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S03B1,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S03B2,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S03B3,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S04B2,5.74755655621589
REGION1,DKBMCSPN2,1,2033,DKBM,S05B2,5.74755655621589
REGION1,DKBMCSPN2,1,2034,DKBM,S01B2,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S01B3,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S02B2,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S02B3,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S03B1,3.7933179706952096
REGION1,DKBMCSPN2,1,2034,DKBM,S03B2,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S03B3,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S04B2,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S05B1,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S05B2,6.025848111081302
REGION1,DKBMCSPN2,1,2034,DKBM,S05B3,6.025848111081302
REGION1,DKBMCSPN2,1,2035,DKBM,S01B1,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S01B2,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S02B1,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S02B2,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S03B1,2.4341222192355705
REGION1,DKBMCSPN2,1,2035,DKBM,S03B2,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S03B3,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S04B1,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S04B2,6.363504552542686
REGION1,DKBMCSPN2,1,2035,DKBM,S05B2,6.363504552542686
REGION1,DKBMCSPN2,1,2036,DKBM,S01B1,6.771301862256758
REGION1,DKBMCSPN2,1,2036,DKBM,S01B2,1.7915679692551192
REGION1,DKBMCSPN2,1,2036,DKBM,S02B2,6.771301862256758
REGION1,DKBMCSPN2,1,2036,DKBM,S03B1,6.771301862256758
