REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,67.03364872809945
REGION1,DKBMCSPN2,2031,2.505609445142405
REGION1,DKBMCSPN2,2032,3.683811246990957
REGION1,DKBMCSPN2,2033,5.166629652464985
REGION1,DKBMCSPN2,2034,7.0168857109617
REGION1,DKBMCSPN2,2035,9.319604004488285
REGION1,DKBMCSPN2,2036,12.189231293911671
REGION1,DKBMCSPN2,2037,15.78083791815005
REGION1,DKBMCSPN2,2038,20.639241097190467
REGION1,DKBMCSPN2,2039,34.50829307608787
REGION1,DKBMCSPN2,2040,49.87973966449695
REGION1,DKBMCSPN2,2041,58.95606213099617
REGION1,DKBMCSPN2,2042,69.18016271376567
REGION1,DKBMCSPN2,2043,80.63933442204886
REGION1,DKBMCSPN2,2044,93.42216553027065
REGION1,DKBMCSPN2,2045,107.61859434445547
REGION1,DKBMCSPN2,2046,123.3203030778441
REGION1,DKBMCSPN2,2047,140.62163624939228
REGION1,DKBMCSPN2,2048,159.6213321809476
REGION1,DKBMCSPN2,2049,180.42553434015775
REGION1,DKBMCSPN2,2050,203.1528698883577
REGION1,DKBMCSPN2,2051,230.49955411417233
REGION1,DKBMCSPN2,2052,256.6874161190849
REGION1,DKBMCSPN2,2053,287.33325570500006
REGION1,DKBMCSPN2,2054,324.1400478872318
REGION1,DKBMCSPN2,2055,369.7298388312197
REGION1,DKBMCSPN2,2056,417.89054396950337
REGION1,DKBMCSPN2,2057,483.5747714222031
REGION1,DKBMCSPN2,2058,580.794368305914
REGION1,DKBMCSPN2,2059,744.9665987788736
REGION1,DKBMCSPN2,2060,1105.5937367994318
REGION1,DKBMSTPH3,2044,3.620669214286184
REGION1,DKGOCVPH2,2022,5.939928014848654
REGION1,DKGOCVPH2,2023,0.7964972780281153
REGION1,DKGOCVPH2,2024,1.1648704647857135
REGION1,DKGOCVPH2,2025,1.514590866613419
REGION1,DKGOCVPH2,2026,18.52334552747233
REGION1,DKGOCVPH2,2027,21.68476663235072
REGION1,DKGOCVPH2,2028,24.684707170666147
REGION1,DKGOCVPH2,2029,27.53107290991485
REGION1,DKGOCVPH2,2030,30.231544518087382
REGION1,DKGOCVPH2,2031,25.3923313550225
REGION1,DKGOCVPH2,2032,27.342450524703924
REGION1,DKGOCVPH2,2033,29.204592796458293
REGION1,DKGOCVPH2,2034,17.80693854616966
REGION1,DKHFCHPH3,2037,0.507837559374493
REGION1,DKHFCHPH3,2038,1.2613318756383116
REGION1,DKHFCHPH3,2043,34.681494195494324
REGION1,DKHFCHPH3,2044,61.208327037832795
REGION1,DKHFCHPH3,2047,191.5420605520516
REGION1,DKHFCHPH3,2048,1082.0852671860175
REGION1,DKHFCHPH3,2049,766.3350028178658
REGION1,DKHFCHPH3,2050,53.814344696638194
REGION1,DKHFCHPH3,2051,55.873079453331215
REGION1,DKHFCHPH3,2052,191.023144427314
REGION1,DKHFCHPH3,2053,65.9197760930904
REGION1,DKHFCHPH3,2054,64.34434211098305
REGION1,DKHFCHPH3,2055,30.47351396623888
REGION1,DKHFCHPH3,2056,7.441828418730252
REGION1,DKHFCHPH3,2057,7.350062117912007
REGION1,DKHYDMPH3,2018,3.5182856012919994
REGION1,DKHYDMPH3,2059,0.07003988215024516
REGION1,DKSOUTPH2,2037,8.23487976324698
REGION1,DKSOUTPH2,2038,8.93445106568933
REGION1,DKSOUTPH2,2039,6.32736552284985
REGION1,DKSOUTPH2,2040,16.214170022371487
REGION1,DKSOUTPH2,2041,5.706649456211835
REGION1,DKSOUTPH2,2042,6.513395877403798
REGION1,DKSOUTPH2,2043,7.223785641126264
REGION1,DKSOUTPH2,2044,7.918644436010293
REGION1,DKSOUTPH2,2045,8.502050470377878
REGION1,DKSOUTPH2,2046,3.435428235068236
REGION1,DKSOUTPH2,2047,3.293068097715657
REGION1,DKSOUTPH2,2048,3.787123183211572
REGION1,DKSOUTPH2,2049,83.6688822332368
REGION1,DKSOUTPH2,2050,131.336252042336
REGION1,DKSOUTPH2,2051,31.44859990236968
REGION1,DKSOUTPH2,2052,31.747254654356304
REGION1,DKSOUTPH2,2053,32.50385344367598
REGION1,DKSOUTPH2,2054,33.70182604484761
REGION1,DKSOUTPH2,2055,34.84275233167749
