REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
REGION1,DKHGSTPN2,1,1,2015,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2016,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2017,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2018,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2019,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2020,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2021,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2022,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2023,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2024,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2025,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2026,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2027,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2028,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2029,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2030,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2031,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2032,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2033,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2034,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2035,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2036,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2037,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2038,0.008860930017160592
REGION1,DKHGSTPN2,1,1,2039,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2040,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2041,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2042,0.021565698767799447
REGION1,DKHGSTPN2,1,1,2043,0.0007260968642165792
REGION1,DKHGSTPN2,1,1,2044,0.0007260968642165792
REGION1,DKHGSTPN2,1,1,2045,0.0005987813470673
REGION1,DKHGSTPN2,2,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2016,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2017,0.021565698767799436
