TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2015,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2015,REGION1,DKCO00I00,1,1.9229317804179906
S01B1,2015,REGION1,DKCOCHPH3,1,0.6693011938054136
S01B1,2015,REGION1,DKNG00X00,1,0.18953514118048811
S01B1,2015,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2015,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2015,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2015,REGION1,FICO00I00,1,2.7816568826901444
S01B1,2015,REGION1,FICOCHPH3,1,1.084847269096427
S01B1,2015,REGION1,FING00I00,1,2.454070058565865
S01B1,2015,REGION1,FINGCCPH2,1,0.7243775927562224
S01B1,2015,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2015,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2015,REGION1,FIWSSTPH1,1,3.034535141506775
S01B1,2015,REGION1,NOCO00I00,1,0.028356894436430982
S01B1,2015,REGION1,NOCOCHPH3,1,0.005529599944703987
S01B1,2015,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2015,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2015,REGION1,SEBM00X00,1,3.735741725071449
S01B1,2015,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2015,REGION1,SENUG2PH3,1,13.680230263197664
S01B1,2015,REGION1,SEUR00I00,1,41.45520176656788
S01B1,2015,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2015,REGION1,SEELPLIH1,1,0.8419230635807673
S01B1,2015,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2015,REGION1,DKCOSTPH1,1,0.08064295050174697
S01B1,2015,REGION1,DKEL00TD0,1,4.450533637076362
S01B1,2015,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2015,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2015,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2015,REGION1,DKWS00X00,1,1.307532479212672
S01B1,2015,REGION1,FIEL00TD0,1,14.151280470480549
S01B1,2015,REGION1,FIELNOPH1,2,0.1741823982581756
S01B1,2015,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2015,REGION1,FIHYDMPH1,1,0.1417060146100755
S01B1,2015,REGION1,FIHYDMPH2,1,1.0281536884627807
S01B1,2015,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2015,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2015,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2015,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2015,REGION1,FIWS00X00,1,8.925114067496898
S01B1,2015,REGION1,NOCOSTPH1,1,0.005529599944703987
S01B1,2015,REGION1,NOEL00TD0,1,21.939146197262072
S01B1,2015,REGION1,NOELSEPH1,2,0.04022548287219594
S01B1,2015,REGION1,NOHYDMPH1,1,1.9195527236028023
S01B1,2015,REGION1,NOHYDMPH2,1,11.307605594024059
S01B1,2015,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2015,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2015,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2015,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2015,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2015,REGION1,NOWS00X00,1,0.4286971670154273
S01B1,2015,REGION1,SEBMSTPH3,1,1.3075109112859187
S01B1,2015,REGION1,SEEL00TD0,1,22.39699291136977
S01B1,2015,REGION1,SEHYDMPH1,1,0.6584645030724405
S01B1,2015,REGION1,SEHYDMPH2,1,3.864569547398116
S01B1,2015,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2015,REGION1,SEHYDSPH3,1,0.27437612467319555
S01B1,2015,REGION1,SEOCWVPH1,1,0.0069120245289689694
S01B1,2015,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2015,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2015,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2015,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2015,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2015,REGION1,SEWS00X00,1,2.0131102867565724
S01B1,2015,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2015,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2015,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2015,REGION1,NOHGTDP00,1,1.1883144281236353
