REGION,YEAR,VALUE
REGION1,2015,17410.62689288958
REGION1,2016,9041.610835335585
REGION1,2017,8738.30921999595
REGION1,2018,17444.761869054953
REGION1,2019,9334.99172365425
REGION1,2020,8997.961823984708
REGION1,2021,9353.41299628011
REGION1,2022,16543.441727598027
REGION1,2023,13560.456107720333
REGION1,2024,14631.166427663517
REGION1,2025,9346.443916773838
REGION1,2026,8646.944210992775
REGION1,2027,9843.689320095795
REGION1,2028,9573.071183396189
REGION1,2029,9949.754837303191
REGION1,2030,14098.366425172471
REGION1,2031,8707.452397606596
REGION1,2032,10493.22017117159
REGION1,2033,11187.135463568133
REGION1,2034,9594.73373040622
REGION1,2035,12301.493317846882
REGION1,2036,7732.920006960848
REGION1,2037,7812.3338488230065
REGION1,2038,6944.937948348284
REGION1,2039,6203.744966467353
REGION1,2040,8191.271267307069
REGION1,2041,6618.609426729342
REGION1,2042,4599.203928669077
REGION1,2043,5043.964509444772
REGION1,2044,4700.798480040099
REGION1,2045,5249.400988607913
REGION1,2046,4098.856406323871
REGION1,2047,4439.89444962692
REGION1,2048,4210.863877940616
REGION1,2049,4094.2580897646903
REGION1,2050,3720.692245882371
REGION1,2051,3224.569937141863
REGION1,2052,3290.56334361792
REGION1,2053,2841.0746787932912
REGION1,2054,2763.0796430068544
REGION1,2055,2641.124862822885
REGION1,2056,2067.433645090058
REGION1,2057,1946.4978413499691
REGION1,2058,1956.4835722355167
REGION1,2059,1738.7228222793697
REGION1,2060,1576.5102380713586
