REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,11.7249414673799
REGION1,DKBFHPFH1,2016,11.0903651368028
REGION1,DKBFHPFH1,2017,10.4896374783728
REGION1,DKBFHPFH1,2018,9.92097375762365
REGION1,DKBFHPFH1,2019,9.38263187367094
REGION1,DKBFHPFH1,2020,8.87311228407666
REGION1,DKBFHPFH1,2021,8.42498002744309
REGION1,DKBFHPFH1,2022,7.99940659732774
REGION1,DKBFHPFH1,2023,5.7144965862424
REGION1,DKBFHPFH1,2024,2.50759374922575
REGION1,DKBFHPFH1,2025,2.06549862164519
REGION1,DKBFHPFH1,2026,1.9094907523462
REGION1,DKBFHPFH1,2027,1.73017436615883
REGION1,DKBFHPFH1,2028,1.05348702379892
REGION1,DKBFHPFH1,2029,0.872078302808432
REGION1,DKBFHPFH1,2030,0.685442738311622
REGION1,DKBFHPFH1,2031,0.583505795289972
REGION1,DKBM00X00,2015,73.04662674551457
REGION1,DKBM00X00,2016,69.56821594810908
REGION1,DKBM00X00,2017,66.25544376010392
REGION1,DKBM00X00,2018,63.10042262867034
REGION1,DKBM00X00,2019,60.09564059873374
REGION1,DKBM00X00,2020,57.23394342736545
REGION1,DKBM00X00,2021,54.508517549871726
REGION1,DKBM00X00,2022,51.9128738570208
REGION1,DKBM00X00,2023,35.525814896247184
REGION1,DKBM00X00,2024,39.80161149482022
REGION1,DKBM00X00,2025,40.461435037175406
REGION1,DKBM00X00,2026,38.5347000354052
REGION1,DKBM00X00,2027,36.69971431943349
REGION1,DKBM00X00,2028,34.95210887565098
REGION1,DKBM00X00,2029,33.28772273871517
REGION1,DKBM00X00,2030,32.61990504443256
REGION1,DKBM00X00,2031,31.193680407052497
REGION1,DKBM00X00,2032,30.339894261337815
REGION1,DKBM00X00,2033,33.925599854176674
REGION1,DKBM00X00,2034,37.1454339585656
REGION1,DKBM00X00,2035,40.023384880759366
REGION1,DKBM00X00,2036,42.59162852196808
REGION1,DKBM00X00,2037,59.28185476650295
REGION1,DKBM00X00,2038,61.068995107671725
REGION1,DKBM00X00,2039,59.28626476391575
REGION1,DKBM00X00,2040,57.11039107703344
REGION1,DKBM00X00,2041,55.54690861391024
REGION1,DKBM00X00,2042,54.002827221930175
REGION1,DKBM00X00,2043,52.479902440370246
REGION1,DKBM00X00,2044,47.054673274677
REGION1,DKBM00X00,2045,49.021249059853446
REGION1,DKBM00X00,2046,47.69090328736094
REGION1,DKBM00X00,2047,45.939130674140365
REGION1,DKBM00X00,2048,44.246096314321605
REGION1,DKBM00X00,2049,42.61008971560396
REGION1,DKBM00X00,2050,41.02956198498553
REGION1,DKBM00X00,2051,39.4666589156644
REGION1,DKBM00X00,2052,37.963077497359066
REGION1,DKBM00X00,2053,36.51675829497213
REGION1,DKBM00X00,2054,35.12582665262525
REGION1,DKBM00X00,2055,33.78746436685074
REGION1,DKBM00X00,2056,32.33957000755208
REGION1,DKBM00X00,2057,30.953540143606027
REGION1,DKBM00X00,2058,29.62701699401556
REGION1,DKBM00X00,2059,28.357170887756425
REGION1,DKBM00X00,2060,27.141839545339607
REGION1,DKBMCSPN2,2030,138.43462945373432
REGION1,DKBMSTPH3,2015,38.4120173329573
