REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00X00,2015,32.15558586330121
REGION1,DKBM00X00,2016,32.15558318167178
REGION1,DKBM00X00,2017,32.15558534238244
REGION1,DKBM00X00,2018,32.155592922475016
REGION1,DKBM00X00,2019,32.15558428778995
REGION1,DKBM00X00,2020,32.15558504679881
REGION1,DKBM00X00,2021,32.15557809100769
REGION1,DKBM00X00,2022,32.15558099085689
REGION1,DKBM00X00,2023,23.10545948074092
REGION1,DKBM00X00,2024,27.180695497888355
REGION1,DKBM00X00,2025,29.012857440022344
REGION1,DKBM00X00,2026,29.012856575785623
REGION1,DKBM00X00,2027,29.01285624856245
REGION1,DKBM00X00,2028,29.01285283686262
REGION1,DKBM00X00,2029,29.012857257957933
REGION1,DKBM00X00,2030,29.852346013989287
REGION1,DKBM00X00,2031,29.974479186335106
REGION1,DKBM00X00,2032,30.611767183423975
REGION1,DKBM00X00,2033,35.9410842572132
REGION1,DKBM00X00,2034,41.31982101544046
REGION1,DKBM00X00,2035,46.74724681795408
REGION1,DKBM00X00,2036,52.23430906781064
REGION1,DKBM00X00,2037,76.33833433720443
REGION1,DKBM00X00,2038,82.57163779888808
REGION1,DKBM00X00,2039,84.1692602627154
REGION1,DKBM00X00,2040,85.13416576515476
REGION1,DKBM00X00,2041,86.94367035392341
REGION1,DKBM00X00,2042,88.7531663118537
REGION1,DKBM00X00,2043,90.562767462287
REGION1,DKBM00X00,2044,85.26066452581351
REGION1,DKBM00X00,2045,93.26519833628944
REGION1,DKBM00X00,2046,95.2708612489916
REGION1,DKBM00X00,2047,96.35996030968434
REGION1,DKBM00X00,2048,97.44916236829637
REGION1,DKBM00X00,2049,98.53825963062418
REGION1,DKBM00X00,2050,99.62736126738064
REGION1,DKBM00X00,2051,100.62395894236556
REGION1,DKBM00X00,2052,101.6299583082646
REGION1,DKBM00X00,2053,102.64595258243064
REGION1,DKBM00X00,2054,103.67295683492262
REGION1,DKBM00X00,2055,104.7089499049909
REGION1,DKBM00X00,2056,105.23294526946151
REGION1,DKBM00X00,2057,105.75895475243905
REGION1,DKBM00X00,2058,106.28795726343532
REGION1,DKBM00X00,2059,106.81894373469676
REGION1,DKBM00X00,2060,107.35294664320428
REGION1,DKBMCSPN2,2030,1.5009376574772348
REGION1,DKBMCSPN2,2031,1.5468871377621312
REGION1,DKBMCSPN2,2032,1.6045112790391398
REGION1,DKBMCSPN2,2033,1.6754043415042283
REGION1,DKBMCSPN2,2034,1.7616026052928895
REGION1,DKBMCSPN2,2035,1.8657055673718728
REGION1,DKBMCSPN2,2036,1.991038108726416
REGION1,DKBMCSPN2,2037,2.1418789581096367
REGION1,DKBMCSPN2,2038,2.32676455449308
REGION1,DKBMCSPN2,2039,2.618436947458511
REGION1,DKBMCSPN2,2040,3.0185207890881105
REGION1,DKBMCSPN2,2041,3.469491264429868
REGION1,DKBMCSPN2,2042,3.9763000651910154
REGION1,DKBMCSPN2,2043,4.544196158281243
REGION1,DKBMCSPN2,2044,5.178727787956655
REGION1,DKBMCSPN2,2045,5.885747355882082
REGION1,DKBMCSPN2,2046,6.671420944501106
REGION1,DKBMCSPN2,2047,7.542239298493283
REGION1,DKBMCSPN2,2048,8.50504431156034
REGION1,DKBMCSPN2,2049,9.567068436655624
REGION1,DKBMCSPN2,2050,10.736000790108708
REGION1,DKBMCSPN2,2051,11.36043184778684
REGION1,DKBMCSPN2,2052,11.809673379742522
REGION1,DKBMCSPN2,2053,12.25393669010863
REGION1,DKBMCSPN2,2054,12.695048137569794
REGION1,DKBMCSPN2,2055,13.133456280758068
REGION1,DKBMCSPN2,2056,13.367031251344835
REGION1,DKBMCSPN2,2057,13.596333331125734
REGION1,DKBMCSPN2,2058,13.822655746864491
REGION1,DKBMCSPN2,2059,14.046335789996704
REGION1,DKBMCSPN2,2060,14.268412713535584
REGION1,DKBMSTPH3,2015,11.254466306621731
REGION1,DKBMSTPH3,2016,11.254465368050491
REGION1,DKBMSTPH3,2017,11.254466124299976
REGION1,DKBMSTPH3,2018,11.254468777335033
REGION1,DKBMSTPH3,2019,11.254465755192236
REGION1,DKBMSTPH3,2020,11.254466020845607
REGION1,DKBMSTPH3,2021,11.254463586316279
REGION1,DKBMSTPH3,2022,11.254464601264514
REGION1,DKBMSTPH3,2023,8.08691890517823
REGION1,DKBMSTPH3,2024,9.513252937513865
REGION1,DKBMSTPH3,2025,10.154510258518082
REGION1,DKBMSTPH3,2026,10.154509956034923
REGION1,DKBMSTPH3,2027,10.154509841506702
REGION1,DKBMSTPH3,2028,10.154508647410564
REGION1,DKBMSTPH3,2029,10.154510194795472
REGION1,DKBMSTPH3,2030,8.903245271344911
REGION1,DKBMSTPH3,2031,8.903244151606314
REGION1,DKBMSTPH3,2032,8.903244452061728
REGION1,DKBMSTPH3,2033,8.90324432823502
REGION1,DKBMSTPH3,2034,8.903246109832047
REGION1,DKBMSTPH3,2035,8.903243656720203
REGION1,DKBMSTPH3,2036,8.90324715830831
REGION1,DKBMSTPH3,2037,8.90324743831969
REGION1,DKBMSTPH3,2038,8.903242969583099
REGION1,DKBMSTPH3,2039,7.404701774012317
REGION1,DKBMSTPH3,2040,5.523765842943662
REGION1,DKBMSTPH3,2041,3.9480550323293384
REGION1,DKBMSTPH3,2042,2.324055595726537
REGION1,DKBMSTPH3,2043,2.4343677838278026
REGION1,DKBMSTPH3,2045,2.163369554148697
REGION1,DKBMSTPH3,2046,2.1633692039900003
REGION1,DKBMSTPH3,2047,1.7745129214759672
REGION1,DKBMSTPH3,2048,1.3132910096199124
REGION1,DKBMSTPH3,2049,0.7750343264238067
REGION1,DKBMSTPH3,2050,0.15511220079725274
REGION1,DKCO00I00,2015,78.24870699512148
REGION1,DKCO00I00,2016,99.82205617821558
REGION1,DKCO00I00,2017,111.40875892723956
REGION1,DKCO00I00,2018,23.19784510281487
REGION1,DKCO00I00,2019,21.508360945730715
REGION1,DKCO00I00,2020,12.855375660111964
REGION1,DKCO00I00,2021,43.237684725169316
REGION1,DKCO00I00,2022,138.72535892486988
REGION1,DKCO00I00,2023,28.561478138148235
REGION1,DKCOCHPH3,2015,26.20290209516361
REGION1,DKCOCHPH3,2016,34.9999826893573
REGION1,DKCOCHPH3,2017,39.999979802370724
REGION1,DKCOCHPH3,2018,5.005797834382864
REGION1,DKCOCHPH3,2019,4.41477657111004
REGION1,DKCOCHPH3,2020,1.1205764300711019
REGION1,DKCOCHPH3,2021,17.075947224113744
REGION1,DKCOCHPH3,2022,57.14953754201799
REGION1,DKCOCHPH3,2023,11.79446569959871
REGION1,DKCOSTPH1,2015,4.314124149960018
REGION1,DKCOSTPH1,2016,4.314124403426174
REGION1,DKCOSTPH1,2017,4.314123992368301
REGION1,DKCOSTPH1,2018,4.314124185502102
REGION1,DKCOSTPH1,2019,4.314124317564947
REGION1,DKCOSTPH1,2020,4.150137077859117
REGION1,DKCOSTPH1,2021,0.6937919384647822
REGION1,DKEL00TD0,2015,120.4522263043885
REGION1,DKEL00TD0,2016,119.89433188974627
REGION1,DKEL00TD0,2017,119.34696378481424
REGION1,DKEL00TD0,2018,118.79959567988223
REGION1,DKEL00TD0,2019,118.25222757495021
REGION1,DKEL00TD0,2020,117.71538577972844
REGION1,DKEL00TD0,2021,120.47327892380898
REGION1,DKEL00TD0,2022,123.25222468730996
REGION1,DKEL00TD0,2023,126.04171541106484
REGION1,DKEL00TD0,2024,128.84193760051002
REGION1,DKEL00TD0,2025,131.66308185557017
REGION1,DKEL00TD0,2026,133.98939630153126
REGION1,DKEL00TD0,2027,136.3157107474923
REGION1,DKEL00TD0,2028,138.64202519345338
REGION1,DKEL00TD0,2029,140.97886594912467
REGION1,DKEL00TD0,2030,143.31570670479599
REGION1,DKEL00TD0,2031,149.06307180658212
REGION1,DKEL00TD0,2032,154.842015837499
REGION1,DKEL00TD0,2033,160.66306510725676
REGION1,DKEL00TD0,2034,166.51569330614524
REGION1,DKEL00TD0,2035,172.4104267438746
REGION1,DKEL00TD0,2036,178.08410767768916
REGION1,DKEL00TD0,2037,183.77884123092417
REGION1,DKEL00TD0,2038,189.49462740357964
REGION1,DKEL00TD0,2039,195.2419925053658
REGION1,DKEL00TD0,2040,200.99988391686222
REGION1,DKEL00TD0,2041,205.84198638356852
REGION1,DKEL00TD0,2042,210.69461515998503
REGION1,DKEL00TD0,2043,215.57882286553223
REGION1,DKEL00TD0,2044,220.48408319049992
REGION1,DKEL00TD0,2045,225.39986982517783
REGION1,DKEL00TD0,2046,230.32618276956595
REGION1,DKEL00TD0,2047,235.26302202366432
REGION1,DKEL00TD0,2048,240.22091389718315
REGION1,DKEL00TD0,2049,245.18933208041224
REGION1,DKEL00TD0,2050,250.189329192772
REGION1,DKEL00TD0,2051,251.3156443317667
REGION1,DKEL00TD0,2052,252.44195947076142
REGION1,DKEL00TD0,2053,253.57880091946635
REGION1,DKEL00TD0,2054,254.72616867788153
REGION1,DKEL00TD0,2055,255.86301012658652
REGION1,DKEL00TD0,2056,257.10511467239377
REGION1,DKEL00TD0,2057,258.3366929084908
REGION1,DKEL00TD0,2058,259.5893237640083
REGION1,DKEL00TD0,2059,260.8314283098156
REGION1,DKEL00TD0,2060,262.0945854750433
REGION1,DKELDEEH1,2026,0.9148938366974871
REGION1,DKELDEEH1,2027,9.430772936219187
REGION1,DKELDEEH1,2028,32.68966897727875
REGION1,DKELDEEH1,2029,33.885074423764344
REGION1,DKELDEEH1,2030,72.53277115795592
REGION1,DKELDEEH1,2031,72.53277147800755
REGION1,DKELDEEH1,2032,72.52877120398206
REGION1,DKELDEEH1,2033,72.49627159795766
REGION1,DKELDEEH1,2034,72.53277185204381
REGION1,DKELDEEH1,2035,72.53277194824976
REGION1,DKELDEEH1,2036,72.53277194824976
REGION1,DKELDEEH1,2037,72.53277116457481
REGION1,DKELDEEH1,2038,72.53277116098928
REGION1,DKELDEEH1,2039,72.53277115795592
REGION1,DKELDEEH1,2040,72.53277115928014
REGION1,DKELDEEH1,2041,72.53277109692857
REGION1,DKELDEEH1,2042,72.53277115795592
REGION1,DKELDEEH1,2043,72.53277104738801
REGION1,DKELDEEH1,2044,72.53277235163165
REGION1,DKELDEEH1,2045,72.53277104738801
REGION1,DKELDEEH1,2046,72.5327713044262
REGION1,DKELDEEH1,2047,72.53277115795592
REGION1,DKELDEEH1,2048,72.53277160075928
REGION1,DKELDEEH1,2049,72.53277115795592
REGION1,DKELDEEH1,2050,72.53277131912324
REGION1,DKELDEEH1,2051,72.53277029060985
REGION1,DKELDEEH1,2052,72.53277104738801
REGION1,DKELDEEH1,2053,72.53277104738801
REGION1,DKELDEEH1,2054,72.53277104738801
REGION1,DKELDEEH1,2055,72.53277104738801
REGION1,DKELDEEH1,2056,72.53277104738801
REGION1,DKELDEEH1,2057,72.53277104738801
REGION1,DKELDEEH1,2058,72.5327702374436
REGION1,DKELDEEH1,2059,72.53277109724013
REGION1,DKELDEEH1,2060,72.53277012001924
REGION1,DKELDEIH1,2015,8.589355268112747
REGION1,DKELDEIH1,2017,2.3609206198669903
REGION1,DKELDEIH1,2018,0.522221143664316
REGION1,DKELDEIH1,2019,6.411225987846182
REGION1,DKELDEIH1,2020,6.85910393838391
REGION1,DKELNLEH1,2022,17.62599195209174
REGION1,DKELNLEH1,2030,19.306092215187647
REGION1,DKELNLEH1,2031,17.6817919349347
REGION1,DKELNLEH1,2032,17.850591995190353
REGION1,DKELNLEH1,2033,17.873391917709863
REGION1,DKELNLEH1,2034,19.1149914812918
REGION1,DKELNLEH1,2035,20.973191275531374
REGION1,DKELNLEH1,2036,21.762591200943827
REGION1,DKELNLEH1,2037,22.07519122198659
REGION1,DKELNLEH1,2038,22.07519122198659
REGION1,DKELNLEH1,2039,22.07519122198659
REGION1,DKELNLEH1,2040,22.07519122198659
REGION1,DKELNLEH1,2041,22.07519122198659
REGION1,DKELNLEH1,2042,22.07519122198659
REGION1,DKELNLEH1,2043,22.07519122198659
REGION1,DKELNLEH1,2044,22.0751913835055
REGION1,DKELNLEH1,2045,22.07519127529162
REGION1,DKELNLEH1,2046,22.075191223331004
REGION1,DKELNLEH1,2047,22.07519122198659
REGION1,DKELNLEH1,2048,22.0751914625108
REGION1,DKELNLEH1,2049,22.07519122198659
REGION1,DKELNLEH1,2050,22.07519122198659
REGION1,DKELNLEH1,2051,22.07519136746857
REGION1,DKELNLEH1,2052,22.07519130980584
REGION1,DKELNLEH1,2053,22.075191377082444
REGION1,DKELNLEH1,2054,22.07519118833548
REGION1,DKELNLEH1,2055,22.075191253958597
REGION1,DKELNLEH1,2056,22.07519118833548
REGION1,DKELNLEH1,2057,22.0751915852792
REGION1,DKELNLEH1,2058,22.07519122198659
REGION1,DKELNLEH1,2059,22.07519118833548
REGION1,DKELNLEH1,2060,22.07519122400103
REGION1,DKELNLIH1,2023,0.5563264435705794
REGION1,DKELNOPH1,2015,13.089007091167176
REGION1,DKELNOPH1,2016,9.344225179506973
REGION1,DKELNOPH1,2017,0.48176763702205855
REGION1,DKELNOPH1,2018,6.4430566832403535
REGION1,DKELNOPH1,2019,21.02532408342605
REGION1,DKELNOPH1,2020,36.085257094650146
REGION1,DKELNOPH1,2021,32.5039939604461
REGION1,DKELNOPH1,2022,6.474084769235079
REGION1,DKELNOPH1,2023,12.953106526940639
REGION1,DKELNOPH1,2024,40.67533836844858
REGION1,DKELNOPH1,2025,50.334270204152325
REGION1,DKELNOPH1,2026,60.62896149271557
REGION1,DKELNOPH1,2027,73.35896695231375
REGION1,DKELNOPH1,2028,81.26791726981565
REGION1,DKELNOPH1,2029,87.8067430430476
REGION1,DKELNOPH1,2030,88.3008
REGION1,DKELNOPH1,2031,88.3008
REGION1,DKELNOPH1,2032,88.3008
REGION1,DKELNOPH1,2033,88.3008
REGION1,DKELNOPH1,2034,88.30079999999998
REGION1,DKELNOPH1,2035,88.3008
REGION1,DKELNOPH1,2036,88.3008
REGION1,DKELNOPH1,2037,88.3008
REGION1,DKELNOPH1,2038,88.3008
REGION1,DKELNOPH1,2039,88.3008
REGION1,DKELNOPH1,2040,87.71946180981568
REGION1,DKELNOPH1,2041,85.01552871174033
REGION1,DKELNOPH1,2042,86.73965525785701
REGION1,DKELNOPH1,2043,84.53985873974297
REGION1,DKELNOPH1,2044,87.29996844601001
REGION1,DKELNOPH1,2045,85.70614944378148
REGION1,DKELNOPH1,2046,87.6593190119007
REGION1,DKELNOPH1,2047,88.20473889755984
REGION1,DKELNOPH1,2048,88.3008
REGION1,DKELNOPH1,2049,88.3008
REGION1,DKELNOPH1,2050,88.3008
REGION1,DKELNOPH1,2051,88.3008
REGION1,DKELNOPH1,2052,88.3008
REGION1,DKELNOPH1,2053,88.3008
REGION1,DKELNOPH1,2054,88.3008
REGION1,DKELNOPH1,2055,88.3008
REGION1,DKELNOPH1,2056,88.3008
REGION1,DKELNOPH1,2057,88.3008
REGION1,DKELNOPH1,2058,88.3008
REGION1,DKELNOPH1,2059,88.30079999999998
REGION1,DKELNOPH1,2060,88.3008
