REGION,TECHNOLOGY,VALUE
REGION1,DKBM00X00,3024.254158821589
REGION1,DKBMCSPN2,218.48123952821638
REGION1,DKBMSTPH3,268.51728806219035
REGION1,DKCO00I00,557.5656255974216
REGION1,DKCOCHPH3,197.76396588818608
REGION1,DKCOSTPH1,26.41455006514544
REGION1,DKEL00TD0,8634.139285968526
REGION1,DKELDEEH1,2325.39581727436
REGION1,DKELDEIH1,24.742826957874144
REGION1,DKELNLEH1,681.9932244419748
REGION1,DKELNLIH1,0.5563264435705794
REGION1,DKELNOPH1,3256.275100674536
REGION1,DKELSEPH1,1431.0965259743741
REGION1,DKGO00X00,869.2878680355959
REGION1,DKGOCVPH2,206.87152295201224
REGION1,DKHGBCPN2,923.3080448345947
REGION1,DKHGECPN2,444.63685431982253
REGION1,DKHGSLPN2,35.51384445824024
REGION1,DKHGSRPH2,127.18238986293244
REGION1,DKHGSRPN2,40.32015916606563
REGION1,DKHGTDP00,1528.0616309857312
REGION1,DKHYDMPH0,1.1275206563176947
REGION1,DKHYDMPH3,2.4945134272969236
REGION1,DKNG00X00,280.5744814074072
REGION1,DKNGCCPH2,7.271823179278818
REGION1,DKNGCHPH3,1.9974010183092472
REGION1,DKNGSTPH2,4.2233642725343
REGION1,DKOCWVPH1,0.07456680911182811
REGION1,DKSODIFH1,0.0029411907325744262
REGION1,DKSOUTPH2,586.7081913069524
REGION1,DKWIOFPH3,260.3058758644768
REGION1,DKWIONPH3,5553.306675347273
REGION1,DKWS00X00,1600.9512723653904
REGION1,DKWSCHPH2,67.79412774301993
REGION1,DKWSSTPH1,469.8885846915641
REGION1,FIBM00X00,7983.752678900598
REGION1,FIBMCSPN2,2444.712290311058
REGION1,FIBMSTPH3,0.41942871807055704
REGION1,FICO00I00,338.0053630380456
REGION1,FICO00X00,545.4188298096383
REGION1,FICOCHPH3,195.4725207211588
REGION1,FICOSTPH3,188.12809031908063
REGION1,FIEL00TD0,19331.388078908334
REGION1,FIELEEEH1,1203.861654246622
REGION1,FIELNOPH1,95.58609447120747
REGION1,FIELSEPH1,989.1756438652778
REGION1,FIGO00X00,15.907141064963913
REGION1,FIGOCVPH2,3.922956493783978
REGION1,FIHGBCPN2,811.6833219977211
REGION1,FIHGECPN2,91.93432556390424
REGION1,FIHGSRPH2,427.01074912845843
REGION1,FIHGTDP00,1325.3006879246268
REGION1,FIHYDMPH1,177.41173260698574
REGION1,FIHYDMPH2,948.5745604371698
REGION1,FIHYDMPH3,1249.8974501782527
REGION1,FING00I00,725.9291563661988
REGION1,FINGCCPH2,47.0657989539862
REGION1,FINUG2PH3,1125.570373357195
REGION1,FINUG3PN3,3023.4066445603457
REGION1,FISOUTPH2,180.17130556183815
REGION1,FIUR00I00,12572.645057395523
REGION1,FIWIOFPH3,5.849749066759375
REGION1,FIWIONPH3,125.92281842893497
REGION1,FIWIONPN3,8227.301624497275
REGION1,FIWS00X00,6109.970192964134
REGION1,FIWSCHPH2,22.730767190250468
REGION1,FIWSSTPH1,2214.343336540728
REGION1,NOBM00X00,2397.0561469368567
REGION1,NOBMCSPN2,901.2988488593672
REGION1,NOCO00I00,1.1816834085200096
REGION1,NOCOCHPH3,0.236735984793861
REGION1,NOCOSTPH1,0.24017759239167802
REGION1,NOEL00TD0,28141.796179848818
REGION1,NOELDEEH1,1677.209949250489
REGION1,NOELDEIH1,1.9221598879377741
REGION1,NOELNLEH1,869.7563690740384
REGION1,NOELSEPH1,4026.1631484909
REGION1,NOELUKEH1,1428.6632144585458
REGION1,NOELUKIH1,63.43213828647812
REGION1,NOHGEAPH2,78.74624643987735
REGION1,NOHGECPN2,1241.310160775568
REGION1,NOHGSLPN2,6.507638086204171
REGION1,NOHGSRPH2,668.0212263719236
REGION1,NOHGTDP00,1979.890705613172
REGION1,NOHYDMPH1,1471.7699937067116
REGION1,NOHYDMPH2,8503.585450824929
REGION1,NOHYDMPH3,6305.710012948288
REGION1,NOHYDSPH2,268.6791416059472
REGION1,NOHYDSPH3,367.90799203506634
REGION1,NONG00X00,1144.4581187900505
REGION1,NONGCCPH2,80.68485516332035
REGION1,NOSODIFH1,0.0007346332672504327
REGION1,NOSOUTPH2,183.12819549379145
REGION1,NOWIOFPH3,0.7543386271128751
REGION1,NOWIONPH3,139.96250724166595
REGION1,NOWIONPN3,22691.64026981147
REGION1,NOWS00X00,547.3998025661697
REGION1,NOWSCHPH2,34.77117981469535
REGION1,NOWSSTPH1,154.7309774864946
REGION1,SEBM00X00,12321.23434861128
REGION1,SEBMCCPH1,9.81904851169391
REGION1,SEBMCHPH3,0.4024056683890418
REGION1,SEBMCSPN2,2273.188571365555
REGION1,SEBMSTPH3,865.1641508720106
REGION1,SECO00X00,38.30920750486383
REGION1,SECOCHPH3,15.011501550128534
REGION1,SECOSTPH1,0.2396736017514035
REGION1,SEEL00TD0,32988.33947933412
REGION1,SEELDEEH1,752.1086004117114
REGION1,SEELLTEH1,457.16689302577737
REGION1,SEELLTIH1,28.037639935699353
REGION1,SEELPLEH1,718.7950028750731
REGION1,SEELPLIH1,90.50494157098935
REGION1,SEGO00X00,18.867228418266304
REGION1,SEGOCVPH2,4.655854872907939
REGION1,SEHGBCPN2,2061.9940786258935
REGION1,SEHGEAPH2,2.1751255506371643
REGION1,SEHGECPN2,503.1842929928452
REGION1,SEHGSLPN2,5.6100188058475e-13
REGION1,SEHGSRPH2,378.85356141715926
REGION1,SEHGSRPN2,176.8503671623618
REGION1,SEHGTDP00,3110.55300267813
REGION1,SEHYDMPH1,456.3318557833231
REGION1,SEHYDMPH2,3925.6556866046226
REGION1,SEHYDMPH3,7143.569176095012
REGION1,SEHYDSPH2,47.10857542456296
REGION1,SEHYDSPH3,170.11938446363726
REGION1,SENG00I00,841.9748073872613
REGION1,SENUG2PH3,4906.674259498863
REGION1,SEOCWVPH1,2.070339205407424
REGION1,SESODIFH1,0.02069771145307573
REGION1,SESOUTPH2,409.3704624517268
REGION1,SEUR00I00,14868.695008559402
REGION1,SEWIOFPH3,45.72239502269832
REGION1,SEWIONPH3,887.622203503458
REGION1,SEWIONPN3,10096.446472752581
REGION1,SEWS00X00,6915.6588603112
REGION1,SEWSCHPH2,148.25132411111696
REGION1,SEWSSTPH1,2008.1680898579932
