REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2030,0.2276627471812738
REGION1,S01B1,DKBMCSPN2,DKBM,2031,0.2339619994321206
REGION1,S01B1,DKBMCSPN2,DKBM,2033,0.25194768213656155
REGION1,S01B1,DKBMCSPN2,DKBM,2035,0.27894814197951234
REGION1,S01B1,DKBMCSPN2,DKBM,2036,0.29682418825397144
REGION1,S01B1,DKBMCSPN2,DKBM,2037,0.3183833263692904
REGION1,S01B1,DKBMCSPN2,DKBM,2038,0.3448576141987156
REGION1,S01B1,DKBMCSPN2,DKBM,2039,0.3869525842451951
REGION1,S01B1,DKBMCSPN2,DKBM,2041,0.09015133644821562
REGION1,S01B1,DKBMCSPN2,DKBM,2054,0.524845789941662
REGION1,S01B1,DKBMSTPH3,DKBM,2015,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2017,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2018,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2019,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2020,0.5467374211236194
REGION1,S01B1,DKBMSTPH3,DKBM,2021,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2023,1.446919029529027
REGION1,S01B1,DKBMSTPH3,DKBM,2024,1.7021198446331274
REGION1,S01B1,DKBMSTPH3,DKBM,2025,1.816854126734965
REGION1,S01B1,DKBMSTPH3,DKBM,2029,1.816854126734965
REGION1,S01B1,DKBMSTPH3,DKBM,2030,1.5929764238420792
REGION1,S01B1,DKBMSTPH3,DKBM,2031,0.19393724032317197
REGION1,S01B1,DKBMSTPH3,DKBM,2035,1.5929764238420792
REGION1,S01B1,DKBMSTPH3,DKBM,2037,1.5929764238420792
REGION1,S01B1,DKCOCHPH3,DKCO,2015,1.7161569071247222
REGION1,S01B1,DKCOCHPH3,DKCO,2016,3.041118019570552
REGION1,S01B1,DKCOCHPH3,DKCO,2017,1.2818862741587842
REGION1,S01B1,DKCOCHPH3,DKCO,2018,1.2169487724844592
REGION1,S01B1,DKCOCHPH3,DKCO,2021,1.948944300559929
REGION1,S01B1,DKCOCHPH3,DKCO,2022,4.9811042951769915
REGION1,S01B1,DKCOCHPH3,DKCO,2023,1.4729544100799243
REGION1,S01B1,DKCOSTPH1,DKCO,2015,0.20677679615005448
REGION1,S01B1,DKCOSTPH1,DKCO,2016,0.6002157687789225
REGION1,S01B1,DKCOSTPH1,DKCO,2017,0.5943023131105433
REGION1,S01B1,DKCOSTPH1,DKCO,2018,0.5883888572057739
REGION1,S01B1,DKCOSTPH1,DKCO,2019,0.5824754013010046
REGION1,S01B1,DKCOSTPH1,DKCO,2020,0.5546458480566122
REGION1,S01B1,DKCOSTPH1,DKCO,2021,0.09250118373201195
REGION1,S01B1,DKEL00TD0,DKE1,2015,4.450533637076362
REGION1,S01B1,DKEL00TD0,DKE1,2016,4.429920311657763
REGION1,S01B1,DKEL00TD0,DKE1,2017,4.409695916907436
REGION1,S01B1,DKEL00TD0,DKE1,2018,4.389471522157111
REGION1,S01B1,DKEL00TD0,DKE1,2019,4.369247127406787
REGION1,S01B1,DKEL00TD0,DKE1,2020,4.349411663324737
REGION1,S01B1,DKEL00TD0,DKE1,2021,4.451311498412914
REGION1,S01B1,DKEL00TD0,DKE1,2022,4.553989194837642
REGION1,S01B1,DKEL00TD0,DKE1,2023,4.657055821930644
REGION1,S01B1,DKEL00TD0,DKE1,2024,4.7605113796919225
REGION1,S01B1,DKEL00TD0,DKE1,2025,4.8647447987897525
REGION1,S01B1,DKEL00TD0,DKE1,2026,4.950698476478634
REGION1,S01B1,DKEL00TD0,DKE1,2027,5.036652154167517
REGION1,S01B1,DKEL00TD0,DKE1,2028,5.122605831856398
REGION1,S01B1,DKEL00TD0,DKE1,2029,5.208948440213557
REGION1,S01B1,DKEL00TD0,DKE1,2030,5.295291048570714
REGION1,S01B1,DKEL00TD0,DKE1,2031,5.507647193449127
REGION1,S01B1,DKEL00TD0,DKE1,2032,5.721170130332369
REGION1,S01B1,DKEL00TD0,DKE1,2033,5.936248789888711
REGION1,S01B1,DKEL00TD0,DKE1,2034,6.15249424144988
REGION1,S01B1,DKEL00TD0,DKE1,2035,6.370295415684151
REGION1,S01B1,DKEL00TD0,DKE1,2036,6.579929045884637
REGION1,S01B1,DKEL00TD0,DKE1,2037,6.790340537421674
REGION1,S01B1,DKEL00TD0,DKE1,2038,7.001529890295261
REGION1,S01B1,DKEL00TD0,DKE1,2039,7.213886035173676
REGION1,S01B1,DKEL00TD0,DKE1,2040,7.426631110720366
REGION1,S01B1,DKEL00TD0,DKE1,2041,7.605539218127088
REGION1,S01B1,DKEL00TD0,DKE1,2042,7.784836256202086
REGION1,S01B1,DKEL00TD0,DKE1,2043,7.9653000862819106
REGION1,S01B1,DKEL00TD0,DKE1,2044,8.146541777698285
REGION1,S01B1,DKEL00TD0,DKE1,2045,8.328172399782938
REGION1,S01B1,DKEL00TD0,DKE1,2046,8.510191952535864
REGION1,S01B1,DKEL00TD0,DKE1,2047,8.692600435957063
REGION1,S01B1,DKEL00TD0,DKE1,2048,8.875786780714817
REGION1,S01B1,DKEL00TD0,DKE1,2049,9.059362056140849
REGION1,S01B1,DKEL00TD0,DKE1,2050,9.244104123571702
REGION1,S01B1,DKEL00TD0,DKE1,2051,9.285719705077177
REGION1,S01B1,DKEL00TD0,DKE1,2052,9.327335286582654
REGION1,S01B1,DKEL00TD0,DKE1,2053,9.369339798756409
REGION1,S01B1,DKEL00TD0,DKE1,2054,9.411733241598435
REGION1,S01B1,DKEL00TD0,DKE1,2055,9.453737753772188
REGION1,S01B1,DKEL00TD0,DKE1,2056,9.499631572628696
REGION1,S01B1,DKEL00TD0,DKE1,2057,9.545136460816925
REGION1,S01B1,DKEL00TD0,DKE1,2058,9.591419210341709
REGION1,S01B1,DKEL00TD0,DKE1,2059,9.637313029198216
REGION1,S01B1,DKEL00TD0,DKE1,2060,9.683984709391275
REGION1,S01B1,DKELDEEH1,DKE1,2027,0.9875405236467746
REGION1,S01B1,DKELDEEH1,DKE1,2028,0.776110264672457
REGION1,S01B1,DKELDEEH1,DKE1,2029,2.0410146322969696
REGION1,S01B1,DKELDEEH1,DKE1,2030,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2031,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2032,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2033,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2034,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2035,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2036,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2037,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2038,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2039,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2040,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2041,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2042,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2043,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2044,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2045,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2046,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2047,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2048,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2049,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2050,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2051,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2052,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2053,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2054,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2055,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2056,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2057,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2058,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2059,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2060,3.2113151678868403
REGION1,S01B1,DKELNLEH1,DKE1,2022,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2030,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2031,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2032,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2033,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2034,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2035,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2036,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2037,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2038,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2039,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2040,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2041,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2042,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2043,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2044,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2045,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2046,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2047,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2048,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2049,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2050,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2051,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2052,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2053,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2054,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2055,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2056,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2057,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2058,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2059,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2060,0.9773567902264297
REGION1,S01B1,DKELNOPH1,NOE1,2020,1.0348437360247058
REGION1,S01B1,DKELNOPH1,NOE1,2023,0.06405173757187399
REGION1,S01B1,DKELNOPH1,NOE1,2025,1.0804163771408564
REGION1,S01B1,DKELNOPH1,NOE1,2026,2.141210768908059
REGION1,S01B1,DKELNOPH1,NOE1,2027,3.0180288790161782
REGION1,S01B1,DKELNOPH1,NOE1,2028,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2029,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2030,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2031,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2032,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2033,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2034,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2035,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2036,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2037,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2038,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2039,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2040,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2041,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2042,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2043,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2044,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2045,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2046,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2047,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2048,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2049,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2050,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2051,3.870719961292806
REGION1,S01B1,DKELNOPH1,NOE1,2052,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2053,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2054,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2055,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2056,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2057,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2058,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2059,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2060,3.8707199612927905
REGION1,S01B1,DKELSEPH1,DKE1,2040,0.7402896352198415
REGION1,S01B1,DKELSEPH1,DKE1,2041,2.337024431298407
REGION1,S01B1,DKELSEPH1,DKE1,2042,2.378621320423828
REGION1,S01B1,DKELSEPH1,DKE1,2043,2.6390986826954044
REGION1,S01B1,DKELSEPH1,DKE1,2044,2.2616942674753884
REGION1,S01B1,DKELSEPH1,DKE1,2045,2.6473451066759304
REGION1,S01B1,DKELSEPH1,DKE1,2046,2.371480467170467
REGION1,S01B1,DKELSEPH1,DKE1,2047,1.7432271331996056
REGION1,S01B1,DKELSEPH1,DKE1,2048,1.399195516069684
REGION1,S01B1,DKELSEPH1,DKE1,2049,1.0549956655807184
REGION1,S01B1,DKELSEPH1,DKE1,2050,0.7104736025637943
REGION1,S01B1,DKELSEPH1,DKE1,2051,0.19982730982899863
REGION1,S01B1,DKELSEPH1,DKE1,2058,0.010097276704810974
REGION1,S01B1,DKELSEPH1,DKE1,2060,0.14368684104212975
REGION1,S01B1,DKELSEPH1,SEE1,2019,0.5058198107852838
REGION1,S01B1,DKELSEPH1,SEE1,2023,0.6906108831457172
REGION1,S01B1,DKELSEPH1,SEE1,2024,1.1933544008337988
REGION1,S01B1,DKELSEPH1,SEE1,2025,0.6915560551471711
REGION1,S01B1,DKELSEPH1,SEE1,2030,2.2875522980173133
REGION1,S01B1,DKELSEPH1,SEE1,2031,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2032,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2033,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2034,2.620139480686396
REGION1,S01B1,DKELSEPH1,SEE1,2035,1.5093006328615721
REGION1,S01B1,DKELSEPH1,SEE1,2036,0.7171325368518142
REGION1,S01B1,DKELSEPH1,SEE1,2055,0.46878397336483946
REGION1,S01B1,DKELSEPH1,SEE1,2056,0.4125693064802099
REGION1,S01B1,DKELSEPH1,SEE1,2059,0.20830069268647633
REGION1,S01B1,DKGOCVPH2,DKGO,2022,0.18971288358511051
REGION1,S01B1,DKGOCVPH2,DKGO,2023,0.20246388017357098
REGION1,S01B1,DKGOCVPH2,DKGO,2024,0.21521441789316217
REGION1,S01B1,DKGOCVPH2,DKGO,2025,0.22796448258126734
REGION1,S01B1,DKGOCVPH2,DKGO,2026,0.3593340688458893
REGION1,S01B1,DKGOCVPH2,DKGO,2027,0.4907044603835912
REGION1,S01B1,DKGOCVPH2,DKGO,2028,0.6220739083183608
REGION1,S01B1,DKGOCVPH2,DKGO,2029,0.7534420715358219
REGION1,S01B1,DKGOCVPH2,DKGO,2030,0.04608318068619834
REGION1,S01B1,DKGOCVPH2,DKGO,2031,0.9856587514287181
REGION1,S01B1,DKGOCVPH2,DKGO,2032,1.0865051831569823
REGION1,S01B1,DKGOCVPH2,DKGO,2033,0.791102431213108
