REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2015,18737.624887728816
REGION1,CO2,2016,18666.560686389115
REGION1,CO2,2017,19371.14965980784
REGION1,CO2,2018,6519.047016152583
REGION1,CO2,2019,6212.272425879428
REGION1,CO2,2020,9073.083206882005
REGION1,CO2,2021,14317.869138236
REGION1,CO2,2022,9610.460298299287
REGION1,CO2,2023,9298.751017768302
REGION1,CO2,2024,3238.8225038282394
REGION1,CO2,2025,2779.4124871566523
REGION1,CO2,2026,2161.2767198611396
REGION1,CO2,2027,2068.490958871507
REGION1,CO2,2028,1213.3874930358372
REGION1,CO2,2029,1487.4701622364425
REGION1,CO2,2030,-1135.7006117183173
REGION1,CO2,2031,-6990.647483102862
REGION1,CO2,2032,-11678.925705621583
REGION1,CO2,2033,-18644.816660319375
REGION1,CO2,2034,-20474.328376195328
REGION1,CO2,2035,-21621.60084917903
REGION1,CO2,2036,-23007.194585666242
REGION1,CO2,2037,-24678.26893161218
REGION1,CO2,2038,-26730.32287019904
REGION1,CO2,2039,-29993.154625230323
REGION1,CO2,2040,-34474.5604141465
REGION1,CO2,2041,-39503.26320211168
REGION1,CO2,2042,-45413.363954233624
REGION1,CO2,2043,-51883.13772811897
REGION1,CO2,2044,-59108.499537984295
REGION1,CO2,2045,-67021.3804608513
REGION1,CO2,2046,-75605.52672200643
REGION1,CO2,2047,-85147.25781940507
REGION1,CO2,2048,-90033.80357290266
REGION1,CO2,2049,-95309.13190607066
REGION1,CO2,2050,-102380.5474982317
REGION1,CO2,2051,-103534.0606624045
REGION1,CO2,2052,-104850.70413423126
REGION1,CO2,2053,-106603.70440717103
REGION1,CO2,2054,-108553.77704363069
REGION1,CO2,2055,-111709.74555533544
REGION1,CO2,2056,-112751.75533860724
REGION1,CO2,2057,-113094.37411034804
REGION1,CO2,2058,-116051.41809071215
REGION1,CO2,2059,-120133.69181205198
REGION1,CO2,2060,-119702.99952260543
REGION1,DKHO,2015,0.07999995404822358
REGION1,DKHO,2016,0.07999995404822358
REGION1,DKHO,2017,0.022035464296370277
REGION1,DKHO,2018,0.07999996755246115
REGION1,DKHO,2019,0.07999996755246204
REGION1,DKHO,2020,0.07999996755246115
REGION1,DKHO,2021,0.07999996755246114
REGION1,DKHO,2022,0.07999996755246115
REGION1,DKHO,2023,0.07999996755246115
REGION1,DKHO,2024,0.07999996755246115
REGION1,DKHO,2025,0.07999996755246115
REGION1,DKHO,2026,0.07999996755246115
REGION1,DKHO,2027,0.07999996755246115
REGION1,DKHO,2028,0.07999996730359174
REGION1,DKHO,2029,0.07999996730359174
REGION1,DKHO,2030,0.07999996730359174
REGION1,DKHO,2031,0.07999996730359174
REGION1,DKHO,2032,0.07999996730359175
REGION1,DKHO,2033,0.07999996730359175
REGION1,DKHO,2034,0.07999996730359174
REGION1,DKHO,2035,0.07999996730359174
REGION1,DKHO,2036,0.07999996755246115
REGION1,DKHO,2037,0.07999996730359174
REGION1,DKHO,2038,0.07999996755246115
REGION1,DKHO,2039,0.07999996730359174
REGION1,DKHO,2040,0.07999996730359175
REGION1,DKHO,2041,0.07999996730359174
REGION1,DKHO,2042,0.07999996862838496
REGION1,DKHO,2043,0.0799999686283846
REGION1,DKHO,2044,0.07999996730359174
REGION1,DKHO,2045,0.07999996730359174
REGION1,DKHO,2046,0.07999996730359174
REGION1,DKHO,2047,0.07999996730359174
REGION1,DKHO,2048,0.07999996730359174
REGION1,DKHO,2049,0.07999996730359174
REGION1,DKHO,2050,0.07999996730359174
REGION1,DKHO,2051,0.07999996730359174
REGION1,DKHO,2052,0.07999996755246115
REGION1,DKHO,2053,0.07999996755246115
REGION1,DKHO,2054,0.07999996755246115
REGION1,DKHO,2055,0.07999996755246115
REGION1,DKHO,2056,0.07999996755246115
REGION1,DKHO,2057,0.07999996755246115
REGION1,DKHO,2058,0.07999996755246115
REGION1,DKHO,2059,0.07999996755246118
REGION1,DKHO,2060,0.07999996748708445
REGION1,DKPM25,2015,1.6054294905005049
REGION1,DKPM25,2016,1.609259064152997
REGION1,DKPM25,2017,1.6204446328722872
REGION1,DKPM25,2018,1.526397623005809
REGION1,DKPM25,2019,1.5283425588760304
REGION1,DKPM25,2020,1.5562767104419983
REGION1,DKPM25,2021,1.6020007785556265
REGION1,DKPM25,2022,1.56116454365941
REGION1,DKPM25,2023,1.1364599278066427
REGION1,DKPM25,2024,1.103173464499907
REGION1,DKPM25,2025,1.1029117758173574
REGION1,DKPM25,2026,1.1023474713931543
REGION1,DKPM25,2027,1.101906306738421
REGION1,DKPM25,2028,1.1014652567963423
REGION1,DKPM25,2029,1.101023866312335
REGION1,DKPM25,2030,0.934164070316618
REGION1,DKPM25,2031,0.9336459322567638
REGION1,DKPM25,2032,0.9331276898354113
REGION1,DKPM25,2033,0.9326094895509759
REGION1,DKPM25,2034,0.9320912036005142
REGION1,DKPM25,2035,0.9562873253345308
REGION1,DKPM25,2036,1.133520093205507
REGION1,DKPM25,2037,1.2188502473709844
REGION1,DKPM25,2038,1.218624521335383
REGION1,DKPM25,2039,1.2183990607614532
REGION1,DKPM25,2040,1.2181736829615977
REGION1,DKPM25,2041,1.2181423628678283
REGION1,DKPM25,2042,0.8436663373636393
REGION1,DKPM25,2043,0.4851291085051098
REGION1,DKPM25,2044,0.02479117602900219
REGION1,DKPM25,2045,0.31248754973905896
REGION1,DKPM25,2046,0.06953063049338677
REGION1,DKPM25,2047,0.06925631536414181
REGION1,DKPM25,2048,0.0689820128928485
REGION1,DKPM25,2049,0.023662199847051937
REGION1,DKPM25,2050,0.023387887934487428
REGION1,DKPM25,2051,0.023083844485486643
REGION1,DKPM25,2052,0.02278372989473855
REGION1,DKPM25,2053,0.022487574589743597
REGION1,DKPM25,2054,0.022195198917832344
REGION1,DKPM25,2055,0.021906679542761005
REGION1,DKPM25,2056,0.02157811300769436
REGION1,DKPM25,2057,0.021254434560762987
REGION1,DKPM25,2058,0.02093559694965165
REGION1,DKPM25,2059,0.020621523535048897
REGION1,DKPM25,2060,0.020312204477433978
REGION1,DKSO,2015,2.771097774546021
REGION1,DKSO,2016,2.771097774546021
REGION1,DKSO,2017,2.771097774546021
REGION1,DKSO,2018,2.771097774546021
REGION1,DKSO,2019,2.771097774546026
REGION1,DKSO,2020,2.771097774546026
REGION1,DKSO,2021,2.771097774546026
REGION1,DKSO,2022,2.771097774546026
REGION1,DKSO,2023,2.7710800565295646
REGION1,DKSO,2024,2.7704918183830496
REGION1,DKSO,2025,2.7650878233623555
REGION1,DKSO,2026,2.7650878233623555
REGION1,DKSO,2027,2.7650878233623555
REGION1,DKSO,2028,4.94278212714693
REGION1,DKSO,2029,8.396385503856665
REGION1,DKSO,2030,11.849988880566404
REGION1,DKSO,2031,12.289988467692918
REGION1,DKSO,2032,12.719988064202926
REGION1,DKSO,2033,13.149987660712931
REGION1,DKSO,2034,13.579987257222935
REGION1,DKSO,2035,14.019986844349452
REGION1,DKSO,2036,14.379986506543872
REGION1,DKSO,2037,14.739986168738296
REGION1,DKSO,2038,15.10998582154923
REGION1,DKSO,2039,15.469985483743654
REGION1,DKSO,2040,15.829985145938075
REGION1,DKSO,2041,16.119984873816914
