REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,12.014504280309298
REGION1,DKBFHPFH1,2016,11.932454006825099
REGION1,DKBFHPFH1,2017,11.850403733340897
REGION1,DKBFHPFH1,2018,11.7683534598567
REGION1,DKBFHPFH1,2019,11.686303186372498
REGION1,DKBFHPFH1,2020,11.604252912888299
REGION1,DKBFHPFH1,2021,11.569088510866598
REGION1,DKBFHPFH1,2022,11.5339241088449
REGION1,DKBFHPFH1,2023,8.651399112828
REGION1,DKBFHPFH1,2024,3.9861588320805
REGION1,DKBFHPFH1,2025,3.4475564011798
REGION1,DKBFHPFH1,2026,3.3465358314080995
REGION1,DKBFHPFH1,2027,3.1838811426761997
REGION1,DKBFHPFH1,2028,2.0355661310540003
REGION1,DKBFHPFH1,2029,1.7692962527363998
REGION1,DKBFHPFH1,2030,1.4601763336608
REGION1,DKBFHPFH1,2031,1.3051737983837
REGION1,DKBMCSPN2,2030,0.9907058104217618
REGION1,DKBMCSPN2,2031,9.842792853878775
REGION1,DKBMCSPN2,2032,20.82292428656649
REGION1,DKBMCSPN2,2033,50.578027464500224
REGION1,DKBMCSPN2,2034,53.18022753097898
REGION1,DKBMCSPN2,2035,56.32294738381641
REGION1,DKBMCSPN2,2036,60.106555618866004
REGION1,DKBMCSPN2,2037,64.66022198655591
REGION1,DKBMCSPN2,2038,70.24165064465244
REGION1,DKBMCSPN2,2039,79.04681358146465
REGION1,DKBMCSPN2,2040,91.12476671930364
REGION1,DKBMCSPN2,2041,104.73890493204726
REGION1,DKBMCSPN2,2042,120.03872769371803
REGION1,DKBMCSPN2,2043,137.1826853466972
REGION1,DKBMCSPN2,2044,156.33827386133865
REGION1,DKBMCSPN2,2045,177.68217807409735
REGION1,DKBMCSPN2,2046,201.4005152925162
REGION1,DKBMCSPN2,2047,227.68925747790695
REGION1,DKBMCSPN2,2048,256.7549515348706
REGION1,DKBMCSPN2,2049,288.8159245233493
REGION1,DKBMCSPN2,2050,318.1168747822072
REGION1,DKBMCSPN2,2051,348.0662436628702
REGION1,DKBMCSPN2,2052,394.44935149167475
REGION1,DKBMCSPN2,2053,425.7638199954989
REGION1,DKBMCSPN2,2054,459.7387721487048
REGION1,DKBMCSPN2,2055,496.3689286713044
REGION1,DKBMCSPN2,2056,537.9764443081679
REGION1,DKBMCSPN2,2057,585.4097314412346
REGION1,DKBMCSPN2,2058,642.4821753812299
REGION1,DKBMCSPN2,2059,715.921640754945
REGION1,DKBMCSPN2,2060,825.617071998561
REGION1,DKBMSTPH3,2015,39.360586592669435
REGION1,DKBMSTPH3,2016,39.07605223271679
REGION1,DKBMSTPH3,2017,38.79151787276416
REGION1,DKBMSTPH3,2018,38.506983512811516
REGION1,DKBMSTPH3,2019,38.222449147760635
REGION1,DKBMSTPH3,2020,37.937914787808
REGION1,DKBMSTPH3,2021,37.81145507057408
REGION1,DKBMSTPH3,2022,37.6849953584384
REGION1,DKBMSTPH3,2023,26.897069570570082
REGION1,DKBMSTPH3,2024,26.806507045853756
REGION1,DKBMSTPH3,2025,26.715944521137438
REGION1,DKBMSTPH3,2026,26.625382000072157
REGION1,DKBMSTPH3,2027,26.53481947535584
REGION1,DKBMSTPH3,2028,26.444256950639517
REGION1,DKBMSTPH3,2029,26.353694425923198
REGION1,DKBMSTPH3,2030,22.18580916221156
REGION1,DKBMSTPH3,2031,22.1093063712313
REGION1,DKBMSTPH3,2032,22.032803580251038
REGION1,DKBMSTPH3,2033,21.956300789270777
REGION1,DKBMSTPH3,2034,21.879798001374738
REGION1,DKBMSTPH3,2035,22.39836543746127
REGION1,DKBMSTPH3,2036,26.591188365725884
REGION1,DKBMSTPH3,2037,28.559086461595598
REGION1,DKBMSTPH3,2038,28.47340920470218
REGION1,DKBMSTPH3,2039,28.38798897721
REGION1,DKBMSTPH3,2040,28.302825006917256
REGION1,DKBMSTPH3,2041,28.217916533814815
REGION1,DKBMSTPH3,2042,27.548892342080983
REGION1,DKBMSTPH3,2043,10.82003616996118
REGION1,DKBMSTPH3,2044,-2.1007585241927808e-14
REGION1,DKBMSTPH3,2045,6.72286584227998
REGION1,DKBMSTPH3,2046,6.702697244319979
REGION1,DKBMSTPH3,2047,6.682589152539979
REGION1,DKBMSTPH3,2048,6.66254138563998
REGION1,DKBMSTPH3,2049,6.64255376133998
REGION1,DKBMSTPH3,2050,6.622626099319979
REGION1,DKBMSTPH3,2051,6.60275822121998
REGION1,DKBMSTPH3,2052,6.58294994671998
REGION1,DKBMSTPH3,2053,6.56320109745998
REGION1,DKBMSTPH3,2054,6.543511494099979
REGION1,DKBMSTPH3,2055,6.52388095925998
REGION1,DKBMSTPH3,2056,6.50430931653998
REGION1,DKBMSTPH3,2057,6.48479638855998
REGION1,DKBMSTPH3,2058,6.46534199891998
REGION1,DKBMSTPH3,2059,6.445945973179979
REGION1,DKBMSTPH3,2060,6.42660813493998
REGION1,DKCOSTPH1,2015,6.83955363699
REGION1,DKCOSTPH1,2016,6.83955363699
REGION1,DKCOSTPH1,2017,6.83955363699
REGION1,DKCOSTPH1,2018,6.83955363699
REGION1,DKCOSTPH1,2019,6.83955363699
REGION1,DKCOSTPH1,2020,6.579570604005
REGION1,DKCOSTPH1,2021,1.099928216475
REGION1,DKGOCVPH2,2022,2.140400649944162
REGION1,DKGOCVPH2,2023,2.277298057917302
REGION1,DKGOCVPH2,2024,2.4132882848153043
REGION1,DKGOCVPH2,2025,2.548366652388962
REGION1,DKGOCVPH2,2026,4.004435237025109
REGION1,DKGOCVPH2,2027,5.4513267920720585
REGION1,DKGOCVPH2,2028,6.888975119111369
REGION1,DKGOCVPH2,2029,8.317329487272792
REGION1,DKGOCVPH2,2030,9.736355479192103
REGION1,DKGOCVPH2,2031,10.83501573034803
REGION1,DKGOCVPH2,2032,11.931336863967502
REGION1,DKGOCVPH2,2033,13.025300749662605
REGION1,DKGOCVPH2,2034,13.635528308312832
REGION1,DKGOCVPH2,2035,13.5931819460763
REGION1,DKGOCVPH2,2036,13.550835586008725
REGION1,DKGOCVPH2,2037,13.508489223772193
REGION1,DKGOCVPH2,2038,13.466142863704619
REGION1,DKGOCVPH2,2039,13.423796501468086
REGION1,DKGOCVPH2,2040,13.381450141400512
REGION1,DKGOCVPH2,2041,13.33910377916398
REGION1,DKGOCVPH2,2042,13.296757416927447
REGION1,DKGOCVPH2,2043,13.254411056859873
REGION1,DKGOCVPH2,2044,13.21206469462334
REGION1,DKGOCVPH2,2045,13.169718334555766
REGION1,DKGOCVPH2,2046,13.127371972319233
REGION1,DKGOCVPH2,2047,13.085025612251659
REGION1,DKGOCVPH2,2048,13.042679250015127
REGION1,DKGOCVPH2,2049,13.000332889947554
REGION1,DKGOCVPH2,2050,12.95798652771102
REGION1,DKGOCVPH2,2051,12.945028542731947
REGION1,DKGOCVPH2,2052,12.93208351295074
REGION1,DKGOCVPH2,2053,12.919151429691556
REGION1,DKGOCVPH2,2054,12.90623227777168
REGION1,DKGOCVPH2,2055,12.893326046346308
REGION1,DKGOCVPH2,2056,12.880432720232726
REGION1,DKGOCVPH2,2057,12.867552286417167
REGION1,DKGOCVPH2,2058,12.854684734054837
REGION1,DKGOCVPH2,2059,12.841830050131973
REGION1,DKGOCVPH2,2060,12.828988219465856
REGION1,DKHFCHPH3,2015,0.003085250308
REGION1,DKHFCHPH3,2016,0.003085250308
REGION1,DKHFCHPH3,2017,0.003085250308
REGION1,DKHFCHPH3,2018,0.003085250308
REGION1,DKHFCHPH3,2019,0.003085250308
REGION1,DKHFCHPH3,2020,0.003085250308
REGION1,DKHFCHPH3,2021,0.000200095112
REGION1,DKHFCHPH3,2022,0.00489019646544087
REGION1,DKHFCHPH3,2023,0.018921040068132496
REGION1,DKHFCHPH3,2024,0.02962847837271561
REGION1,DKHFCHPH3,2025,0.03023965138015421
REGION1,DKHFCHPH3,2026,0.03070991995114115
REGION1,DKHFCHPH3,2027,0.03257471480746457
REGION1,DKHFCHPH3,2028,0.03308716385633635
REGION1,DKHFCHPH3,2029,0.03331215038520537
REGION1,DKHFCHPH3,2030,0.03395966378828981
REGION1,DKHFCHPH3,2031,0.03395966378828981
REGION1,DKHFCHPH3,2032,0.03395966378828981
REGION1,DKHFCHPH3,2033,0.03395966378828981
REGION1,DKHFCHPH3,2034,0.03402958617053577
REGION1,DKHFCHPH3,2035,0.03439530544157658
REGION1,DKHFCHPH3,2036,0.03439530544157658
REGION1,DKHFCHPH3,2037,0.03439530544157658
REGION1,DKHFCHPH3,2038,0.03439530544157658
REGION1,DKHFCHPH3,2039,0.03439530544157658
REGION1,DKHFCHPH3,2040,0.03439530544157658
REGION1,DKHFCHPH3,2041,0.03439530544157658
REGION1,DKHFCHPH3,2042,0.03439530544157658
REGION1,DKHFCHPH3,2043,0.03439530544157658
REGION1,DKHFCHPH3,2044,0.03439530544157658
REGION1,DKHFCHPH3,2045,0.03439530544157658
REGION1,DKHFCHPH3,2046,0.03439530544157658
REGION1,DKHFCHPH3,2047,0.03230386826519697
REGION1,DKHFCHPH3,2048,0.03159158901418485
REGION1,DKHFCHPH3,2049,0.030751912248604206
REGION1,DKHFCHPH3,2050,0.030140739241165615
REGION1,DKHFCHPH3,2051,0.02967047067017867
REGION1,DKHFCHPH3,2052,0.027805675813855252
REGION1,DKHFCHPH3,2053,0.02729322676498347
REGION1,DKHFCHPH3,2054,0.027068240236114455
REGION1,DKHFCHPH3,2055,0.026420726833030015
REGION1,DKHFCHPH3,2056,0.026420726833030015
REGION1,DKHFCHPH3,2057,0.026420726833030015
REGION1,DKHFCHPH3,2058,0.026420726833030015
REGION1,DKHFCHPH3,2059,0.02635080445078406
REGION1,DKHFCHPH3,2060,0.025985085179743246
REGION1,DKHFGCPH3,2015,1.7263838892864
REGION1,DKHFGCPH3,2016,1.7642481814536
REGION1,DKHFGCPH3,2017,1.8021124733902
REGION1,DKHFGCPH3,2018,1.8399767653268
REGION1,DKHFGCPH3,2019,1.8778410572634
REGION1,DKHFGCPH3,2020,1.9157053492
REGION1,DKHFGCPH3,2021,1.9157053492
REGION1,DKHFGCPH3,2022,0.103843525
REGION1,DKHFSTPH3,2015,33.7652382705
REGION1,DKHFSTPH3,2016,33.7652382705
