REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKBMCSPN2,CO2,1,2030,-44.117790036678635
REGION1,DKBMCSPN2,CO2,1,2031,-437.06376907441637
REGION1,DKBMCSPN2,CO2,1,2032,-921.9811090074736
REGION1,DKBMCSPN2,CO2,1,2033,-2233.018904126457
REGION1,DKBMCSPN2,CO2,1,2034,-2341.1396429309775
REGION1,DKBMCSPN2,CO2,1,2035,-2472.3245586689595
REGION1,DKBMCSPN2,CO2,1,2036,-2630.7603252074928
REGION1,DKBMCSPN2,CO2,1,2037,-2821.839601871695
REGION1,DKBMCSPN2,CO2,1,2038,-3056.482280413773
REGION1,DKBMCSPN2,CO2,1,2039,-3429.5710049753284
REGION1,DKBMCSPN2,CO2,1,2040,-3941.997636081558
REGION1,DKBMCSPN2,CO2,1,2041,-4530.93667439064
REGION1,DKBMCSPN2,CO2,1,2042,-5192.797020688023
REGION1,DKBMCSPN2,CO2,1,2043,-5934.433421866467
REGION1,DKBMCSPN2,CO2,1,2044,-6763.0917103671445
REGION1,DKBMCSPN2,CO2,1,2045,-7686.415427066842
REGION1,DKBMCSPN2,CO2,1,2046,-8712.45461019742
REGION1,DKBMCSPN2,CO2,1,2047,-9849.688198830541
REGION1,DKBMCSPN2,CO2,1,2048,-11107.051823222413
REGION1,DKBMCSPN2,CO2,1,2049,-12493.98880586078
REGION1,DKBMCSPN2,CO2,1,2050,-12254.209278740856
REGION1,DKBMCSPN2,CO2,1,2051,-12216.202571180258
REGION1,DKBMCSPN2,CO2,1,2052,-16143.39511394348
REGION1,DKBMCSPN2,CO2,1,2053,-12205.560548253683
REGION1,DKBMCSPN2,CO2,1,2054,-12432.97323659023
REGION1,DKBMCSPN2,CO2,1,2055,-12528.010372614273
REGION1,DKBMCSPN2,CO2,1,2056,-12851.362333466426
REGION1,DKBMCSPN2,CO2,1,2057,-13038.097536414032
REGION1,DKBMCSPN2,CO2,1,2058,-13317.058526485576
REGION1,DKBMCSPN2,CO2,1,2059,-13593.322168869749
REGION1,DKBMCSPN2,CO2,1,2060,-13873.367342436082
REGION1,DKBMSTPH3,DKPM25,1,2015,1.4968438916507607
REGION1,DKBMSTPH3,DKPM25,1,2016,1.4968438916507607
REGION1,DKBMSTPH3,DKPM25,1,2017,1.4968438916507607
REGION1,DKBMSTPH3,DKPM25,1,2018,1.4968442744846129
REGION1,DKBMSTPH3,DKPM25,1,2019,1.4968437550865121
REGION1,DKBMSTPH3,DKPM25,1,2020,1.4968441990020196
REGION1,DKBMSTPH3,DKPM25,1,2021,1.4968437850226515
REGION1,DKBMSTPH3,DKPM25,1,2022,1.4968439484481966
REGION1,DKBMSTPH3,DKPM25,1,2023,1.0719458662790455
REGION1,DKBMSTPH3,DKPM25,1,2024,1.0719458712767382
REGION1,DKBMSTPH3,DKPM25,1,2025,1.0719460778094876
REGION1,DKBMSTPH3,DKPM25,1,2026,1.0719458137415918
REGION1,DKBMSTPH3,DKPM25,1,2027,1.071945921870553
REGION1,DKBMSTPH3,DKPM25,1,2028,1.0719461498621725
REGION1,DKBMSTPH3,DKPM25,1,2029,1.0719461051626693
REGION1,DKBMSTPH3,DKPM25,1,2030,0.9055275777614825
REGION1,DKBMSTPH3,DKPM25,1,2031,0.9055275800597588
REGION1,DKBMSTPH3,DKPM25,1,2032,0.905527555458654
REGION1,DKBMSTPH3,DKPM25,1,2033,0.9055275003686044
REGION1,DKBMSTPH3,DKPM25,1,2034,0.9055274276060761
REGION1,DKBMSTPH3,DKPM25,1,2035,0.9302416879330148
REGION1,DKBMSTPH3,DKPM25,1,2036,1.1077000010256841
REGION1,DKBMSTPH3,DKPM25,1,2037,1.193255622792834
REGION1,DKBMSTPH3,DKPM25,1,2038,1.193255433513023
REGION1,DKBMSTPH3,DKPM25,1,2039,1.193255442997408
REGION1,DKBMSTPH3,DKPM25,1,2040,1.19325561220806
REGION1,DKBMSTPH3,DKPM25,1,2041,1.1932560310346678
REGION1,DKBMSTPH3,DKPM25,1,2042,0.8188117504391381
REGION1,DKBMSTPH3,DKPM25,1,2043,0.4603062615720397
REGION1,DKBMSTPH3,DKPM25,1,2045,0.2877281134970011
REGION1,DKBMSTPH3,DKPM25,1,2046,0.04504550396058506
REGION1,DKBMSTPH3,DKPM25,1,2047,0.04504550396058506
REGION1,DKBMSTPH3,DKPM25,1,2048,0.04504550396058506
REGION1,DKCO00I00,CO2,1,2015,7043.241766961515
REGION1,DKCO00I00,CO2,1,2016,7122.3309672213745
REGION1,DKCO00I00,CO2,1,2017,7803.278879932396
REGION1,DKCO00I00,CO2,1,2020,2101.354455212241
REGION1,DKCO00I00,CO2,1,2021,5764.304999508238
REGION1,DKCO00I00,CO2,1,2022,2565.9239267589764
REGION1,DKCO00I00,CO2,1,2023,2585.8274065078535
REGION1,DKCOCHPH3,DKPM25,1,2015,0.07287306948832585
REGION1,DKCOCHPH3,DKPM25,1,2016,0.07467318849361655
REGION1,DKCOCHPH3,DKPM25,1,2017,0.08391330280351225
REGION1,DKCOCHPH3,DKPM25,1,2020,0.01502506813899908
REGION1,DKCOCHPH3,DKPM25,1,2021,0.07132375702780726
REGION1,DKCOCHPH3,DKPM25,1,2022,0.03269187025678231
REGION1,DKCOCHPH3,DKPM25,1,2023,0.03302450015980326
REGION1,DKCOSTPH1,DKPM25,1,2015,0.01207954800149499
REGION1,DKCOSTPH1,DKPM25,1,2016,0.01207954800149499
REGION1,DKCOSTPH1,DKPM25,1,2017,0.01207954800149499
REGION1,DKCOSTPH1,DKPM25,1,2020,0.011620383168281656
REGION1,DKCOSTPH1,DKPM25,1,2021,0.0019426174603313063
REGION1,DKHYDMPH0,DKHO,1,2015,0.07999995404822358
REGION1,DKHYDMPH0,DKHO,1,2016,0.07999995404822358
