REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00I00,2041,5.965008682936266
REGION1,DKBM00I00,2045,68.90518189555591
REGION1,DKBM00I00,2046,98.99066252048192
REGION1,DKBM00I00,2047,159.10865870101873
REGION1,DKBM00I00,2048,225.35537903289418
REGION1,DKBM00I00,2049,293.61589867248586
REGION1,DKBM00I00,2050,267.8342283421844
REGION1,DKBM00I00,2051,255.96136320882857
REGION1,DKBM00I00,2052,478.9436255823964
REGION1,DKBM00I00,2053,238.83584149098058
REGION1,DKBM00I00,2054,244.86107136454052
REGION1,DKBM00I00,2055,243.54962481315454
REGION1,DKBM00I00,2056,258.30451746710133
REGION1,DKBM00I00,2057,265.3696712159899
REGION1,DKBM00I00,2058,278.0104486847533
REGION1,DKBM00I00,2059,290.66735190253837
REGION1,DKBM00I00,2060,303.67814813213886
REGION1,DKBM00X00,2015,74.85032143984392
REGION1,DKBM00X00,2016,74.85032143984392
REGION1,DKBM00X00,2017,74.85032143984392
REGION1,DKBM00X00,2018,74.85034058361506
REGION1,DKBM00X00,2019,74.85031461089002
REGION1,DKBM00X00,2020,74.85033680907556
REGION1,DKBM00X00,2021,74.85031610785954
REGION1,DKBM00X00,2022,74.85032428002407
REGION1,DKBM00X00,2023,53.603113260269645
REGION1,DKBM00X00,2024,53.603113510181416
REGION1,DKBM00X00,2025,53.6031238379402
REGION1,DKBM00X00,2026,53.60311063311171
REGION1,DKBM00X00,2027,53.60311604014683
REGION1,DKBM00X00,2028,53.60312744096565
REGION1,DKBM00X00,2029,53.6031252057478
REGION1,DKBM00X00,2030,46.71123587845354
REGION1,DKBM00X00,2031,59.44732249539026
REGION1,DKBM00X00,2032,75.16440336419069
REGION1,DKBM00X00,2033,117.65763842801282
REGION1,DKBM00X00,2034,121.16185853821094
REGION1,DKBM00X00,2035,126.64973880260419
REGION1,DKBM00X00,2036,140.6589128601264
REGION1,DKBM00X00,2037,151.13018748946
REGION1,DKBM00X00,2038,158.73548742805602
REGION1,DKBM00X00,2039,170.82811310965846
REGION1,DKBM00X00,2040,187.43653846705595
REGION1,DKBM00X00,2041,202.38357437996237
REGION1,DKBM00X00,2042,206.59565193011198
REGION1,DKBM00X00,2043,210.80792508836464
