REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,43.0741383994725
REGION1,DKBMCSPN2,2031,384.87310604519416
REGION1,DKBMCSPN2,2032,477.3967165637611
REGION1,DKBMCSPN2,2033,1293.6993191059098
REGION1,DKBMCSPN2,2034,113.13906169471718
REGION1,DKBMCSPN2,2035,136.63990709235856
REGION1,DKBMCSPN2,2036,164.50460172079556
REGION1,DKBMCSPN2,2037,197.98536889916448
REGION1,DKBMCSPN2,2038,242.67065758227687
REGION1,DKBMCSPN2,2039,382.8329287870944
REGION1,DKBMCSPN2,2040,525.1280648289937
REGION1,DKBMCSPN2,2041,591.91867797325
REGION1,DKBMCSPN2,2042,665.2092641336648
REGION1,DKBMCSPN2,2043,745.3889912533623
REGION1,DKBMCSPN2,2044,832.8511472560617
REGION1,DKBMCSPN2,2045,927.9952478062686
REGION1,DKBMCSPN2,2046,1031.2314000829365
REGION1,DKBMCSPN2,2047,1142.9880670221405
REGION1,DKBMCSPN2,2048,1263.725028475796
REGION1,DKBMCSPN2,2049,1393.954464786638
REGION1,DKBMCSPN2,2050,1273.9535525170725
REGION1,DKBMCSPN2,2051,1302.145648659653
REGION1,DKBMCSPN2,2052,2016.655585339744
REGION1,DKBMCSPN2,2053,1361.4977686114646
REGION1,DKBMCSPN2,2054,1477.1708975236893
REGION1,DKBMCSPN2,2055,1592.6144926687095
REGION1,DKBMCSPN2,2056,1809.0212736690185
REGION1,DKBMCSPN2,2057,2062.3155261821207
REGION1,DKBMCSPN2,2058,2481.409035060495
REGION1,DKBMCSPN2,2059,3193.018212080518
REGION1,DKBMCSPN2,2060,4769.363556236538
REGION1,DKBMSTPH3,2035,16.194569804246946
REGION1,DKBMSTPH3,2036,116.16728439564484
REGION1,DKBMSTPH3,2037,55.95043843656019
REGION1,DKGOCVPH2,2022,107.019924630464
REGION1,DKGOCVPH2,2023,7.350268315015875
REGION1,DKGOCVPH2,2024,7.3398062464021265
REGION1,DKGOCVPH2,2025,7.329204240353656
REGION1,DKGOCVPH2,2026,73.41388108795684
REGION1,DKGOCVPH2,2027,73.30838401531352
REGION1,DKGOCVPH2,2028,73.2007758356951
REGION1,DKGOCVPH2,2029,73.09183142553393
REGION1,DKGOCVPH2,2030,72.98237162843327
REGION1,DKGOCVPH2,2031,56.42633558985285
REGION1,DKGOCVPH2,2032,56.48303315420996
REGION1,DKGOCVPH2,2033,56.53953540784888
REGION1,DKGOCVPH2,2034,32.527643808569664
REGION1,DKHFCHPH3,2022,496.20417135294394
REGION1,DKHFCHPH3,2023,1484.4376695929168
REGION1,DKHFCHPH3,2024,1153.9971468866906
REGION1,DKHFCHPH3,2025,64.66098978583167
REGION1,DKHFCHPH3,2026,49.753557331700875
REGION1,DKHFCHPH3,2027,197.291895567745
REGION1,DKHFCHPH3,2028,54.21617498084014
REGION1,DKHFCHPH3,2029,23.803164518208472
REGION1,DKHFCHPH3,2030,68.50573738277951
REGION1,DKHFCHPH3,2034,7.397660546487371
REGION1,DKHFCHPH3,2035,38.69243203059468
REGION1,DKHFCHPH3,2047,274.9339315785251
REGION1,DKHFCHPH3,2048,1409.0798235921975
REGION1,DKHFCHPH3,2049,1065.1608761388131
REGION1,DKHYDMPH3,2018,4.1257111644322135
REGION1,DKHYDMPH3,2059,0.07018802999999854
REGION1,DKSOUTPH2,2028,207.10077281469523
REGION1,DKSOUTPH2,2029,316.74569777119245
REGION1,DKSOUTPH2,2030,306.0250741543216
REGION1,DKSOUTPH2,2031,37.62268626135295
REGION1,DKSOUTPH2,2032,35.93624423273284
REGION1,DKSOUTPH2,2033,34.46206455322792
REGION1,DKSOUTPH2,2034,34.043302171447834
REGION1,DKSOUTPH2,2035,33.8128314126819
REGION1,DKSOUTPH2,2036,29.01376713218376
REGION1,DKSOUTPH2,2037,121.86503583580888
REGION1,DKSOUTPH2,2038,67.72128195013254
REGION1,DKSOUTPH2,2039,32.746756067152575
REGION1,DKSOUTPH2,2040,64.44579900691794
REGION1,DKSOUTPH2,2041,18.577118486235182
REGION1,DKSOUTPH2,2042,18.086093328008783
REGION1,DKSOUTPH2,2043,17.595068169782213
REGION1,DKSOUTPH2,2044,17.267718064298123
REGION1,DKSOUTPH2,2045,16.85853043244281
REGION1,DKSOUTPH2,2046,6.270447710225457
REGION1,DKSOUTPH2,2047,5.587527662577081
REGION1,DKSOUTPH2,2048,6.022113147444524
REGION1,DKSOUTPH2,2049,5.897945866053622
REGION1,DKSOUTPH2,2050,5.277109459100314
REGION1,DKSOUTPH2,2051,4.92718348427288
REGION1,DKSOUTPH2,2052,4.825592072225012
REGION1,DKSOUTPH2,2053,119.66881844300656
REGION1,DKSOUTPH2,2054,187.0
REGION1,DKSOUTPH2,2055,187.0
REGION1,DKSOUTPH2,2056,27.968680133234535
REGION1,DKSOUTPH2,2057,28.21252813323384
REGION1,DKSOUTPH2,2058,27.4409691873234
REGION1,DKSOUTPH2,2059,27.814969187323765
REGION1,DKSOUTPH2,2060,28.342680133233305
REGION1,DKWIONPH3,2037,788.3834377553175
REGION1,DKWIONPH3,2038,1903.9979953375916
REGION1,DKWIONPH3,2039,527.6590759626366
REGION1,DKWIONPH3,2040,3800.250229825656
REGION1,DKWIONPH3,2041,4064.049687441823
REGION1,DKWSSTPH1,2023,1033.300433556105
REGION1,DKWSSTPH1,2024,223.39846634601724
REGION1,DKWSSTPH1,2025,36.870880009551314
REGION1,DKWSSTPH1,2028,36.78687795135592
REGION1,DKWSSTPH1,2029,40.072227375222205
REGION1,DKWSSTPH1,2030,16.924862501273928
REGION1,DKWSSTPH1,2038,25.835036199853548
REGION1,DKWSSTPH1,2053,663.6041871181046
REGION1,DKWSSTPH1,2054,152.94204908360933
REGION1,DKWSSTPH1,2055,1.6299444750449352
REGION1,DKWSSTPH1,2058,1.3076039249079958
REGION1,DKWSSTPH1,2059,16.959942472684325
REGION1,DKWSSTPH1,2060,0.30730304051536733
REGION1,FIBMCSPN2,2030,410.93478469134976
REGION1,FIBMCSPN2,2031,2866.36516766619
REGION1,FIBMCSPN2,2032,2527.2542635653967
REGION1,FIBMCSPN2,2033,256.46578800226405
REGION1,FIBMCSPN2,2034,311.834752120637
REGION1,FIBMCSPN2,2035,376.60796297661113
REGION1,FIBMCSPN2,2036,453.40884864969377
REGION1,FIBMCSPN2,2037,545.6887966843286
REGION1,FIBMCSPN2,2038,668.8507330766986
REGION1,FIBMCSPN2,2039,1055.1670631144673
REGION1,FIBMCSPN2,2040,1447.3620116224247
REGION1,FIBMCSPN2,2041,1631.4508133310949
REGION1,FIBMCSPN2,2042,1833.4548906653915
REGION1,FIBMCSPN2,2043,2054.446871303664
REGION1,FIBMCSPN2,2044,2295.5107384464773
REGION1,FIBMCSPN2,2045,2557.7476402414577
REGION1,FIBMCSPN2,2046,2842.2879172498583
REGION1,FIBMCSPN2,2047,3133.8401072985675
REGION1,FIBMCSPN2,2048,3480.9858590225685
REGION1,FIBMCSPN2,2049,2897.7826595717484
REGION1,FIBMCSPN2,2050,2920.2890536987275
REGION1,FIBMCSPN2,2051,2921.1663886800648
REGION1,FIBMCSPN2,2052,3497.6015929506543
REGION1,FIBMCSPN2,2053,3277.7835798940805
REGION1,FIBMCSPN2,2054,3526.535791278108
REGION1,FIBMCSPN2,2055,3840.0874637780935
REGION1,FIBMCSPN2,2056,4252.013037392582
REGION1,FIBMCSPN2,2057,4823.746507556419
REGION1,FIBMCSPN2,2058,5682.868514466324
REGION1,FIBMCSPN2,2059,7152.867428714228
