REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,0.9887387881303714
REGION1,DKBMCSPN2,2031,10.78661733452934
REGION1,DKBMCSPN2,2032,15.68581171091062
REGION1,DKBMCSPN2,2033,48.45873897604178
REGION1,DKBMCSPN2,2034,4.733619317458105
REGION1,DKBMCSPN2,2035,6.287042338139968
REGION1,DKBMCSPN2,2036,8.222904447152143
REGION1,DKBMCSPN2,2037,10.64581671870955
REGION1,DKBMCSPN2,2038,13.923315040276744
REGION1,DKBMCSPN2,2039,23.27943327654503
REGION1,DKBMCSPN2,2040,33.64907295793529
REGION1,DKBMCSPN2,2041,39.77199659224529
REGION1,DKBMCSPN2,2042,46.669215959325584
REGION1,DKBMCSPN2,2043,54.39961927424058
REGION1,DKBMCSPN2,2044,63.02296854315584
REGION1,DKBMCSPN2,2045,72.59993650898232
REGION1,DKBMCSPN2,2046,83.19237236145122
REGION1,DKBMCSPN2,2047,94.86392129243657
REGION1,DKBMCSPN2,2048,107.68119257090976
REGION1,DKBMCSPN2,2049,121.7157910069789
REGION1,DKBMCSPN2,2050,113.79475323332704
REGION1,DKBMCSPN2,2051,118.80218451806438
REGION1,DKBMCSPN2,2052,187.66249609927385
REGION1,DKBMCSPN2,2053,129.05662301023816
REGION1,DKBMCSPN2,2054,142.46058581346773
REGION1,DKBMCSPN2,2055,156.09882600680922
REGION1,DKBMCSPN2,2056,180.01931121979405
REGION1,DKBMCSPN2,2057,208.16696759142025
REGION1,DKBMCSPN2,2058,253.84073519690563
REGION1,DKBMCSPN2,2059,330.76753017560736
REGION1,DKBMCSPN2,2060,499.9395254710806
REGION1,DKBMSTPH3,2035,0.39595990345453846
REGION1,DKBMSTPH3,2036,3.467914371838961
REGION1,DKBMSTPH3,2037,1.9581586935822817
REGION1,DKGOCVPH2,2022,0.6296126202531352
REGION1,DKGOCVPH2,2023,0.08442606324355424
REGION1,DKGOCVPH2,2024,0.12347239625729846
REGION1,DKGOCVPH2,2025,0.1605415960860327
REGION1,DKGOCVPH2,2026,1.963413038718988
REGION1,DKGOCVPH2,2027,2.298513164611128
REGION1,DKGOCVPH2,2028,2.616496887344942
REGION1,DKGOCVPH2,2029,2.918202191989565
REGION1,DKGOCVPH2,2030,3.2044432038150323
REGION1,DKGOCVPH2,2031,2.6915026981482493
REGION1,DKGOCVPH2,2032,2.8982088462968028
REGION1,DKGOCVPH2,2033,3.0955897357743423
REGION1,DKGOCVPH2,2034,1.8874762806407728
REGION1,DKHFCHPH3,2047,17.175192396935863
REGION1,DKHFCHPH3,2048,93.92654762470377
REGION1,DKHFCHPH3,2049,75.24986136216971
REGION1,DKHYDMPH3,2018,0.37292657599399776
REGION1,DKHYDMPH3,2059,0.007423994636399637
REGION1,DKSOUTPH2,2037,0.8728698752319046
REGION1,DKSOUTPH2,2038,0.9470221073269071
REGION1,DKSOUTPH2,2039,0.6706797079328526
REGION1,DKSOUTPH2,2040,1.7186481128214808
REGION1,DKSOUTPH2,2041,0.6048858686519353
