REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,-0.931951512205402
REGION1,DKBMCSPN2,2031,-9.86763095974264
REGION1,DKBMCSPN2,2032,-21.98358419330285
REGION1,DKBMCSPN2,2033,-55.68852081047381
REGION1,DKBMCSPN2,2034,-60.5773100556736
REGION1,DKBMCSPN2,2035,-65.92697285991183
REGION1,DKBMCSPN2,2036,-71.87953004766213
REGION1,DKBMCSPN2,2037,-78.60676131581886
REGION1,DKBMCSPN2,2038,-87.4007414952654
REGION1,DKBMCSPN2,2039,-119.34388216609442
REGION1,DKBMCSPN2,2040,-147.6834887348764
REGION1,DKBMCSPN2,2041,-155.44648432510294
REGION1,DKBMCSPN2,2042,-162.88316249098267
REGION1,DKBMCSPN2,2043,-169.8953155343861
REGION1,DKBMCSPN2,2044,-176.38147203324536
REGION1,DKBMCSPN2,2045,-182.2379554325719
REGION1,DKBMCSPN2,2046,-187.3600287164901
REGION1,DKBMCSPN2,2047,-191.64311173522367
REGION1,DKBMCSPN2,2048,-194.98405857867328
REGION1,DKBMCSPN2,2049,-197.2824854827045
REGION1,DKBMCSPN2,2050,-173.4420705026442
REGION1,DKBMCSPN2,2051,-164.67061212867034
REGION1,DKBMCSPN2,2052,-207.2456879677229
REGION1,DKBMCSPN2,2053,-149.23099101707712
REGION1,DKBMCSPN2,2054,-144.77280507689656
REGION1,DKBMCSPN2,2055,-138.9327905197129
REGION1,DKBMCSPN2,2056,-135.73209666926203
REGION1,DKBMCSPN2,2057,-131.14697854638175
REGION1,DKBMCSPN2,2058,-127.57426506833905
REGION1,DKBMCSPN2,2059,-124.01982203226612
REGION1,DKBMCSPN2,2060,-120.54746690719692
REGION1,FIBMCSPN2,2030,-8.890979790685604
REGION1,FIBMCSPN2,2031,-75.56816148264221
REGION1,FIBMCSPN2,2032,-140.94632736954338
REGION1,FIBMCSPN2,2033,-153.4891294198344
REGION1,FIBMCSPN2,2034,-166.96364794253898
REGION1,FIBMCSPN2,2035,-181.70842971375407
REGION1,FIBMCSPN2,2036,-198.1149136223322
REGION1,FIBMCSPN2,2037,-216.65656019020307
REGION1,FIBMCSPN2,2038,-240.89459600502056
REGION1,FIBMCSPN2,2039,-328.9365260319843
REGION1,FIBMCSPN2,2040,-407.04636764812
REGION1,FIBMCSPN2,2041,-428.4427958076864
REGION1,FIBMCSPN2,2042,-448.93982537220177
REGION1,FIBMCSPN2,2043,-468.26677552865453
