REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,0.007791725392845128
REGION1,DKBMCSPN2,2031,0.06962009374590855
REGION1,DKBMCSPN2,2032,0.08635678523418355
REGION1,DKBMCSPN2,2033,0.2340186062899267
REGION1,DKBMCSPN2,2034,0.020465841748333036
REGION1,DKBMCSPN2,2035,0.024716933949874835
REGION1,DKBMCSPN2,2036,0.029757407346852328
REGION1,DKBMCSPN2,2037,0.035813777909074127
REGION1,DKBMCSPN2,2038,0.04389694594112664
REGION1,DKBMCSPN2,2039,0.06925104397408455
REGION1,DKBMCSPN2,2040,0.0949909581307795
REGION1,DKBMCSPN2,2041,0.10707278114052704
REGION1,DKBMCSPN2,2042,0.12033039098396849
REGION1,DKBMCSPN2,2043,0.13483418465236582
REGION1,DKBMCSPN2,2044,0.15065530440452693
REGION1,DKBMCSPN2,2045,0.16786601904172407
REGION1,DKBMCSPN2,2046,0.18654051327521967
REGION1,DKBMCSPN2,2047,0.20675629220814415
REGION1,DKBMCSPN2,2048,0.22859652589288648
REGION1,DKBMCSPN2,2049,0.25215386316075206
REGION1,DKBMCSPN2,2050,0.23044677417329587
REGION1,DKBMCSPN2,2051,0.23554647156838915
REGION1,DKBMCSPN2,2052,0.3647949121393701
REGION1,DKBMCSPN2,2053,0.24628273786021548
REGION1,DKBMCSPN2,2054,0.2672069696453431
REGION1,DKBMCSPN2,2055,0.28808968083020114
REGION1,DKBMCSPN2,2056,0.3272357270045021
REGION1,DKBMCSPN2,2057,0.373054386007377
REGION1,DKBMCSPN2,2058,0.44886464377318713
REGION1,DKBMCSPN2,2059,0.5775883629326268
REGION1,DKBMCSPN2,2060,0.8627351006815139
REGION1,DKBMSTPH3,2035,0.008417661082940174
REGION1,DKBMSTPH3,2036,0.06044209265314827
REGION1,DKBMSTPH3,2037,0.02914024626391127
REGION1,DKGOCVPH2,2022,0.032358405308954355
REGION1,DKGOCVPH2,2023,0.002232963509852288
REGION1,DKGOCVPH2,2024,0.0022404097086176026
REGION1,DKGOCVPH2,2025,0.00224789118177497
REGION1,DKGOCVPH2,2026,0.022624668271653273
REGION1,DKGOCVPH2,2027,0.022701435636655536
REGION1,DKGOCVPH2,2028,0.02277829234187462
REGION1,DKGOCVPH2,2029,0.022855481996727305
REGION1,DKGOCVPH2,2030,0.02293326743771431
REGION1,DKGOCVPH2,2031,0.01778540625409058
REGION1,DKGOCVPH2,2032,0.017858214765816366
REGION1,DKGOCVPH2,2033,0.01793141207314988
REGION1,DKGOCVPH2,2034,0.010348147922289311
REGION1,DKHFCHPH3,2022,0.8672563179719862
REGION1,DKHFCHPH3,2023,2.5944722392798387
REGION1,DKHFCHPH3,2024,2.016934508692923
REGION1,DKHFCHPH3,2025,0.11301326178936384
REGION1,DKHFCHPH3,2026,0.08695833172834738
REGION1,DKHFCHPH3,2027,0.3448230643633445
REGION1,DKHFCHPH3,2028,0.09475801092160528
REGION1,DKHFCHPH3,2029,0.041602723249699325
REGION1,DKHFCHPH3,2030,0.11973303932643924
REGION1,DKHFCHPH3,2034,0.01292949196630168
REGION1,DKHFCHPH3,2035,0.06762590496718485
REGION1,DKHFCHPH3,2047,0.4805243545942615
REGION1,DKHFCHPH3,2048,2.462763213386951
REGION1,DKHFCHPH3,2049,1.8616681455321695
REGION1,DKHYDMPH3,2018,0.001875553438118412
REGION1,DKHYDMPH3,2059,3.299999999999932e-05
REGION1,DKSOUTPH2,2028,0.6145423525658612
REGION1,DKSOUTPH2,2029,0.9746021469882845
REGION1,DKSOUTPH2,2030,0.9746021469882854
REGION1,DKSOUTPH2,2031,0.12416728139060378
REGION1,DKSOUTPH2,2032,0.12264929772263768
REGION1,DKSOUTPH2,2033,0.12134529772263351
REGION1,DKSOUTPH2,2034,0.12334529772263708
REGION1,DKSOUTPH2,2035,0.12616728139060412
REGION1,DKSOUTPH2,2036,0.1115914120468606
REGION1,DKSOUTPH2,2037,0.4835914120468606
REGION1,DKSOUTPH2,2038,0.2764133957148267
REGION1,DKSOUTPH2,2039,0.13759141204685957
REGION1,DKSOUTPH2,2040,0.27659141204685805
REGION1,DKSOUTPH2,2041,0.08183752637108009
REGION1,DKSOUTPH2,2042,0.08183752637108048
REGION1,DKSOUTPH2,2043,0.08183752637108006
REGION1,DKSOUTPH2,2044,0.08183752637108113
REGION1,DKSOUTPH2,2045,0.0818375263710816
REGION1,DKSOUTPH2,2046,0.031041820347650777
REGION1,DKSOUTPH2,2047,0.028219836679682225
REGION1,DKSOUTPH2,2048,0.031041820347652183
REGION1,DKSOUTPH2,2049,0.03104182034765064
REGION1,DKSOUTPH2,2050,0.02821983667968082
REGION1,DKSOUTPH2,2051,0.02539785301171588
REGION1,DKSOUTPH2,2052,0.02539785301171059
REGION1,DKSOUTPH2,2053,0.6399402055775752
REGION1,DKSOUTPH2,2054,1.0
REGION1,DKSOUTPH2,2055,1.0
REGION1,DKSOUTPH2,2056,0.14956513440232377
REGION1,DKSOUTPH2,2057,0.15086913440232
REGION1,DKSOUTPH2,2058,0.14674315073434974
REGION1,DKSOUTPH2,2059,0.14874315073435168
REGION1,DKSOUTPH2,2060,0.15156513440231714
REGION1,DKWIONPH3,2037,0.6502453216285486
REGION1,DKWIONPH3,2038,1.575492131085048
REGION1,DKWIONPH3,2039,0.43804766511089993
REGION1,DKWIONPH3,2040,3.165213454457789
REGION1,DKWIONPH3,2041,3.3932683917589195
REGION1,DKWSSTPH1,2023,0.417591297210309
REGION1,DKWSSTPH1,2024,0.09117858159845936
REGION1,DKWSSTPH1,2025,0.015199347028860884
REGION1,DKWSSTPH1,2028,0.015634696736519155
REGION1,DKWSSTPH1,2029,0.01720879475357285
REGION1,DKWSSTPH1,2030,0.007344967843002555
REGION1,DKWSSTPH1,2038,0.01211115725020793
REGION1,DKWSSTPH1,2053,0.36204557027169865
REGION1,DKWSSTPH1,2054,0.08440836515958636
REGION1,DKWSSTPH1,2055,0.000910110654824552
REGION1,DKWSSTPH1,2058,0.0007567458895371894
REGION1,DKWSSTPH1,2059,0.009935933209144094
REGION1,DKWSSTPH1,2060,0.0001822750888324944
REGION1,FIBMCSPN2,2030,0.07433441771924441
REGION1,FIBMCSPN2,2031,0.5184997562793953
REGION1,FIBMCSPN2,2032,0.45715763451787966
REGION1,FIBMCSPN2,2033,0.046392361333865886
REGION1,FIBMCSPN2,2034,0.056408110452180006
REGION1,FIBMCSPN2,2035,0.06812500347792155
REGION1,FIBMCSPN2,2036,0.08201759502652654
REGION1,FIBMCSPN2,2037,0.0987102101563674
REGION1,FIBMCSPN2,2038,0.12098910006289557
REGION1,FIBMCSPN2,2039,0.19087026008774435
REGION1,FIBMCSPN2,2040,0.2618148094805759
REGION1,FIBMCSPN2,2041,0.29511482299470443
