REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00I00,DKBM,2048,0.6027998562340973
REGION1,S01B1,DKBM00I00,DKBM,2049,4.766090985962206
REGION1,S01B1,DKBM00I00,DKBM,2050,1.5618974811527553
REGION1,S01B1,DKBM00I00,DKBM,2053,1.2829363629980586
REGION1,S01B1,DKBM00I00,DKBM,2054,4.017633886106428
REGION1,S01B1,DKBM00I00,DKBM,2055,2.337958167492693
REGION1,S01B1,DKBM00I00,DKBM,2057,4.332026703515717
REGION1,S01B1,DKBM00I00,DKBM,2058,2.7300095302813148
REGION1,S01B1,DKBM00I00,DKBM,2059,2.1037625014649834
REGION1,S01B1,DKBM00I00,DKBM,2060,2.246244375905896
REGION1,S01B1,DKBM00X00,DKBM,2015,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2016,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2017,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2018,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2020,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2021,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2022,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2024,1.44205502809439
REGION1,S01B1,DKBM00X00,DKBM,2026,1.44205502809439
REGION1,S01B1,DKBM00X00,DKBM,2030,0.03168027647321635
REGION1,S01B1,DKBM00X00,DKBM,2031,0.31384773533295557
REGION1,S01B1,DKBM00X00,DKBM,2032,0.6620589924906959
REGION1,S01B1,DKBM00X00,DKBM,2033,2.737865725251596
REGION1,S01B1,DKBM00X00,DKBM,2034,1.5572560284897468
REGION1,S01B1,DKBM00X00,DKBM,2035,3.026759426652824
REGION1,S01B1,DKBM00X00,DKBM,2036,3.3792604960570105
REGION1,S01B1,DKBM00X00,DKBM,2037,3.6315622741067357
REGION1,S01B1,DKBM00X00,DKBM,2038,2.1948081574985263
REGION1,S01B1,DKBM00X00,DKBM,2039,3.2875069022798127
REGION1,S01B1,DKBM00X00,DKBM,2040,0.03344452373465114
REGION1,S01B1,DKBM00X00,DKBM,2041,4.711561168394574
REGION1,S01B1,DKBM00X00,DKBM,2042,1.5719057038022177
REGION1,S01B1,DKBM00X00,DKBM,2043,1.303212736652686
REGION1,S01B1,DKBM00X00,DKBM,2044,2.9973764032332544
REGION1,S01B1,DKBM00X00,DKBM,2045,3.6047444779803355
REGION1,S01B1,DKBM00X00,DKBM,2051,3.7421754112354626
REGION1,S01B1,DKBM00X00,DKBM,2052,3.8299637913915876
REGION1,S01B1,DKBM00X00,DKBM,2056,2.450509247219511
REGION1,S01B1,DKBMCSPN2,DKE1,2030,0.01077128107535627
REGION1,S01B1,DKBMCSPN2,DKE1,2031,0.10701409770727184
REGION1,S01B1,DKBMCSPN2,DKE1,2032,0.22639371642121067
REGION1,S01B1,DKBMCSPN2,DKE1,2033,0.5211604290111294
REGION1,S01B1,DKBMCSPN2,DKE1,2034,0.1166195983648604
REGION1,S01B1,DKBMCSPN2,DKE1,2035,0.612361703021927
REGION1,S01B1,DKBMCSPN2,DKE1,2036,0.6534983425268494
REGION1,S01B1,DKBMCSPN2,DKE1,2037,0.7030073086132637
REGION1,S01B1,DKBMCSPN2,DKE1,2038,0.7636904460754455
