REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DKBM00I00,DKBM,2041,1.2812792847134589
REGION1,DKBM00I00,DKBM,2045,14.80078016059645
REGION1,DKBM00I00,DKBM,2046,21.26311829694107
REGION1,DKBM00I00,DKBM,2047,34.17641771341196
REGION1,DKBM00I00,DKBM,2048,48.40616237149611
REGION1,DKBM00I00,DKBM,2049,63.06846957453149
REGION1,DKBM00I00,DKBM,2050,57.53058658468376
REGION1,DKBM00I00,DKBM,2051,54.98030427091565
REGION1,DKBM00I00,DKBM,2052,102.87672300624551
REGION1,DKBM00I00,DKBM,2053,51.3017553561825
REGION1,DKBM00I00,DKBM,2054,52.59597010639957
REGION1,DKBM00I00,DKBM,2055,52.31427239418892
REGION1,DKBM00I00,DKBM,2056,55.48361200634299
REGION1,DKBM00I00,DKBM,2057,57.00120160644906
REGION1,DKBM00I00,DKBM,2058,59.71643090020201
REGION1,DKBM00I00,DKBM,2059,62.43512399246224
REGION1,DKBM00I00,DKBM,2060,65.22983303191481
REGION1,DKBM00X00,DKBM,2015,32.155583132263565
REGION1,DKBM00X00,DKBM,2016,32.155583132263565
REGION1,DKBM00X00,DKBM,2017,32.155583132263565
REGION1,DKBM00X00,DKBM,2018,32.15559135639825
REGION1,DKBM00X00,DKBM,2019,32.15558019855547
REGION1,DKBM00X00,DKBM,2020,32.15558973486188
REGION1,DKBM00X00,DKBM,2021,32.155580841651265
REGION1,DKBM00X00,DKBM,2022,32.155584352400595
REGION1,DKBM00X00,DKBM,2023,23.027815130680544
REGION1,DKBM00X00,DKBM,2024,23.027815238042255
REGION1,DKBM00X00,DKBM,2025,23.02781967483157
REGION1,DKBM00X00,DKBM,2026,23.02781400205753
REGION1,DKBM00X00,DKBM,2027,23.027816324911516
REGION1,DKBM00X00,DKBM,2028,23.02782122268577
REGION1,DKBM00X00,DKBM,2029,23.027820262439615
REGION1,DKBM00X00,DKBM,2030,20.06707519228948
REGION1,DKBM00X00,DKBM,2031,25.53847844230433
REGION1,DKBM00X00,DKBM,2032,32.29051224458262
REGION1,DKBM00X00,DKBM,2033,50.54554076509071
REGION1,DKBM00X00,DKBM,2034,52.05094834250219
REGION1,DKBM00X00,DKBM,2035,54.408533275566626
REGION1,DKBM00X00,DKBM,2036,60.42685293479539
REGION1,DKBM00X00,DKBM,2037,64.92529643333012
REGION1,DKBM00X00,DKBM,2038,68.19252160640924
REGION1,DKBM00X00,DKBM,2039,73.38749502685904
REGION1,DKBM00X00,DKBM,2040,80.52244905247402
REGION1,DKBM00X00,DKBM,2041,86.94367272436789
REGION1,DKBM00X00,DKBM,2042,88.7531747708251
REGION1,DKBM00X00,DKBM,2043,90.56276085022293
REGION1,DKBM00X00,DKBM,2044,91.19612082857476
REGION1,DKBM00X00,DKBM,2045,94.18176120810233
REGION1,DKBM00X00,DKBM,2046,95.27086481705264
REGION1,DKBM00X00,DKBM,2047,96.3599545897946
REGION1,DKBM00X00,DKBM,2048,97.44916407247001
REGION1,DKBM00X00,DKBM,2049,98.53825412648762
REGION1,DKBM00X00,DKBM,2050,99.6273637824914
REGION1,DKBM00X00,DKBM,2051,100.62394934632312
REGION1,DKBM00X00,DKBM,2052,101.62995271349821
REGION1,DKBM00X00,DKBM,2053,102.64596712930363
REGION1,DKBM00X00,DKBM,2054,103.6729512991345
REGION1,DKBM00X00,DKBM,2055,104.70896037729447
REGION1,DKBM00X00,DKBM,2056,105.23294347401469
REGION1,DKBM00X00,DKBM,2057,105.75897719840046
REGION1,DKBM00X00,DKBM,2058,106.28795595897259
REGION1,DKBM00X00,DKBM,2059,106.81893864444058
REGION1,DKBM00X00,DKBM,2060,107.35293701808742
REGION1,DKBMCSPN2,DKE1,2030,0.20886184407766703
REGION1,DKBMCSPN2,DKE1,2031,2.075070148428633
REGION1,DKBMCSPN2,DKE1,2032,4.389915711750756
REGION1,DKBMCSPN2,DKE1,2033,10.662924348995084
REGION1,DKBMCSPN2,DKE1,2034,11.211523289099418
REGION1,DKBMCSPN2,DKE1,2035,11.874075087005828
REGION1,DKBMCSPN2,DKE1,2036,12.671739729805596
REGION1,DKBMCSPN2,DKE1,2037,13.631749822784764
REGION1,DKBMCSPN2,DKE1,2038,14.808435547222494
REGION1,DKBMCSPN2,DKE1,2039,16.664750766046275
REGION1,DKBMCSPN2,DKE1,2040,19.21103864291998
REGION1,DKBMCSPN2,DKE1,2041,22.081190192408588
REGION1,DKBMCSPN2,DKE1,2042,25.306718430313484
REGION1,DKBMCSPN2,DKE1,2043,28.92102946683599
REGION1,DKBMCSPN2,DKE1,2044,32.95943533914055
REGION1,DKBMCSPN2,DKE1,2045,37.459186287513624
REGION1,DKBMCSPN2,DKE1,2046,42.459513587523126
REGION1,DKBMCSPN2,DKE1,2047,48.001738731771155
REGION1,DKBMCSPN2,DKE1,2048,54.12940886411682
REGION1,DKBMCSPN2,DKE1,2049,60.88854532956781
REGION1,DKBMCSPN2,DKE1,2050,59.71999725152766
REGION1,DKBMCSPN2,DKE1,2051,59.53477432776088
REGION1,DKBMCSPN2,DKE1,2052,78.67366142567553
REGION1,DKBMCSPN2,DKE1,2053,59.48291120338709
REGION1,DKBMCSPN2,DKE1,2054,60.591190392480264
REGION1,DKBMCSPN2,DKE1,2055,61.05434695958699
REGION1,DKBMCSPN2,DKE1,2056,62.63017921233523
REGION1,DKBMCSPN2,DKE1,2057,63.54021963625236
REGION1,DKBMCSPN2,DKE1,2058,64.89971572297726
REGION1,DKBMCSPN2,DKE1,2059,66.24606648201822
REGION1,DKBMCSPN2,DKE1,2060,67.61084625811519
REGION1,DKBMSTPH3,DKE1,2015,11.254465350757599
REGION1,DKBMSTPH3,DKE1,2016,11.254465350757599
REGION1,DKBMSTPH3,DKE1,2017,11.254465350757599
REGION1,DKBMSTPH3,DKE1,2018,11.254468229207614
REGION1,DKBMSTPH3,DKE1,2019,11.254464323958736
REGION1,DKBMSTPH3,DKE1,2020,11.254467661669318
REGION1,DKBMSTPH3,DKE1,2021,11.254464549042492
REGION1,DKBMSTPH3,DKE1,2022,11.254465777805988
REGION1,DKBMSTPH3,DKE1,2023,8.059743355481546
REGION1,DKBMSTPH3,DKE1,2024,8.059743393058183
REGION1,DKBMSTPH3,DKE1,2025,8.059744945935996
REGION1,DKBMSTPH3,DKE1,2026,8.059742960463096
REGION1,DKBMSTPH3,DKE1,2027,8.059743773462804
REGION1,DKBMSTPH3,DKE1,2028,8.059745487685506
REGION1,DKBMSTPH3,DKE1,2029,8.059745151599017
REGION1,DKBMSTPH3,DKE1,2030,6.808478028281823
REGION1,DKBMSTPH3,DKE1,2031,6.8084780455620955
REGION1,DKBMSTPH3,DKE1,2032,6.808477860591384
REGION1,DKBMSTPH3,DKE1,2033,6.8084774463804845
REGION1,DKBMSTPH3,DKE1,2034,6.8084768992938045
REGION1,DKBMSTPH3,DKE1,2035,6.994298405511389
REGION1,DKBMSTPH3,DKE1,2036,8.328571436283339
REGION1,DKBMSTPH3,DKE1,2037,8.971846787916045
REGION1,DKBMSTPH3,DKE1,2038,8.97184536475957
REGION1,DKBMSTPH3,DKE1,2039,8.971845436070737
REGION1,DKBMSTPH3,DKE1,2040,8.971846708331277
REGION1,DKBMSTPH3,DKE1,2041,8.971849857403518
REGION1,DKBMSTPH3,DKE1,2042,6.156479326610061
REGION1,DKBMSTPH3,DKE1,2043,3.460949335128118
REGION1,DKBMSTPH3,DKE1,2045,2.163369274413542
REGION1,DKBMSTPH3,DKE1,2046,0.338687999703647
REGION1,DKBMSTPH3,DKE1,2047,0.338687999703647
REGION1,DKBMSTPH3,DKE1,2048,0.338687999703647
REGION1,DKCO00I00,DKCO,2015,77.79535946630344
REGION1,DKCO00I00,DKCO,2016,78.668930609776
REGION1,DKCO00I00,DKCO,2017,86.1902665797659
REGION1,DKCO00I00,DKCO,2020,23.210281659815664
REGION1,DKCO00I00,DKCO,2021,63.669002761438755
REGION1,DKCO00I00,DKCO,2022,28.341633135719984
REGION1,DKCO00I00,DKCO,2023,28.561474852492708
REGION1,DKCOCHPH3,DKE1,2015,26.02609624583066
REGION1,DKCOCHPH3,DKE1,2016,26.668995890577342
REGION1,DKCOCHPH3,DKE1,2017,29.969036715540092
REGION1,DKCOCHPH3,DKE1,2020,5.366095763928244
REGION1,DKCOCHPH3,DKE1,2021,25.47277036707402
REGION1,DKCOCHPH3,DKE1,2022,11.675667948850826
REGION1,DKCOCHPH3,DKE1,2023,11.79446434278688
REGION1,DKCOSTPH1,DKE1,2015,4.314124286248211
REGION1,DKCOSTPH1,DKE1,2016,4.314124286248211
REGION1,DKCOSTPH1,DKE1,2017,4.314124286248211
REGION1,DKCOSTPH1,DKE1,2020,4.1501368458148775
REGION1,DKCOSTPH1,DKE1,2021,0.6937919501183236
REGION1,DKEL00TD0,DKE2,2015,114.42961498916907
REGION1,DKEL00TD0,DKE2,2016,113.89961529525895
REGION1,DKEL00TD0,DKE2,2017,113.37961559557353
REGION1,DKEL00TD0,DKE2,2018,112.85961589588811
REGION1,DKEL00TD0,DKE2,2019,112.3396161962027
REGION1,DKEL00TD0,DKE2,2020,111.82961649074201
REGION1,DKEL00TD0,DKE2,2021,114.44961497761852
REGION1,DKEL00TD0,DKE2,2022,117.08961345294448
REGION1,DKEL00TD0,DKE2,2023,119.7396296405116
REGION1,DKEL00TD0,DKE2,2024,122.39984072048452
REGION1,DKEL00TD0,DKE2,2025,125.07992776279166
REGION1,DKEL00TD0,DKE2,2026,127.28992648645468
REGION1,DKEL00TD0,DKE2,2027,129.49992521011768
REGION1,DKEL00TD0,DKE2,2028,131.7099239337807
REGION1,DKEL00TD0,DKE2,2029,133.92992265166845
REGION1,DKEL00TD0,DKE2,2030,136.14992136955618
REGION1,DKEL00TD0,DKE2,2031,141.60991821625302
REGION1,DKEL00TD0,DKE2,2032,147.09991504562404
REGION1,DKEL00TD0,DKE2,2033,152.6299118518939
REGION1,DKEL00TD0,DKE2,2034,158.18990864083796
REGION1,DKEL00TD0,DKE2,2035,163.7899054066809
REGION1,DKEL00TD0,DKE2,2036,169.1799022938047
REGION1,DKEL00TD0,DKE2,2037,174.58989916937796
REGION1,DKEL00TD0,DKE2,2038,180.01989603340067
REGION1,DKEL00TD0,DKE2,2039,185.4798928800975
REGION1,DKEL00TD0,DKE2,2040,190.94988972101908
REGION1,DKEL00TD0,DKE2,2041,195.54988706439008
REGION1,DKEL00TD0,DKE2,2042,200.15988440198578
REGION1,DKEL00TD0,DKE2,2043,204.7998817222556
REGION1,DKEL00TD0,DKE2,2044,209.4598790309749
REGION1,DKEL00TD0,DKE2,2045,214.1298763339189
REGION1,DKEL00TD0,DKE2,2046,218.80987363108764
REGION1,DKEL00TD0,DKE2,2047,223.4998709224811
REGION1,DKEL00TD0,DKE2,2048,228.20986820232397
REGION1,DKEL00TD0,DKE2,2049,232.9298654763916
REGION1,DKEL00TD0,DKE2,2050,237.67986273313338
REGION1,DKEL00TD0,DKE2,2051,238.74986211517833
REGION1,DKEL00TD0,DKE2,2052,239.81986149722334
REGION1,DKEL00TD0,DKE2,2053,240.89986087349303
REGION1,DKEL00TD0,DKE2,2054,241.98986024398747
REGION1,DKEL00TD0,DKE2,2055,243.06985962025715
REGION1,DKEL00TD0,DKE2,2056,244.24985893877408
REGION1,DKEL00TD0,DKE2,2057,245.4198582630663
REGION1,DKEL00TD0,DKE2,2058,246.6098575758079
REGION1,DKEL00TD0,DKE2,2059,247.7898568943248
REGION1,DKEL00TD0,DKE2,2060,248.98985620129113
REGION1,DKELNOPH1,DKE1,2015,18.412626650692925
REGION1,DKELNOPH1,DKE1,2016,17.207991201262967
REGION1,DKELNOPH1,DKE1,2017,13.834712594449014
REGION1,DKELNOPH1,DKE1,2018,11.876484868563859
REGION1,DKELNOPH1,DKE1,2019,9.017192615949066
REGION1,DKELNOPH1,DKE1,2020,10.312954548372092
REGION1,DKELNOPH1,DKE1,2021,6.9214785531564225
REGION1,DKELNOPH1,DKE1,2022,13.847571455515869
REGION1,DKELNOPH1,DKE1,2023,28.286519049309675
REGION1,DKELNOPH1,DKE1,2024,49.697359165962986
REGION1,DKELNOPH1,DKE1,2025,60.2479028003603
REGION1,DKELNOPH1,DKE1,2026,63.12999097603631
REGION1,DKELNOPH1,DKE1,2027,68.81100443761228
REGION1,DKELNOPH1,DKE1,2028,71.81849918793462
REGION1,DKELNOPH1,DKE1,2029,70.22335843107034
REGION1,DKELNOPH1,DKE1,2030,69.94314565385007
REGION1,DKELNOPH1,DKE1,2031,72.08660076587618
REGION1,DKELNOPH1,DKE1,2032,73.75601334626943
REGION1,DKELNOPH1,DKE1,2033,83.83726211677751
REGION1,DKELNOPH1,DKE1,2034,83.88575999999999
REGION1,DKELNOPH1,DKE1,2035,83.88575999999999
REGION1,DKELNOPH1,DKE1,2036,83.88575999999999
REGION1,DKELNOPH1,DKE1,2037,83.88575999999999
REGION1,DKELNOPH1,DKE1,2038,83.88575999999999
REGION1,DKELNOPH1,DKE1,2039,83.88575999999999
REGION1,DKELNOPH1,DKE1,2040,82.86614805611963
REGION1,DKELNOPH1,DKE1,2041,75.58142838355768
REGION1,DKELNOPH1,DKE1,2042,69.23077898546804
REGION1,DKELNOPH1,DKE1,2043,72.04575220564348
REGION1,DKELNOPH1,DKE1,2044,73.65034862388353
REGION1,DKELNOPH1,DKE1,2045,73.38965253949604
REGION1,DKELNOPH1,DKE1,2046,72.79177957574426
REGION1,DKELNOPH1,DKE1,2047,72.20464849506901
REGION1,DKELNOPH1,DKE1,2048,72.58549603947186
REGION1,DKELNOPH1,DKE1,2049,73.82457261793247
REGION1,DKELNOPH1,DKE1,2050,77.42729210418096
REGION1,DKELNOPH1,DKE1,2051,79.27754919185904
REGION1,DKELNOPH1,DKE1,2052,79.61726724657547
REGION1,DKELNOPH1,DKE1,2053,82.78734173235401
REGION1,DKELNOPH1,DKE1,2054,82.92054041989793
REGION1,DKELNOPH1,DKE1,2055,83.8541339822541
REGION1,DKELNOPH1,DKE1,2056,83.46469971998343
REGION1,DKELNOPH1,DKE1,2057,83.88575999999999
REGION1,DKELNOPH1,DKE1,2058,83.88575999999999
REGION1,DKELNOPH1,DKE1,2059,83.88575999999998
REGION1,DKELNOPH1,DKE1,2060,83.88575999999999
REGION1,DKELNOPH1,NOE1,2021,0.16047114548042213
REGION1,DKELSEPH1,DKE1,2018,36.05220987721248
REGION1,DKELSEPH1,DKE1,2019,38.78029613404115
REGION1,DKELSEPH1,DKE1,2020,27.869622424215454
REGION1,DKELSEPH1,DKE1,2021,20.71023086644712
REGION1,DKELSEPH1,DKE1,2022,29.93684095841011
REGION1,DKELSEPH1,DKE1,2023,13.88092233833025
REGION1,DKELSEPH1,DKE1,2024,8.81224455198585
REGION1,DKELSEPH1,DKE1,2025,2.0640678866674347
REGION1,DKELSEPH1,DKE1,2026,2.0857050293559443
REGION1,DKELSEPH1,DKE1,2027,0.5943648521879472
REGION1,DKELSEPH1,DKE1,2028,0.583678776512009
REGION1,DKELSEPH1,DKE1,2029,0.5192785562469899
REGION1,DKELSEPH1,DKE1,2030,1.1093823402362366
REGION1,DKELSEPH1,DKE1,2031,1.8741845476733157
REGION1,DKELSEPH1,DKE1,2032,2.7259028205283524
REGION1,DKELSEPH1,DKE1,2033,8.828038801546132
REGION1,DKELSEPH1,DKE1,2034,16.5249460216391
REGION1,DKELSEPH1,DKE1,2035,24.089504680891825
REGION1,DKELSEPH1,DKE1,2036,28.312221619940907
REGION1,DKELSEPH1,DKE1,2037,28.778479281126003
REGION1,DKELSEPH1,DKE1,2038,26.800661999415627
REGION1,DKELSEPH1,DKE1,2039,27.645212869693943
REGION1,DKELSEPH1,DKE1,2040,7.08582586879085
REGION1,DKELSEPH1,DKE1,2041,0.24655084897990137
REGION1,DKELSEPH1,DKE1,2042,0.39915333351142857
REGION1,DKELSEPH1,DKE1,2043,1.8879239705458741
