REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,S04B2,DKBM00I00,1,2041,18.250417246116346
REGION1,S02B3,DKBM00I00,1,2045,129.77300093808054
REGION1,S03B2,DKBM00I00,1,2045,7.195032590210387
REGION1,S04B2,DKBM00I00,1,2045,129.77300093808054
REGION1,S04B3,DKBM00I00,1,2045,38.70864832780544
REGION1,S05B3,DKBM00I00,1,2045,120.1084796842805
REGION1,S02B1,DKBM00I00,1,2046,103.61442839410738
REGION1,S02B3,DKBM00I00,1,2046,135.9603650749225
REGION1,S03B2,DKBM00I00,1,2046,17.415612072074598
REGION1,S04B1,DKBM00I00,1,2046,12.833917601438763
REGION1,S04B2,DKBM00I00,1,2046,135.96036507492246
REGION1,S04B3,DKBM00I00,1,2046,50.539893870030475
REGION1,S05B1,DKBM00I00,1,2046,38.41399462112256
REGION1,S02B1,DKBM00I00,1,2047,152.43376825897673
REGION1,S02B3,DKBM00I00,1,2047,152.43376825897673
REGION1,S03B2,DKBM00I00,1,2047,27.347840771441376
REGION1,S03B3,DKBM00I00,1,2047,112.02799085619668
REGION1,S04B2,DKBM00I00,1,2047,152.43376825897676
REGION1,S05B1,DKBM00I00,1,2047,27.808559843458355
REGION1,S05B3,DKBM00I00,1,2047,102.21964195231628
REGION1,S01B1,DKBM00I00,1,2048,13.751371857854096
REGION1,S01B2,DKBM00I00,1,2048,179.2861285668291
REGION1,S01B3,DKBM00I00,1,2048,170.4560573969091
REGION1,S02B1,DKBM00I00,1,2048,105.2562134546464
REGION1,S03B2,DKBM00I00,1,2048,59.17264312909544
REGION1,S04B1,DKBM00I00,1,2048,32.81782152453656
REGION1,S05B1,DKBM00I00,1,2048,38.406862844085616
REGION1,S01B1,DKBM00I00,1,2049,108.7264517045276
REGION1,S02B1,DKBM00I00,1,2049,190.12555617914185
REGION1,S02B2,DKBM00I00,1,2049,173.58564634047025
REGION1,S03B2,DKBM00I00,1,2049,35.342671321395336
REGION1,S03B3,DKBM00I00,1,2049,190.12555617914185
REGION1,S04B1,DKBM00I00,1,2049,51.951583246500064
REGION1,S04B3,DKBM00I00,1,2049,66.87395908959182
REGION1,S05B2,DKBM00I00,1,2049,190.12555617914185
REGION1,S05B3,DKBM00I00,1,2049,190.12555617914185
REGION1,S01B1,DKBM00I00,1,2050,35.63078664510518
REGION1,S01B2,DKBM00I00,1,2050,207.63416671272827
REGION1,S01B3,DKBM00I00,1,2050,207.63416671272827
