REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00I00,DKBM,2048,13.751371857854096
REGION1,S01B1,DKBM00I00,DKBM,2049,108.7264517045276
REGION1,S01B1,DKBM00I00,DKBM,2050,35.63078664510518
REGION1,S01B1,DKBM00I00,DKBM,2053,29.266986073563142
REGION1,S01B1,DKBM00I00,DKBM,2054,91.65227394332585
REGION1,S01B1,DKBM00I00,DKBM,2055,53.3346712292739
REGION1,S01B1,DKBM00I00,DKBM,2057,98.82436016219613
REGION1,S01B1,DKBM00I00,DKBM,2058,62.27834303232607
REGION1,S01B1,DKBM00I00,DKBM,2059,47.99208254459087
REGION1,S01B1,DKBM00I00,DKBM,2060,51.24245033777788
REGION1,S01B1,DKBM00X00,DKBM,2015,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2016,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2017,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2018,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2020,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2021,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2022,45.93655310340096
REGION1,S01B1,DKBM00X00,DKBM,2024,32.89688065737216
REGION1,S01B1,DKBM00X00,DKBM,2026,32.89688065737216
REGION1,S01B1,DKBM00X00,DKBM,2030,0.7227063142723128
REGION1,S01B1,DKBM00X00,DKBM,2031,7.159651533879582
REGION1,S01B1,DKBM00X00,DKBM,2032,15.103220917226244
REGION1,S01B1,DKBM00X00,DKBM,2033,62.4575624818778
REGION1,S01B1,DKBM00X00,DKBM,2034,35.524903505171466
REGION1,S01B1,DKBM00X00,DKBM,2035,69.0479501109972
REGION1,S01B1,DKBM00X00,DKBM,2036,77.08938083719454
REGION1,S01B1,DKBM00X00,DKBM,2037,82.84501520651025
REGION1,S01B1,DKBM00X00,DKBM,2038,50.06906159362586
REGION1,S01B1,DKBM00X00,DKBM,2039,74.99625195822092
REGION1,S01B1,DKBM00X00,DKBM,2040,0.7629532053262631
REGION1,S01B1,DKBM00X00,DKBM,2041,107.48249022882638
REGION1,S01B1,DKBM00X00,DKBM,2042,35.85909922657917
REGION1,S01B1,DKBM00X00,DKBM,2043,29.72954085218488
REGION1,S01B1,DKBM00X00,DKBM,2044,68.37764988253528
REGION1,S01B1,DKBM00X00,DKBM,2045,82.23323422625894
REGION1,S01B1,DKBM00X00,DKBM,2051,85.36837742249297
REGION1,S01B1,DKBM00X00,DKBM,2052,87.37104986483129
REGION1,S01B1,DKBM00X00,DKBM,2056,55.90224276121765
REGION1,S01B1,DKBMCSPN2,DKE1,2030,0.245719851988764
REGION1,S01B1,DKBMCSPN2,DKE1,2031,2.441259128359736
