REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2030,0.7227054471269552
REGION1,S01B1,DKBMCSPN2,DKBM,2031,7.159659123754213
REGION1,S01B1,DKBMCSPN2,DKBM,2032,15.103219615745354
REGION1,S01B1,DKBMCSPN2,DKBM,2033,34.66784391100963
REGION1,S01B1,DKBMCSPN2,DKBM,2034,7.735235936824051
REGION1,S01B1,DKBMCSPN2,DKBM,2035,40.499815245656
REGION1,S01B1,DKBMCSPN2,DKBM,2036,43.09519575724787
REGION1,S01B1,DKBMCSPN2,DKBM,2037,46.22531558643866
REGION1,S01B1,DKBMCSPN2,DKBM,2038,50.06905427651672
REGION1,S01B1,DKBMCSPN2,DKBM,2039,38.37645452234764
REGION1,S01B1,DKBMCSPN2,DKBM,2040,0.7629539682420837
REGION1,S01B1,DKBMCSPN2,DKBM,2041,70.86265509539722
REGION1,S01B1,DKBMCSPN2,DKBM,2043,29.729580115424316
REGION1,S01B1,DKBMCSPN2,DKBM,2044,68.37758298566143
REGION1,S01B1,DKBMCSPN2,DKBM,2045,82.23326125419163
REGION1,S01B1,DKBMCSPN2,DKBM,2048,13.751380740512133
REGION1,S01B1,DKBMCSPN2,DKBM,2049,108.7262607263886
REGION1,S01B1,DKBMCSPN2,DKBM,2050,35.630772387807916
REGION1,S01B1,DKBMCSPN2,DKBM,2051,85.36844062397225
REGION1,S01B1,DKBMCSPN2,DKBM,2052,87.37118760524453
REGION1,S01B1,DKBMCSPN2,DKBM,2053,29.266982590609746
REGION1,S01B1,DKBMCSPN2,DKBM,2054,91.65219437610146
REGION1,S01B1,DKBMCSPN2,DKBM,2055,53.33477315547093
REGION1,S01B1,DKBMCSPN2,DKBM,2056,55.90218015189085
REGION1,S01B1,DKBMCSPN2,DKBM,2057,98.82428855733009
REGION1,S01B1,DKBMCSPN2,DKBM,2058,62.278412861905416
REGION1,S01B1,DKBMCSPN2,DKBM,2059,47.992165626703155
REGION1,S01B1,DKBMCSPN2,DKBM,2060,51.24253228265828
REGION1,S01B1,DKBMSTPH3,DKBM,2015,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2016,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2017,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2018,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2020,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2021,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2022,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2024,32.89691355264087
REGION1,S01B1,DKBMSTPH3,DKBM,2026,32.89691355264087
REGION1,S01B1,DKBMSTPH3,DKBM,2033,27.789703404324797
REGION1,S01B1,DKBMSTPH3,DKBM,2034,27.789703404324797
REGION1,S01B1,DKBMSTPH3,DKBM,2035,28.54815871832002
REGION1,S01B1,DKBMSTPH3,DKBM,2036,33.994163957789674
REGION1,S01B1,DKBMSTPH3,DKBM,2037,36.61978340388326
REGION1,S01B1,DKBMSTPH3,DKBM,2039,36.61978340388326
REGION1,S01B1,DKBMSTPH3,DKBM,2041,36.61978340388326
REGION1,S01B1,DKBMSTPH3,DKBM,2042,35.85913508392131
REGION1,S01B1,DKCOCHPH3,DKCO,2015,50.82481834434689
REGION1,S01B1,DKCOCHPH3,DKCO,2016,30.44122263727952
REGION1,S01B1,DKCOCHPH3,DKCO,2017,27.054799356565955
REGION1,S01B1,DKCOCHPH3,DKCO,2021,44.46029230112638
