REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2030,DKBM,S01B1,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S01B2,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S02B1,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S02B2,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S02B3,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S03B1,0.222734602152262
REGION1,DKBMCSPN2,1,2030,DKBM,S03B2,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S03B3,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S04B2,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S05B1,0.7227054471269552
REGION1,DKBMCSPN2,1,2030,DKBM,S05B2,0.7227054471269552
REGION1,DKBMCSPN2,1,2031,DKBM,S01B1,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S01B2,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S02B1,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S02B2,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S02B3,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S03B1,3.1455520450797727
REGION1,DKBMCSPN2,1,2031,DKBM,S03B2,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S03B3,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S04B2,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S05B2,7.159659123754213
REGION1,DKBMCSPN2,1,2031,DKBM,S05B3,7.159659123754213
REGION1,DKBMCSPN2,1,2032,DKBM,S01B1,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S01B2,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S02B2,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S02B3,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S03B1,10.299900902118477
REGION1,DKBMCSPN2,1,2032,DKBM,S03B2,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S03B3,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S04B2,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S05B2,15.103219615745354
REGION1,DKBMCSPN2,1,2032,DKBM,S05B3,15.103219615745354
REGION1,DKBMCSPN2,1,2033,DKBM,S01B1,34.66784391100963
REGION1,DKBMCSPN2,1,2033,DKBM,S01B2,36.579682896226046
REGION1,DKBMCSPN2,1,2033,DKBM,S01B3,36.579682896226046
REGION1,DKBMCSPN2,1,2033,DKBM,S02B1,19.78780959551487
REGION1,DKBMCSPN2,1,2033,DKBM,S02B2,36.579682896226046
REGION1,DKBMCSPN2,1,2033,DKBM,S02B3,36.579682896226046
REGION1,DKBMCSPN2,1,2033,DKBM,S03B1,8.344651428216375
