REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,9.32801700293404
REGION1,DKBMCSPN2,2031,101.7637328569795
REGION1,DKBMCSPN2,2032,147.98399749328263
REGION1,DKBMCSPN2,2033,457.17225473069857
REGION1,DKBMCSPN2,2034,44.65818678172875
REGION1,DKBMCSPN2,2035,59.313580626517336
REGION1,DKBMCSPN2,2036,77.57700356994928
REGION1,DKBMCSPN2,2037,100.43538349498664
REGION1,DKBMCSPN2,2038,131.35614885554958
REGION1,DKBMCSPN2,2039,219.62418388874607
REGION1,DKBMCSPN2,2040,317.45404190940013
REGION1,DKBMCSPN2,2041,375.2192843112989
REGION1,DKBMCSPN2,2042,440.2894325662773
REGION1,DKBMCSPN2,2043,513.220053299199
REGION1,DKBMCSPN2,2044,594.574956705774
REGION1,DKBMCSPN2,2045,684.9265451073053
REGION1,DKBMCSPN2,2046,784.8583197281365
REGION1,DKBMCSPN2,2047,894.9707257405244
REGION1,DKBMCSPN2,2048,1015.8921721853376
REGION1,DKBMCSPN2,2049,1148.2981973282922
REGION1,DKBMCSPN2,2050,1073.5690818930384
REGION1,DKBMCSPN2,2051,1120.8104814677206
REGION1,DKBMCSPN2,2052,1770.4564394982074
REGION1,DKBMCSPN2,2053,1217.5535017262985
REGION1,DKBMCSPN2,2054,1344.0099474895396
REGION1,DKBMCSPN2,2055,1472.6766266375748
REGION1,DKBMCSPN2,2056,1698.3486600035135
REGION1,DKBMCSPN2,2057,1963.9009174645137
REGION1,DKBMCSPN2,2058,2394.7990332526538
REGION1,DKBMCSPN2,2059,3120.546278285317
REGION1,DKBMCSPN2,2060,4716.558559264404
REGION1,DKBMSTPH3,2035,3.7355879593721815
REGION1,DKBMSTPH3,2036,32.717199541045794
REGION1,DKBMSTPH3,2037,18.47377467886917
REGION1,DKGOCVPH2,2022,5.939928014848654
REGION1,DKGOCVPH2,2023,0.7964972780281157
REGION1,DKGOCVPH2,2024,1.1648704647857144
REGION1,DKGOCVPH2,2025,1.5145908666134205
REGION1,DKGOCVPH2,2026,18.523345527472323
REGION1,DKGOCVPH2,2027,21.684766632350687
REGION1,DKGOCVPH2,2028,24.684707170666236
REGION1,DKGOCVPH2,2029,27.53107290991481
REGION1,DKGOCVPH2,2030,30.231544518087357
REGION1,DKGOCVPH2,2031,25.39233135502245
REGION1,DKGOCVPH2,2032,27.342450524703963
REGION1,DKGOCVPH2,2033,29.204592796458314
REGION1,DKGOCVPH2,2034,17.806938546169707
REGION1,DKHFCHPH3,2047,162.0351994182679
REGION1,DKHFCHPH3,2048,886.1273005450307
REGION1,DKHFCHPH3,2049,709.9266203382672
REGION1,DKHYDMPH3,2018,3.5182856012919994
REGION1,DKHYDMPH3,2059,0.07003988215024469
REGION1,DKSOUTPH2,2037,8.234879763246965
REGION1,DKSOUTPH2,2038,8.934451065689375
REGION1,DKSOUTPH2,2039,6.327365522849882
REGION1,DKSOUTPH2,2040,16.214170022371384
REGION1,DKSOUTPH2,2041,5.706649456211884
REGION1,DKSOUTPH2,2042,6.5133958774037515
REGION1,DKSOUTPH2,2043,7.223785641126328
REGION1,DKSOUTPH2,2044,7.918644436010226
REGION1,DKSOUTPH2,2045,8.502050470377997
REGION1,DKSOUTPH2,2046,3.4354282350681054
REGION1,DKSOUTPH2,2047,3.293068097715612
REGION1,DKSOUTPH2,2048,3.787123183211639
REGION1,DKSOUTPH2,2049,3.930963734608501
REGION1,DKSOUTPH2,2050,3.706287582756119
REGION1,DKSOUTPH2,2051,3.628684604119736
REGION1,DKSOUTPH2,2052,3.710718076482713
REGION1,DKSOUTPH2,2053,95.72580483754317
REGION1,DKSOUTPH2,2054,155.098719208959
REGION1,DKSOUTPH2,2055,160.349360689443
REGION1,DKSOUTPH2,2056,24.730590729249855
REGION1,DKSOUTPH2,2057,25.66471932373583
REGION1,DKSOUTPH2,2058,25.628421232272835
REGION1,DKSOUTPH2,2059,26.6202456812613
REGION1,DKSOUTPH2,2060,27.748831337996
REGION1,DKWIONPH3,2037,53.27404019309918
REGION1,DKWIONPH3,2038,251.19395895430384
REGION1,DKWIONPH3,2039,101.95488793510684
REGION1,DKWIONPH3,2040,956.1197828788606
REGION1,DKWIONPH3,2041,1248.4232662908562
REGION1,DKWSSTPH1,2038,9.724614892329827
REGION1,DKWSSTPH1,2053,568.2258223304291
REGION1,DKWSSTPH1,2054,134.19916742208557
REGION1,DKWSSTPH1,2055,1.4630731245452322
REGION1,DKWSSTPH1,2058,1.2455585775216582
REGION1,DKWSSTPH1,2059,16.436635952844036
REGION1,DKWSSTPH1,2060,0.3026776887510788
REGION1,FIBMCSPN2,2030,88.99090733164597
REGION1,FIBMCSPN2,2031,757.8914052744467
REGION1,FIBMCSPN2,2032,783.4012585932794
REGION1,FIBMCSPN2,2033,90.63082961449847
REGION1,FIBMCSPN2,2034,123.08723792330817
REGION1,FIBMCSPN2,2035,163.48054716915792
REGION1,FIBMCSPN2,2036,213.81833397003032
REGION1,FIBMCSPN2,2037,276.82077654850195
REGION1,FIBMCSPN2,2038,362.0448278810897
REGION1,FIBMCSPN2,2039,605.3298650066697
REGION1,FIBMCSPN2,2040,874.9692722008376
REGION1,FIBMCSPN2,2041,1034.1822776453157
REGION1,FIBMCSPN2,2042,1213.5291207921682
REGION1,FIBMCSPN2,2043,1414.5410586463136
REGION1,FIBMCSPN2,2044,1638.7720692060554
REGION1,FIBMCSPN2,2045,1887.7998121523472
REGION1,FIBMCSPN2,2046,2163.2325380481016
REGION1,FIBMCSPN2,2047,2453.8271536735406
REGION1,FIBMCSPN2,2048,2798.319417582549
REGION1,FIBMCSPN2,2049,2387.107103060745
REGION1,FIBMCSPN2,2050,2460.946894058462
REGION1,FIBMCSPN2,2051,2514.3684271524867
REGION1,FIBMCSPN2,2052,3070.6042757397536
REGION1,FIBMCSPN2,2053,2931.2401148267254
REGION1,FIBMCSPN2,2054,3208.6329290681565
REGION1,FIBMCSPN2,2055,3550.8951338711327
REGION1,FIBMCSPN2,2056,3991.8826547168633
REGION1,FIBMCSPN2,2057,4593.555191500657
REGION1,FIBMCSPN2,2058,5484.516189090975
REGION1,FIBMCSPN2,2059,6990.518797949025
REGION1,FIBMCSPN2,2060,10301.07227404746
REGION1,FIGOCVPH2,2022,0.02419521200607897
REGION1,FIGOCVPH2,2023,0.02362634685776817
REGION1,FIGOCVPH2,2024,0.034554348998215835
REGION1,FIGOCVPH2,2025,0.04492992537626753
REGION1,FIGOCVPH2,2026,0.1634220703838562
REGION1,FIGOCVPH2,2027,0.19131234548462273
REGION1,FIGOCVPH2,2028,0.21777943145666648
REGION1,FIGOCVPH2,2029,0.2428971270075825
REGION1,FIGOCVPH2,2030,0.2667224532975145
REGION1,FIGOCVPH2,2031,0.48175103478667
REGION1,FIGOCVPH2,2032,0.5187668026181668
REGION1,FIGOCVPH2,2033,0.55410325981848
REGION1,FIGOCVPH2,2034,0.5878668925530606
REGION1,FIGOCVPH2,2035,0.6200971970220759
REGION1,FIGOCVPH2,2036,0.2674950540183344
REGION1,FIGOCVPH2,2037,0.27960144512045654
REGION1,FIGOCVPH2,2038,0.2911541114857059
REGION1,FIGOCVPH2,2039,0.3021921823039516
REGION1,FIGOCVPH2,2040,0.3127212088734042
REGION1,FIGOCVPH2,2041,0.3220773702833964
REGION1,FIGOCVPH2,2042,0.3316342027236094
REGION1,FIGOCVPH2,2043,0.34078299257114253
REGION1,FIGOCVPH2,2044,0.3494849379557759
REGION1,FIGOCVPH2,2045,0.3578188305203991
REGION1,FIGOCVPH2,2046,0.1942131542803992
REGION1,FIGOCVPH2,2047,0.1982331897647864
REGION1,FIGOCVPH2,2048,0.20211624868140848
REGION1,FIGOCVPH2,2049,0.20578584771429964
REGION1,FIGOCVPH2,2050,0.20933681355625555
REGION1,FIGOCVPH2,2051,0.14354349263773425
REGION1,FIGOCVPH2,2052,0.14720363723993987
REGION1,FIGOCVPH2,2053,0.15083674738995986
REGION1,FIGOCVPH2,2054,0.15444557605920675
REGION1,FIGOCVPH2,2055,0.15799645407586635
REGION1,FIGOCVPH2,2056,0.16147839417158627
REGION1,FIGOCVPH2,2057,0.16500240749423195
REGION1,FIGOCVPH2,2058,0.16851143819691275
REGION1,FIGOCVPH2,2059,0.17195847033352885
REGION1,FIGOCVPH2,2060,0.17535338078278873
REGION1,FIHFCHPH3,2047,96.39733483399456
REGION1,FIHFCHPH3,2048,346.06936692981964
REGION1,FIHYDMPH3,2041,261.2068624034573
REGION1,FINUG3PN3,2018,5790.58180504365
REGION1,FINUG3PN3,2024,4317.454801052232
REGION1,FISOUTPH2,2037,0.8736163989268858
REGION1,FISOUTPH2,2038,1.7666487207290498
REGION1,FISOUTPH2,2039,2.559452609388284
REGION1,FISOUTPH2,2040,3.379900573730688
REGION1,FISOUTPH2,2041,1.169231895153679
REGION1,FISOUTPH2,2042,1.3345256729117814
REGION1,FISOUTPH2,2043,1.1840615955361256
REGION1,FISOUTPH2,2044,1.6224461852805223
REGION1,FISOUTPH2,2045,1.741979888628201
REGION1,FISOUTPH2,2046,1.8556909572447815
REGION1,FISOUTPH2,2047,1.5653380946125204
REGION1,FISOUTPH2,2048,2.0456635284416795
REGION1,FISOUTPH2,2049,2.123360861131615
REGION1,FISOUTPH2,2050,1.7617592381106442
REGION1,FISOUTPH2,2051,1.4373926471240808
REGION1,FISOUTPH2,2052,1.4698877032829027
REGION1,FISOUTPH2,2053,2.0065573125963767
REGION1,FISOUTPH2,2054,1.560383731470156
REGION1,FISOUTPH2,2055,125.57594761691544
REGION1,FISOUTPH2,2056,1.663517320038983
REGION1,FISOUTPH2,2057,64.74397575372515
REGION1,FISOUTPH2,2058,32.97314862809921
REGION1,FISOUTPH2,2059,34.20990639527714
REGION1,FISOUTPH2,2060,35.17938677963708
REGION1,FIWIONPN3,2037,121.44942724878118
REGION1,FIWIONPN3,2038,183.99903447404785
REGION1,FIWIONPN3,2039,237.55970306877265
REGION1,FIWIONPN3,2040,112.9746236523377
REGION1,FIWIONPN3,2049,1082.3575089086871
REGION1,FIWIONPN3,2050,479.7920028219528
REGION1,FIWIONPN3,2051,598.2946772853006
REGION1,FIWIONPN3,2052,760.2049422147674
REGION1,FIWIONPN3,2054,1876.29638806894
REGION1,FIWIONPN3,2055,2403.3325101944074
REGION1,FIWIONPN3,2056,2220.2424047766144
REGION1,FIWIONPN3,2057,2504.1781935584163
REGION1,FIWIONPN3,2058,2337.449669254641
REGION1,FIWIONPN3,2059,2397.672805632199
REGION1,FIWIONPN3,2060,1800.1777064981482
REGION1,FIWSSTPH1,2032,26.51288583755068
REGION1,FIWSSTPH1,2034,20.23346403454868
REGION1,FIWSSTPH1,2035,39.9373089973222
REGION1,FIWSSTPH1,2037,6.548725243769481
REGION1,FIWSSTPH1,2038,83.65056906804416
REGION1,FIWSSTPH1,2039,38.91231501719189
REGION1,FIWSSTPH1,2040,37.98777265582209
REGION1,FIWSSTPH1,2041,90.5296801548449
REGION1,FIWSSTPH1,2043,112.72234383874476
REGION1,FIWSSTPH1,2045,1023.1571685627896
REGION1,NOBMCSPN2,2033,232.09976432969208
REGION1,NOBMCSPN2,2034,374.61871721399086
REGION1,NOBMCSPN2,2035,41.194764249619794
REGION1,NOBMCSPN2,2036,53.87916796625208
REGION1,NOBMCSPN2,2037,69.75488415458152
REGION1,NOBMCSPN2,2038,91.23012854198106
REGION1,NOBMCSPN2,2039,152.53448507486073
REGION1,NOBMCSPN2,2040,220.47976666409755
REGION1,NOBMCSPN2,2041,260.59917131700905
REGION1,NOBMCSPN2,2042,305.79201566627165
REGION1,NOBMCSPN2,2043,356.44415461888093
REGION1,NOBMCSPN2,2044,412.947168447826
REGION1,NOBMCSPN2,2045,475.6986048720785
REGION1,NOBMCSPN2,2046,545.1037200761809
REGION1,NOBMCSPN2,2047,621.5795382400057
REGION1,NOBMCSPN2,2048,705.5625051491097
REGION1,NOBMCSPN2,2049,797.5217990136682
REGION1,NOBMCSPN2,2050,854.5661119482052
REGION1,NOBMCSPN2,2051,905.0362786308997
REGION1,NOBMCSPN2,2052,961.2949234380883
REGION1,NOBMCSPN2,2053,1113.2342285741568
REGION1,NOBMCSPN2,2054,1303.195751379919
REGION1,NOBMCSPN2,2055,1494.411607992576
REGION1,NOBMCSPN2,2056,1271.7502598265037
REGION1,NOBMCSPN2,2057,1432.4697922776909
REGION1,NOBMCSPN2,2058,1671.070037972285
REGION1,NOBMCSPN2,2059,2287.659121427156
REGION1,NOBMCSPN2,2060,2994.3015257352968
REGION1,NOHFCHPH3,2037,20.67015043941877
REGION1,NOHFCHPH3,2038,20.65598206904683
REGION1,NOHFCHPH3,2039,21.49543391677628
REGION1,NOHFCHPH3,2040,1341.1661586680088
REGION1,NOHFCHPH3,2041,73.3763384644381
REGION1,NOHFCHPH3,2042,133.05720716802534
REGION1,NOHFCHPH3,2043,157.50577345979534
REGION1,NOHFCHPH3,2044,196.42821563258192
REGION1,NOHFCHPH3,2045,263.44607453780594
REGION1,NOHFCHPH3,2046,12.980129044103998
REGION1,NOHFCHPH3,2047,145.9201795752131
