REGION,YEAR,VALUE
REGION1,2015,16173.627526186783
REGION1,2016,8335.23274000015
REGION1,2017,8033.117713277347
REGION1,2018,15565.745147291693
REGION1,2019,7645.792008579907
REGION1,2020,7377.135606487634
REGION1,2021,7171.279864436568
REGION1,2022,12547.361617677516
REGION1,2023,9976.40982581393
REGION1,2024,13212.48855427056
REGION1,2025,7225.92365435783
REGION1,2026,6806.196819196836
REGION1,2027,7279.9108320030655
REGION1,2028,6294.337210580899
REGION1,2029,7664.118956295715
REGION1,2030,9853.810832695952
REGION1,2031,8226.475510720396
REGION1,2032,8332.969152704803
REGION1,2033,8200.232613919063
REGION1,2034,6609.729380620519
REGION1,2035,7815.338120252461
REGION1,2036,5724.626173636669
REGION1,2037,5781.748771080491
REGION1,2038,5879.056323984464
REGION1,2039,5022.40667667496
REGION1,2040,7035.58553813433
REGION1,2041,5905.732388205615
REGION1,2042,3333.1331326246423
REGION1,2043,3931.089346386445
REGION1,2044,3211.429212353179
REGION1,2045,4129.934802385988
REGION1,2046,2536.3735971230194
REGION1,2047,2992.3324578893366
REGION1,2048,3126.746678305324
REGION1,2049,3053.492724939149
REGION1,2050,2608.558341490011
REGION1,2051,2495.2412937910726
REGION1,2052,2460.314819392727
REGION1,2053,2183.450638028536
REGION1,2054,2049.48337988516
REGION1,2055,1970.262959589652
REGION1,2056,1721.4346616424496
REGION1,2057,1627.3545613233882
REGION1,2058,1478.0690501997742
REGION1,2059,1384.5329072573938
REGION1,2060,1290.7555012725643
