REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,11.7249414673799
REGION1,DKBFHPFH1,2016,11.0903651368028
REGION1,DKBFHPFH1,2017,10.4896374783728
REGION1,DKBFHPFH1,2018,9.92097375762365
REGION1,DKBFHPFH1,2019,9.38263187367094
REGION1,DKBFHPFH1,2020,8.87311228407666
REGION1,DKBFHPFH1,2021,8.42498002744309
REGION1,DKBFHPFH1,2022,7.99940659732774
REGION1,DKBFHPFH1,2023,5.7144965862424
REGION1,DKBFHPFH1,2024,2.50759374922575
REGION1,DKBFHPFH1,2025,2.06549862164519
REGION1,DKBFHPFH1,2026,1.9094907523462
REGION1,DKBFHPFH1,2027,1.73017436615883
REGION1,DKBFHPFH1,2028,1.05348702379892
REGION1,DKBFHPFH1,2029,0.872078302808432
REGION1,DKBFHPFH1,2030,0.685442738311622
REGION1,DKBFHPFH1,2031,0.583505795289972
REGION1,DKBM00I00,2041,1.6371737515428766
REGION1,DKBM00I00,2045,15.55887968715246
REGION1,DKBM00I00,2046,21.287841126104336
REGION1,DKBM00I00,2047,32.5868039305925
REGION1,DKBM00I00,2048,43.95685295124464
REGION1,DKBM00I00,2049,54.54423437105639
REGION1,DKBM00I00,2050,47.385565236622405
REGION1,DKBM00I00,2051,43.1285680002506
REGION1,DKBM00I00,2052,76.85743582938315
REGION1,DKBM00I00,2053,36.501585432126056
REGION1,DKBM00I00,2054,35.640396961326864
REGION1,DKBM00I00,2055,33.761436788623904
REGION1,DKBM00I00,2056,34.101707809276945
REGION1,DKBM00I00,2057,33.366165585499374
REGION1,DKBM00I00,2058,33.2909878238351
REGION1,DKBM00I00,2059,33.14915577714738
REGION1,DKBM00I00,2060,32.98378419011724
REGION1,DKBM00X00,2015,73.04662674551457
REGION1,DKBM00X00,2016,69.56821594810907
REGION1,DKBM00X00,2017,66.25544376010393
REGION1,DKBM00X00,2018,63.10042262867034
REGION1,DKBM00X00,2019,60.09564059873372
REGION1,DKBM00X00,2020,57.23394342736543
REGION1,DKBM00X00,2021,54.508517549871776
REGION1,DKBM00X00,2022,51.912873857020784
REGION1,DKBM00X00,2023,35.40642577810938
REGION1,DKBM00X00,2024,33.72040550296131
REGION1,DKBM00X00,2025,32.11467190758217
REGION1,DKBM00X00,2026,30.585401816744955
REGION1,DKBM00X00,2027,29.128954111185667
REGION1,DKBM00X00,2028,27.741861058272065
REGION1,DKBM00X00,2029,26.420820055497188
REGION1,DKBM00X00,2030,21.92745719273272
REGION1,DKBM00X00,2031,26.5772428983514
REGION1,DKBM00X00,2032,32.00372652191535
REGION1,DKBM00X00,2033,47.711074210177664
REGION1,DKBM00X00,2034,46.79244227378159
REGION1,DKBM00X00,2035,46.58271490958506
REGION1,DKBM00X00,2036,49.27179976466712
REGION1,DKBM00X00,2037,50.418870525660815
REGION1,DKBM00X00,2038,50.434371662263615
REGION1,DKBM00X00,2039,51.69191675507513
REGION1,DKBM00X00,2040,54.01672545380673
REGION1,DKBM00X00,2041,55.54690861391024
REGION1,DKBM00X00,2042,54.002827221930175
REGION1,DKBM00X00,2043,52.47990244037035
REGION1,DKBM00X00,2044,50.33040483140344
REGION1,DKBM00X00,2045,49.50300533521832
