REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00I00,2041,1.2812792847134589
REGION1,DKBM00I00,2045,14.80078016059645
REGION1,DKBM00I00,2046,21.26311829694107
REGION1,DKBM00I00,2047,34.17641771341196
REGION1,DKBM00I00,2048,48.40616237149611
REGION1,DKBM00I00,2049,63.06846957453149
REGION1,DKBM00I00,2050,57.53058658468376
REGION1,DKBM00I00,2051,54.98030427091565
REGION1,DKBM00I00,2052,102.87672300624551
REGION1,DKBM00I00,2053,51.3017553561825
REGION1,DKBM00I00,2054,52.59597010639957
REGION1,DKBM00I00,2055,52.31427239418892
REGION1,DKBM00I00,2056,55.48361200634299
REGION1,DKBM00I00,2057,57.00120160644906
REGION1,DKBM00I00,2058,59.71643090020201
REGION1,DKBM00I00,2059,62.43512399246224
REGION1,DKBM00I00,2060,65.22983303191481
REGION1,DKBM00X00,2015,32.155583132263565
REGION1,DKBM00X00,2016,32.155583132263565
REGION1,DKBM00X00,2017,32.155583132263565
REGION1,DKBM00X00,2018,32.15559135639825
REGION1,DKBM00X00,2019,32.15558019855547
REGION1,DKBM00X00,2020,32.15558973486188
REGION1,DKBM00X00,2021,32.155580841651265
REGION1,DKBM00X00,2022,32.155584352400595
REGION1,DKBM00X00,2023,23.027815130680544
REGION1,DKBM00X00,2024,23.027815238042255
REGION1,DKBM00X00,2025,23.02781967483157
REGION1,DKBM00X00,2026,23.02781400205753
REGION1,DKBM00X00,2027,23.027816324911516
REGION1,DKBM00X00,2028,23.02782122268577
REGION1,DKBM00X00,2029,23.027820262439615
REGION1,DKBM00X00,2030,20.06707519228948
REGION1,DKBM00X00,2031,25.53847844230433
REGION1,DKBM00X00,2032,32.29051224458262
REGION1,DKBM00X00,2033,50.54554076509071
REGION1,DKBM00X00,2034,52.05094834250219
REGION1,DKBM00X00,2035,54.408533275566626
REGION1,DKBM00X00,2036,60.42685293479539
REGION1,DKBM00X00,2037,64.92529643333012
REGION1,DKBM00X00,2038,68.19252160640924
REGION1,DKBM00X00,2039,73.38749502685904
REGION1,DKBM00X00,2040,80.52244905247402
REGION1,DKBM00X00,2041,86.94367272436789
REGION1,DKBM00X00,2042,88.7531747708251
REGION1,DKBM00X00,2043,90.56276085022293
REGION1,DKBM00X00,2044,91.19612082857476
REGION1,DKBM00X00,2045,94.18176120810233
REGION1,DKBM00X00,2046,95.27086481705264
REGION1,DKBM00X00,2047,96.3599545897946
REGION1,DKBM00X00,2048,97.44916407247001
REGION1,DKBM00X00,2049,98.53825412648762
REGION1,DKBM00X00,2050,99.6273637824914
REGION1,DKBM00X00,2051,100.62394934632312
REGION1,DKBM00X00,2052,101.62995271349821
REGION1,DKBM00X00,2053,102.64596712930363
REGION1,DKBM00X00,2054,103.6729512991345
REGION1,DKBM00X00,2055,104.70896037729447
REGION1,DKBM00X00,2056,105.23294347401469
REGION1,DKBM00X00,2057,105.75897719840046
REGION1,DKBM00X00,2058,106.28795595897259
REGION1,DKBM00X00,2059,106.81893864444058
REGION1,DKBM00X00,2060,107.35293701808742
REGION1,DKBMCSPN2,2030,0.20886184407766703
REGION1,DKBMCSPN2,2031,2.075070148428633
REGION1,DKBMCSPN2,2032,4.389915711750756
REGION1,DKBMCSPN2,2033,10.662924348995084
REGION1,DKBMCSPN2,2034,11.211523289099418
REGION1,DKBMCSPN2,2035,11.874075087005828
REGION1,DKBMCSPN2,2036,12.671739729805596
REGION1,DKBMCSPN2,2037,13.631749822784764
REGION1,DKBMCSPN2,2038,14.808435547222494
REGION1,DKBMCSPN2,2039,16.664750766046275
REGION1,DKBMCSPN2,2040,19.21103864291998
REGION1,DKBMCSPN2,2041,22.081190192408588
REGION1,DKBMCSPN2,2042,25.306718430313484
REGION1,DKBMCSPN2,2043,28.92102946683599
REGION1,DKBMCSPN2,2044,32.95943533914055
REGION1,DKBMCSPN2,2045,37.459186287513624
REGION1,DKBMCSPN2,2046,42.459513587523126
REGION1,DKBMCSPN2,2047,48.001738731771155
REGION1,DKBMCSPN2,2048,54.12940886411682
REGION1,DKBMCSPN2,2049,60.88854532956781
REGION1,DKBMCSPN2,2050,59.71999725152766
REGION1,DKBMCSPN2,2051,59.53477432776088
REGION1,DKBMCSPN2,2052,78.67366142567553
REGION1,DKBMCSPN2,2053,59.48291120338709
REGION1,DKBMCSPN2,2054,60.591190392480264
REGION1,DKBMCSPN2,2055,61.05434695958699
REGION1,DKBMCSPN2,2056,62.63017921233523
REGION1,DKBMCSPN2,2057,63.54021963625236
REGION1,DKBMCSPN2,2058,64.89971572297726
REGION1,DKBMCSPN2,2059,66.24606648201822
REGION1,DKBMCSPN2,2060,67.61084625811519
REGION1,DKBMSTPH3,2015,11.254465350757599
REGION1,DKBMSTPH3,2016,11.254465350757599
REGION1,DKBMSTPH3,2017,11.254465350757599
REGION1,DKBMSTPH3,2018,11.254468229207614
REGION1,DKBMSTPH3,2019,11.254464323958736
REGION1,DKBMSTPH3,2020,11.254467661669318
REGION1,DKBMSTPH3,2021,11.254464549042492
