REGION,TECHNOLOGY,VALUE
REGION1,DKBM00I00,854.4620406576776
REGION1,DKBM00X00,2984.4117259823697
REGION1,DKBMCSPN2,1173.6007600394444
REGION1,DKBMSTPH3,253.47528987329122
REGION1,DKCO00I00,386.43694906531243
REGION1,DKCOCHPH3,136.97312727458805
REGION1,DKCOSTPH1,17.786301654677835
REGION1,DKEL00TD0,8634.139285968526
REGION1,DKELNOPH1,3115.5854415620984
REGION1,DKELSEPH1,440.620006988339
REGION1,DKGO00X00,869.2878587395835
REGION1,DKGOCVPH2,206.87152056892438
REGION1,DKHYDMPH0,1.1275205878448946
REGION1,DKHYDMPH3,2.4945133864128355
REGION1,DKNG00X00,59.02962945150828
REGION1,DKNGCCPH2,6.496069581157563
REGION1,DKNGCHPH3,15.585280754967966
REGION1,DKNGSTPH2,4.730399538897827
REGION1,DKOCWVPH1,0.07456684068193585
REGION1,DKSODIFH1,0.0029411907325744262
REGION1,DKSOUTPH2,557.0713675537892
REGION1,DKWIOFPH3,260.3058758644768
REGION1,DKWIONPH3,2172.987592606407
REGION1,DKWS00X00,1600.9515771749118
REGION1,DKWSCHPH2,68.58712973286804
REGION1,DKWSSTPH1,460.1390173736743
REGION1,FIBM00I00,82.43879733826273
REGION1,FIBM00X00,7767.1367738539775
REGION1,FIBMCSPN2,2946.649037883401
REGION1,FIBMSTPH3,0.41942871750187866
REGION1,FICO00I00,241.30492581468434
REGION1,FICO00X00,542.3515832226364
REGION1,FICOCHPH3,154.6860868084843
REGION1,FICOSTPH3,188.1281156792941
REGION1,FIEL00TD0,19331.38482572093
REGION1,FIELNOPH1,119.04489134955014
REGION1,FIELSEPH1,1075.1704598800013
REGION1,FIGO00X00,15.907140794655572
REGION1,FIGOCVPH2,3.9229564298652204
REGION1,FIHYDMPH1,177.4117331714772
REGION1,FIHYDMPH2,948.5745548568927
REGION1,FIHYDMPH3,32.550722210038764
REGION1,FING00I00,203.99992714272622
REGION1,FINGCCPH2,109.2298746969521
REGION1,FINGCHPH3,6.129936818355674
REGION1,FINGFCFH1,0.0030905280363177096
REGION1,FINGSTPH2,2.2201341942292676
REGION1,FINUG2PH3,1125.5703656981682
REGION1,FINUG3PN3,3023.406698421501
REGION1,FISOUTPH2,175.55076798789995
REGION1,FIUR00I00,12572.645197401833
REGION1,FIWIOFPH3,5.849749066759375
REGION1,FIWIONPH3,125.92281842893497
REGION1,FIWIONPN3,7541.570415660393
REGION1,FIWS00X00,6109.971158865963
REGION1,FIWSCHPH2,19.719337608982016
REGION1,FIWSSTPH1,2217.087694558512
REGION1,NOBM00I00,44.42699824737721
REGION1,NOBM00X00,2200.5934498674055
REGION1,NOBMCSPN2,848.0020278558083
REGION1,NOCO00I00,0.8899278130279457
REGION1,NOCOCHPH3,0.17979840003110387
REGION1,NOCOSTPH1,0.17979840003110387
REGION1,NOEL00TD0,28141.796179848818
REGION1,NOELSEPH1,4158.399366909848
REGION1,NOHYDMPH1,1476.3741289293084
REGION1,NOHYDMPH2,8506.38187848291
REGION1,NOHYDMPH3,6305.414212762389
REGION1,NOHYDSPH2,268.6792089150974
REGION1,NOHYDSPH3,367.908094563031
REGION1,NONG00X00,40.861361846852496
REGION1,NONGCCPH2,24.84191006824135
REGION1,NOSODIFH1,0.0007346332672504327
REGION1,NOSOUTPH2,167.89641415030874
REGION1,NOWIOFPH3,0.7543386271128751
REGION1,NOWIONPH3,139.96250724166595
REGION1,NOWIONPN3,17124.887757449727
REGION1,NOWS00X00,547.3998747110606
REGION1,NOWSCHPH2,34.80111632335775
REGION1,NOWSSTPH1,151.39057799948694
REGION1,SEBM00I00,3670.49874897027
REGION1,SEBM00X00,11823.578523507524
REGION1,SEBMCCPH1,9.81904700612727
REGION1,SEBMCHPH3,0.35506384849908545
REGION1,SEBMCSPN2,5003.1382867632565
REGION1,SEBMSTPH3,767.5231736135358
REGION1,SECO00X00,38.309218353818636
REGION1,SECOCHPH3,15.011505846332359
REGION1,SECOSTPH1,0.23967357628253472
REGION1,SEEL00TD0,32988.33947933412
REGION1,SEGO00X00,18.867228517909247
REGION1,SEGOCVPH2,4.65585490082091
REGION1,SEHYDMPH1,456.3318566426396
REGION1,SEHYDMPH2,3925.6556923563858
REGION1,SEHYDMPH3,6387.617059843789
REGION1,SEHYDSPH2,47.108577446042204
REGION1,SEHYDSPH3,170.11940339495666
REGION1,SENG00I00,9.826934668961576
REGION1,SENGGCPN2,4.363807704196422
REGION1,SENUG2PH3,4906.674076260124
REGION1,SEOCWVPH1,2.070339252722074
REGION1,SESODIFH1,0.02069771145307573
REGION1,SESOUTPH2,393.34079839459594
REGION1,SEUR00I00,14868.694453291055
REGION1,SEWIOFPH3,45.72239502269832
REGION1,SEWIONPH3,887.622203503458
REGION1,SEWIONPN3,4807.809268359473
REGION1,SEWS00X00,6915.659472208757
REGION1,SEWSCHPH2,148.25132416083602
REGION1,SEWSSTPH1,1997.1108390118663
