REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2030,0.03168023846136544
REGION1,S01B1,DKBMCSPN2,DKBM,2031,0.31384806803978543
REGION1,S01B1,DKBMCSPN2,DKBM,2032,0.6620589354394794
REGION1,S01B1,DKBMCSPN2,DKBM,2033,1.519686293230953
REGION1,S01B1,DKBMCSPN2,DKBM,2034,0.33907883219601853
REGION1,S01B1,DKBMCSPN2,DKBM,2035,1.775334349179518
REGION1,S01B1,DKBMCSPN2,DKBM,2036,1.8891044526595424
REGION1,S01B1,DKBMCSPN2,DKBM,2037,2.026315183525935
REGION1,S01B1,DKBMCSPN2,DKBM,2038,2.1948078367485393
REGION1,S01B1,DKBMCSPN2,DKBM,2039,1.6822555238830907
REGION1,S01B1,DKBMCSPN2,DKBM,2040,0.0334445571775361
REGION1,S01B1,DKBMCSPN2,DKBM,2041,3.1063081375022685
REGION1,S01B1,DKBMCSPN2,DKBM,2043,1.303214457780973
REGION1,S01B1,DKBMCSPN2,DKBM,2044,2.997373470767581
REGION1,S01B1,DKBMCSPN2,DKBM,2045,3.604745662766414
REGION1,S01B1,DKBMCSPN2,DKBM,2048,0.6028002456108841
REGION1,S01B1,DKBMCSPN2,DKBM,2049,4.766082614317841
REGION1,S01B1,DKBMCSPN2,DKBM,2050,1.5618968561753472
REGION1,S01B1,DKBMCSPN2,DKBM,2051,3.742178181711239
REGION1,S01B1,DKBMCSPN2,DKBM,2052,3.8299698293274496
REGION1,S01B1,DKBMCSPN2,DKBM,2053,1.282936210320651
REGION1,S01B1,DKBMCSPN2,DKBM,2054,4.017630398228134
REGION1,S01B1,DKBMCSPN2,DKBM,2055,2.3379626354903262
REGION1,S01B1,DKBMCSPN2,DKBM,2056,2.4505065027011033
REGION1,S01B1,DKBMCSPN2,DKBM,2057,4.332023564672306
REGION1,S01B1,DKBMCSPN2,DKBM,2058,2.7300125913039404
REGION1,S01B1,DKBMCSPN2,DKBM,2059,2.103766143420554
REGION1,S01B1,DKBMCSPN2,DKBM,2060,2.2462479680102065
