REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,0.13424653551545804
REGION1,DKBMCCPH1,2058,0.13424653551545804
REGION1,DKBMCCPH1,2059,0.13424653551545804
REGION1,DKBMCCPH1,2060,0.13424653551545804
REGION1,DKBMCSPN2,2039,0.006010678081540197
REGION1,DKBMCSPN2,2040,0.025196056495339524
REGION1,DKBMCSPN2,2041,0.03095604061070163
REGION1,DKBMCSPN2,2042,0.03095604061070163
REGION1,DKBMCSPN2,2043,0.039735743783573786
REGION1,DKBMCSPN2,2044,0.11944911423760876
REGION1,DKBMCSPN2,2045,0.11944911423760876
REGION1,DKBMCSPN2,2046,0.11944911423760876
REGION1,DKBMCSPN2,2047,0.11944911423760876
REGION1,DKBMCSPN2,2048,0.11944911423760876
REGION1,DKBMCSPN2,2049,0.11944911423760876
REGION1,DKBMCSPN2,2050,0.12238764105344531
REGION1,DKBMCSPN2,2051,0.15106842490367514
REGION1,DKBMCSPN2,2052,0.1663335681034788
REGION1,DKBMCSPN2,2053,0.1817066496593067
REGION1,DKBMCSPN2,2054,0.18743229114996626
REGION1,DKBMCSPN2,2055,0.18743229114996626
REGION1,DKBMCSPN2,2056,0.18743229114996626
REGION1,DKBMCSPN2,2057,0.18743229114996626
REGION1,DKBMCSPN2,2058,0.18743229114996626
REGION1,DKBMCSPN2,2059,0.18743229114996626
REGION1,DKBMCSPN2,2060,0.18743229114996626
REGION1,DKBMSTPH3,2025,0.09799793451570932
REGION1,DKBMSTPH3,2026,0.1289680774253787
REGION1,DKBMSTPH3,2027,0.4737911417887231
REGION1,DKBMSTPH3,2028,0.5755670650776669
REGION1,DKBMSTPH3,2029,0.6171697883273661
REGION1,DKBMSTPH3,2030,0.784954057094072
REGION1,DKBMSTPH3,2031,0.784954057094072
REGION1,DKBMSTPH3,2032,0.8494747783199817
REGION1,DKBMSTPH3,2033,0.8946120239769493
REGION1,DKBMSTPH3,2034,0.9335469827877014
REGION1,DKBMSTPH3,2035,0.9648838883355566
REGION1,DKBMSTPH3,2036,0.9801807013195865
REGION1,DKBMSTPH3,2037,0.9954790997941825
REGION1,DKBMSTPH3,2038,1.0107774982687783
REGION1,DKBMSTPH3,2039,1.0107774982687783
REGION1,DKBMSTPH3,2040,1.0107774982687783
REGION1,DKBMSTPH3,2041,1.0107774982687783
REGION1,DKBMSTPH3,2042,1.0701976175038175
REGION1,DKBMSTPH3,2043,1.2701162649236102
REGION1,DKBMSTPH3,2044,1.35392358214906
REGION1,DKBMSTPH3,2045,1.35392358214906
REGION1,DKBMSTPH3,2046,1.3723364391596382
REGION1,DKBMSTPH3,2047,1.3907487885109728
REGION1,DKBMSTPH3,2048,1.4091632310121167
REGION1,DKBMSTPH3,2049,1.427575580363451
REGION1,DKBMSTPH3,2050,1.427575580363451
REGION1,DKBMSTPH3,2051,1.427575580363451
REGION1,DKBMSTPH3,2052,1.427575580363451
REGION1,DKBMSTPH3,2053,1.427575580363451
REGION1,DKBMSTPH3,2054,1.427575580363451
REGION1,DKBMSTPH3,2055,1.3295776458477417
REGION1,DKBMSTPH3,2056,1.298607502938072
REGION1,DKBMSTPH3,2057,0.9537844385747276
REGION1,DKBMSTPH3,2058,0.8520085152857839
REGION1,DKBMSTPH3,2059,0.8104057920360849
REGION1,DKBMSTPH3,2060,0.6426215232693788
REGION1,DKGOCVPH2,2022,0.03235840530895435
REGION1,DKGOCVPH2,2023,0.03459136881880664
REGION1,DKGOCVPH2,2024,0.03683177852742424
REGION1,DKGOCVPH2,2025,0.03907966970919921
REGION1,DKGOCVPH2,2026,0.0617043379808525
REGION1,DKGOCVPH2,2027,0.08440577361750802
REGION1,DKGOCVPH2,2028,0.1071840659593826
REGION1,DKGOCVPH2,2029,0.1300395479561099
REGION1,DKGOCVPH2,2030,0.15297281539382426
REGION1,DKGOCVPH2,2031,0.1707582216479149
REGION1,DKGOCVPH2,2032,0.18861643641373121
REGION1,DKGOCVPH2,2033,0.2065478484868811
REGION1,DKGOCVPH2,2034,0.2158957455175616
REGION1,DKGOCVPH2,2035,0.2158957455175616
REGION1,DKGOCVPH2,2036,0.2158957455175616
REGION1,DKGOCVPH2,2037,0.2158957455175616
REGION1,DKGOCVPH2,2038,0.2158957455175616
REGION1,DKGOCVPH2,2039,0.2158957455175616
REGION1,DKGOCVPH2,2040,0.2158957455175616
REGION1,DKGOCVPH2,2041,0.2158957455175616
REGION1,DKGOCVPH2,2042,0.2158957455175616
REGION1,DKGOCVPH2,2043,0.2158957455175616
REGION1,DKGOCVPH2,2044,0.2158957455175616
REGION1,DKGOCVPH2,2045,0.2158957455175616
REGION1,DKGOCVPH2,2046,0.2158957455175616
REGION1,DKGOCVPH2,2047,0.2158957455175616
REGION1,DKGOCVPH2,2048,0.2158957455175616
REGION1,DKGOCVPH2,2049,0.2158957455175616
REGION1,DKGOCVPH2,2050,0.2158957455175616
REGION1,DKGOCVPH2,2051,0.2158957455175616
REGION1,DKGOCVPH2,2052,0.2158957455175616
REGION1,DKGOCVPH2,2053,0.2158957455175616
REGION1,DKGOCVPH2,2054,0.2158957455175616
REGION1,DKGOCVPH2,2055,0.2158957455175616
REGION1,DKGOCVPH2,2056,0.2158957455175616
REGION1,DKGOCVPH2,2057,0.2158957455175616
REGION1,DKGOCVPH2,2058,0.2158957455175616
REGION1,DKGOCVPH2,2059,0.2158957455175616
REGION1,DKGOCVPH2,2060,0.2158957455175616
REGION1,DKHFCHPH3,2022,0.5140888284004361
REGION1,DKHFCHPH3,2023,3.461728557251825
REGION1,DKHFCHPH3,2024,5.478663065944747
REGION1,DKHFCHPH3,2025,5.490353100187792
REGION1,DKHFCHPH3,2026,5.542648669669742
REGION1,DKHFCHPH3,2027,5.542648669669742
REGION1,DKHFCHPH3,2028,5.542648669669742
REGION1,DKHFCHPH3,2029,5.542648669669742
REGION1,DKHFCHPH3,2030,5.542648669669742
REGION1,DKHFCHPH3,2031,5.542648669669742
REGION1,DKHFCHPH3,2032,5.542648669669742
REGION1,DKHFCHPH3,2033,5.542648669669742
REGION1,DKHFCHPH3,2034,5.542648669669742
REGION1,DKHFCHPH3,2035,5.542648669669742
REGION1,DKHFCHPH3,2036,5.563333676539262
REGION1,DKHFCHPH3,2037,5.593205407429548
REGION1,DKHFCHPH3,2038,5.638639118211764
REGION1,DKHFCHPH3,2039,5.638639118211764
REGION1,DKHFCHPH3,2040,5.644789606134319
REGION1,DKHFCHPH3,2041,5.644789606134319
REGION1,DKHFCHPH3,2042,5.6500331220394076
REGION1,DKHFCHPH3,2043,5.6500331220394076
REGION1,DKHFCHPH3,2044,5.732602323225762
REGION1,DKHFCHPH3,2045,5.732602323225762
REGION1,DKHFCHPH3,2046,5.760168308517442
REGION1,DKHFCHPH3,2047,5.838643459166108
REGION1,DKHFCHPH3,2048,5.917116516664962
REGION1,DKHFCHPH3,2049,5.995591667313629
REGION1,DKHFCHPH3,2050,6.089540640497793
REGION1,DKHFCHPH3,2051,6.154941356647563
REGION1,DKHFCHPH3,2052,6.281918368397743
REGION1,DKHFCHPH3,2053,6.369382294035526
REGION1,DKHFCHPH3,2054,6.467360368983742
REGION1,DKHFCHPH3,2055,6.694827554092134
REGION1,DKHFCHPH3,2056,6.828378816338532
REGION1,DKHFCHPH3,2057,7.147313946725357
REGION1,DKHFCHPH3,2058,7.3787423158682435
REGION1,DKHFCHPH3,2059,7.513715913642637
REGION1,DKHFCHPH3,2060,7.739948134848735
REGION1,DKHYDMPH3,2018,0.001875553438118412
REGION1,DKHYDMPH3,2019,0.001875553438118412
REGION1,DKHYDMPH3,2020,0.001875553438118412
REGION1,DKHYDMPH3,2021,0.001875553438118412
REGION1,DKHYDMPH3,2022,0.001875553438118412
REGION1,DKHYDMPH3,2023,0.001875553438118412
REGION1,DKHYDMPH3,2024,0.001875553438118412
REGION1,DKHYDMPH3,2025,0.001875553438118412
REGION1,DKHYDMPH3,2026,0.001875553438118412
REGION1,DKHYDMPH3,2027,0.001875553438118412
REGION1,DKHYDMPH3,2028,0.001875553438118412
REGION1,DKHYDMPH3,2029,0.001875553438118412
