REGION,EMISSION,YEAR,VALUE
REGION1,BMIM,2015,0.0
REGION1,BMIM,2016,0.0
REGION1,BMIM,2017,0.0
REGION1,BMIM,2018,0.0
REGION1,BMIM,2019,0.0
REGION1,BMIM,2020,0.0
REGION1,BMIM,2021,0.0
REGION1,BMIM,2022,0.0
REGION1,BMIM,2023,0.0
REGION1,BMIM,2024,0.0
REGION1,BMIM,2025,0.0
REGION1,BMIM,2026,0.0
REGION1,BMIM,2027,0.0
REGION1,BMIM,2028,0.0
REGION1,BMIM,2029,0.0
REGION1,BMIM,2030,0.0
REGION1,BMIM,2031,0.0
REGION1,BMIM,2032,0.0
REGION1,BMIM,2033,0.0
REGION1,BMIM,2034,0.0
REGION1,BMIM,2035,0.0
REGION1,BMIM,2036,0.0
REGION1,BMIM,2037,0.0
REGION1,BMIM,2038,0.0
REGION1,BMIM,2039,0.0
REGION1,BMIM,2040,0.0
REGION1,BMIM,2041,0.0
REGION1,BMIM,2042,0.0
REGION1,BMIM,2043,0.0
REGION1,BMIM,2044,0.0
REGION1,BMIM,2045,0.0
REGION1,BMIM,2046,0.0
REGION1,BMIM,2047,0.0
REGION1,BMIM,2048,0.0
REGION1,BMIM,2049,0.0
REGION1,BMIM,2050,0.0
REGION1,BMIM,2051,0.0
REGION1,BMIM,2052,0.0
REGION1,BMIM,2053,0.0
REGION1,BMIM,2054,0.0
REGION1,BMIM,2055,0.0
REGION1,BMIM,2056,0.0
REGION1,BMIM,2057,0.0
REGION1,BMIM,2058,0.0
REGION1,BMIM,2059,0.0
REGION1,BMIM,2060,0.0
REGION1,CO2,2015,22900.86092569635
REGION1,CO2,2016,23313.995077507578
REGION1,CO2,2017,22628.99591611985
REGION1,CO2,2018,13592.668975256645
REGION1,CO2,2019,13071.634011918391
REGION1,CO2,2020,12660.850586643774
REGION1,CO2,2021,16962.358622783366
REGION1,CO2,2022,19199.991514955396
REGION1,CO2,2023,16438.501369671143
REGION1,CO2,2024,10350.016772673369
REGION1,CO2,2025,10215.497885658478
REGION1,CO2,2026,9993.990626576408
REGION1,CO2,2027,10274.816268253075
REGION1,CO2,2028,10086.427019231527
REGION1,CO2,2029,9498.01732402812
REGION1,CO2,2030,9301.916363705886
REGION1,CO2,2031,8928.453271404216
REGION1,CO2,2032,9494.42417115868
REGION1,CO2,2033,10147.639133632012
REGION1,CO2,2034,10954.072874398538
REGION1,CO2,2035,10285.991569140913
REGION1,CO2,2036,9599.988222217378
REGION1,CO2,2037,8913.9925551428
REGION1,CO2,2038,8228.98427264896
REGION1,CO2,2039,7542.993813763796
REGION1,CO2,2040,6856.98056974664
REGION1,CO2,2041,6170.9788359605445
REGION1,CO2,2042,5485.978549324867
REGION1,CO2,2043,4799.97749298867
REGION1,CO2,2044,4113.974749949344
REGION1,CO2,2045,3428.9729732263236
REGION1,CO2,2046,2742.9731096404435
REGION1,CO2,2047,2056.970616672354
REGION1,CO2,2048,1370.9682243527996
REGION1,CO2,2049,685.9660189587973
REGION1,CO2,2050,-0.035746227686829
REGION1,CO2,2051,-0.03688718020775639
REGION1,CO2,2052,-0.03688511194933142
REGION1,CO2,2053,-0.037334885355832625
REGION1,CO2,2054,-0.03776496148341835
REGION1,CO2,2055,-0.03760035146382279
REGION1,CO2,2056,-0.03779999741286133
REGION1,CO2,2057,-0.0380896665824082
REGION1,CO2,2058,-0.03730531893226896
REGION1,CO2,2059,-0.037696520799059385
REGION1,CO2,2060,-0.037585083123815366
REGION1,DKHO,2015,0.07999995536525187
REGION1,DKHO,2016,0.07999995404822358
REGION1,DKHO,2017,0.022035464296370277
REGION1,DKHO,2018,0.07999996755246114
REGION1,DKHO,2019,0.07999996755246117
REGION1,DKHO,2020,0.07999996755246115
REGION1,DKHO,2021,0.07999996755246114
REGION1,DKHO,2022,0.07999996755246115
REGION1,DKHO,2023,0.07999996755246115
REGION1,DKHO,2024,0.07999996755246115
REGION1,DKHO,2025,0.07999996755246115
REGION1,DKHO,2026,0.07999996755246115
REGION1,DKHO,2027,0.07999996755246115
REGION1,DKHO,2028,0.07999996755246115
REGION1,DKHO,2029,0.07999996755246115
REGION1,DKHO,2030,0.07999996755246117
REGION1,DKHO,2031,0.07999996755246115
REGION1,DKHO,2032,0.07999996755246115
REGION1,DKHO,2033,0.07999996755246114
REGION1,DKHO,2034,0.07999996755246115
REGION1,DKHO,2035,0.07999996730359174
REGION1,DKHO,2036,0.07999996730359174
REGION1,DKHO,2037,0.07999996730359174
REGION1,DKHO,2038,0.07999997023922022
REGION1,DKHO,2039,0.0799999702392202
REGION1,DKHO,2040,0.0799999702392202
REGION1,DKHO,2041,0.0799999702392202
REGION1,DKHO,2042,0.0799999702392202
REGION1,DKHO,2043,0.0799999702392202
REGION1,DKHO,2044,0.0799999702392202
REGION1,DKHO,2045,0.07999997054694773
REGION1,DKHO,2046,0.0799999702392202
REGION1,DKHO,2047,0.07999997023922019
REGION1,DKHO,2048,0.07999997023922019
REGION1,DKHO,2049,0.0799999702392202
REGION1,DKHO,2050,0.0799999702392202
REGION1,DKHO,2051,0.0799999702392202
REGION1,DKHO,2052,0.07999997023922019
REGION1,DKHO,2053,0.07999997023922019
REGION1,DKHO,2054,0.07999997023922019
REGION1,DKHO,2055,0.0799999702392202
REGION1,DKHO,2056,0.07999997023922019
REGION1,DKHO,2057,0.0799999702392202
REGION1,DKHO,2058,0.0799999702392202
REGION1,DKHO,2059,0.07999997023922023
REGION1,DKHO,2060,0.07999997023922023
REGION1,DKPM25,2015,1.610968846569529
REGION1,DKPM25,2016,1.6281344336977415
REGION1,DKPM25,2017,1.626190388814935
REGION1,DKPM25,2018,1.5630370522378219
REGION1,DKPM25,2019,1.5583681784195127
REGION1,DKPM25,2020,1.5512589530338312
REGION1,DKPM25,2021,1.571159242700802
REGION1,DKPM25,2022,1.59947908925338
REGION1,DKPM25,2023,1.1409274452422986
REGION1,DKPM25,2024,1.107868839301483
REGION1,DKPM25,2025,1.3961863731076232
REGION1,DKPM25,2026,1.4867207146258534
REGION1,DKPM25,2027,2.4993464772344
REGION1,DKPM25,2028,2.7979545875715277
REGION1,DKPM25,2029,2.919040662736544
REGION1,DKPM25,2030,3.246746686940307
REGION1,DKPM25,2031,3.2487163514593296
REGION1,DKPM25,2032,3.437933002142598
REGION1,DKPM25,2033,3.569937702197844
REGION1,DKPM25,2034,3.683732602733916
REGION1,DKPM25,2035,3.7752193499362847
REGION1,DKPM25,2036,3.8199053007899666
REGION1,DKPM25,2037,3.8645957222209173
REGION1,DKPM25,2038,3.9092860243085763
REGION1,DKPM25,2039,3.9090609221100654
REGION1,DKPM25,2040,3.908834591518424
REGION1,DKPM25,2041,3.9088043611791017
REGION1,DKPM25,2042,4.058444363830825
REGION1,DKPM25,2043,3.937210096977355
REGION1,DKPM25,2044,3.722930460054843
REGION1,DKPM25,2045,4.010626008823874
REGION1,DKPM25,2046,4.06441272941946
REGION1,DKPM25,2047,4.118197002421867
REGION1,DKPM25,2048,4.171987141635696
REGION1,DKPM25,2049,4.225772157784794
REGION1,DKPM25,2050,4.22549747571201
REGION1,DKPM25,2051,4.214447787162794
REGION1,DKPM25,2052,4.214148669809601
REGION1,DKPM25,2053,4.213852050309584
REGION1,DKPM25,2054,4.213558636607062
REGION1,DKPM25,2055,3.9255491075600064
REGION1,DKPM25,2056,3.8342911067290277
REGION1,DKPM25,2057,2.8221601315622653
REGION1,DKPM25,2058,2.5230266604042053
REGION1,DKPM25,2059,2.4005669247191608
REGION1,DKPM25,2060,1.9076430186011695
REGION1,DKSO,2015,2.7710977745460212
REGION1,DKSO,2016,2.7710977745460212
REGION1,DKSO,2017,2.7710977745460212
REGION1,DKSO,2018,2.7710977745460212
REGION1,DKSO,2019,2.7710977745460212
REGION1,DKSO,2020,2.7710977745460212
REGION1,DKSO,2021,2.7710977745460212
REGION1,DKSO,2022,2.7710977745460212
REGION1,DKSO,2023,2.7710800565295597
REGION1,DKSO,2024,6.204095213859756
REGION1,DKSO,2025,8.439992080335903
REGION1,DKSO,2026,9.129991432875215
