REGION,TECHNOLOGY,YEAR,VALUE,absolute_production
REGION1,DKELRENEW,2015,0.6694,66.84
REGION1,DKELRENEW,2016,0.6324,66.84
REGION1,DKELRENEW,2017,0.6474,66.79
REGION1,DKELRENEW,2018,0.834,66.84
REGION1,DKELRENEW,2019,0.8678,66.84
REGION1,DKELRENEW,2020,0.9029,66.84
REGION1,DKELRENEW,2021,0.8332,66.84
REGION1,DKELRENEW,2022,0.7589,75.59
REGION1,DKELRENEW,2023,0.8521,71.47
REGION1,DKELRENEW,2024,0.9917,73.15
REGION1,DKELRENEW,2025,0.9921,76.65
REGION1,DKELRENEW,2026,1.0,78.14
REGION1,DKELRENEW,2027,1.0,84.43
REGION1,DKELRENEW,2028,1.0,84.49
REGION1,DKELRENEW,2029,1.0,86.63
REGION1,DKELRENEW,2030,1.0,93.0
REGION1,DKELRENEW,2031,1.0,93.98
REGION1,DKELRENEW,2032,1.0,99.92
REGION1,DKELRENEW,2033,1.0,105.73
REGION1,DKELRENEW,2034,1.0,112.86
REGION1,DKELRENEW,2035,1.0,122.23
REGION1,DKELRENEW,2036,1.0,130.76
REGION1,DKELRENEW,2037,1.0,137.75
REGION1,DKELRENEW,2038,1.0,143.64
REGION1,DKELRENEW,2039,1.0,156.95
REGION1,DKELRENEW,2040,1.0,167.45
REGION1,DKELRENEW,2041,1.0,183.87
REGION1,DKELRENEW,2042,1.0,192.99
REGION1,DKELRENEW,2043,1.0,214.81
REGION1,DKELRENEW,2044,1.0,217.87
REGION1,DKELRENEW,2045,1.0,229.48
REGION1,DKELRENEW,2046,1.0,229.83
REGION1,DKELRENEW,2047,1.0,230.17
REGION1,DKELRENEW,2048,1.0,230.51
REGION1,DKELRENEW,2049,1.0,230.86
REGION1,DKELRENEW,2050,1.0,230.87
REGION1,DKELRENEW,2051,1.0,231.54
REGION1,DKELRENEW,2052,1.0,231.85
REGION1,DKELRENEW,2053,1.0,232.16
REGION1,DKELRENEW,2054,1.0,232.22
REGION1,DKELRENEW,2055,1.0,226.45
REGION1,DKELRENEW,2056,1.0,225.74
REGION1,DKELRENEW,2057,1.0,219.6
REGION1,DKELRENEW,2058,1.0,213.94
REGION1,DKELRENEW,2059,1.0,216.53
REGION1,DKELRENEW,2060,1.0,221.18
REGION1,ELRENEW,2015,0.9336,1277.28
REGION1,ELRENEW,2016,0.9363,1297.62
REGION1,ELRENEW,2017,0.94,1304.1
REGION1,ELRENEW,2018,0.9694,1362.67
REGION1,ELRENEW,2019,0.9707,1348.31
REGION1,ELRENEW,2020,0.9718,1338.51
REGION1,ELRENEW,2021,0.9602,1362.12
REGION1,ELRENEW,2022,0.9494,1476.9
REGION1,ELRENEW,2023,0.9592,1500.54
REGION1,ELRENEW,2024,0.9792,1553.61
REGION1,ELRENEW,2025,0.9829,1596.1
REGION1,ELRENEW,2026,0.9874,1635.29
REGION1,ELRENEW,2027,0.9879,1679.01
REGION1,ELRENEW,2028,0.9895,1734.8
REGION1,ELRENEW,2029,0.9961,1769.76
REGION1,ELRENEW,2030,0.9937,1815.52
REGION1,ELRENEW,2031,1.0,1873.03
REGION1,ELRENEW,2032,1.0,1935.5
REGION1,ELRENEW,2033,0.9994,2018.46
REGION1,ELRENEW,2034,0.9971,2088.55
REGION1,ELRENEW,2035,1.0,2145.58
REGION1,ELRENEW,2036,1.0,2192.78
REGION1,ELRENEW,2037,1.0,2243.92
REGION1,ELRENEW,2038,1.0,2290.57
REGION1,ELRENEW,2039,1.0,2341.73
REGION1,ELRENEW,2040,1.0,2391.25
REGION1,ELRENEW,2041,1.0,2421.94
REGION1,ELRENEW,2042,1.0,2485.5
REGION1,ELRENEW,2043,1.0,2526.38
REGION1,ELRENEW,2044,1.0,2565.49
REGION1,ELRENEW,2045,1.0,2598.41
REGION1,ELRENEW,2046,1.0,2662.77
REGION1,ELRENEW,2047,1.0,2706.51
REGION1,ELRENEW,2048,1.0,2749.3
REGION1,ELRENEW,2049,1.0,2792.94
REGION1,ELRENEW,2050,1.0,2835.84
REGION1,ELRENEW,2051,1.0,2827.52
REGION1,ELRENEW,2052,1.0,2840.81
REGION1,ELRENEW,2053,1.0,2847.06
REGION1,ELRENEW,2054,1.0,2868.29
REGION1,ELRENEW,2055,1.0,2871.25
REGION1,ELRENEW,2056,1.0,2859.36
REGION1,ELRENEW,2057,1.0,2854.87
REGION1,ELRENEW,2058,1.0,2869.62
REGION1,ELRENEW,2059,1.0,2883.66
REGION1,ELRENEW,2060,1.0,2898.31
REGION1,FIELRENEW,2015,0.7654,177.28
REGION1,FIELRENEW,2016,0.7929,177.21
REGION1,FIELRENEW,2017,0.8006,177.01
REGION1,FIELRENEW,2018,0.8891,218.4
REGION1,FIELRENEW,2019,0.884,217.17
REGION1,FIELRENEW,2020,0.8783,216.98
REGION1,FIELRENEW,2021,0.8355,218.35
REGION1,FIELRENEW,2022,0.8495,244.09
REGION1,FIELRENEW,2023,0.8647,254.6
REGION1,FIELRENEW,2024,0.9351,300.7
REGION1,FIELRENEW,2025,0.9531,316.33
REGION1,FIELRENEW,2026,0.971,331.6
REGION1,FIELRENEW,2027,0.9727,339.3
REGION1,FIELRENEW,2028,0.9814,362.36
REGION1,FIELRENEW,2029,0.981,356.13
REGION1,FIELRENEW,2030,1.0,389.76
REGION1,FIELRENEW,2031,1.0,401.09
REGION1,FIELRENEW,2032,1.0,404.79
REGION1,FIELRENEW,2033,1.0,435.55
REGION1,FIELRENEW,2034,1.0,451.12
REGION1,FIELRENEW,2035,1.0,458.34
REGION1,FIELRENEW,2036,1.0,460.75
REGION1,FIELRENEW,2037,1.0,464.48
REGION1,FIELRENEW,2038,1.0,474.93
REGION1,FIELRENEW,2039,1.0,479.62
REGION1,FIELRENEW,2040,1.0,482.01
REGION1,FIELRENEW,2041,1.0,485.37
REGION1,FIELRENEW,2042,1.0,488.41
REGION1,FIELRENEW,2043,1.0,491.7
REGION1,FIELRENEW,2044,1.0,495.01
REGION1,FIELRENEW,2045,1.0,516.04
REGION1,FIELRENEW,2046,1.0,530.9
REGION1,FIELRENEW,2047,1.0,538.4
REGION1,FIELRENEW,2048,1.0,551.53
REGION1,FIELRENEW,2049,1.0,557.21
REGION1,FIELRENEW,2050,1.0,562.6
REGION1,FIELRENEW,2051,1.0,563.0
REGION1,FIELRENEW,2052,1.0,563.77
REGION1,FIELRENEW,2053,1.0,563.73
REGION1,FIELRENEW,2054,1.0,563.64
