REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DKBMCCPH1,DKPM25,2057,0.0005927038359939626
REGION1,DKBMCCPH1,DKPM25,2058,0.0005927038114653102
REGION1,DKBMCCPH1,DKPM25,2059,0.0005927038359939593
REGION1,DKBMCCPH1,DKPM25,2060,0.0005927036769696116
REGION1,DKBMCSPN2,CO2,2039,-33.15812911820695
REGION1,DKBMCSPN2,CO2,2040,-138.58734492282778
REGION1,DKBMCSPN2,CO2,2041,-170.2693299513548
REGION1,DKBMCSPN2,CO2,2042,-170.2693217046701
REGION1,DKBMCSPN2,CO2,2043,-218.56082398133253
REGION1,DKBMCSPN2,CO2,2044,-657.012987222672
REGION1,DKBMCSPN2,CO2,2045,-657.0130106420404
REGION1,DKBMCSPN2,CO2,2046,-657.0129953523202
REGION1,DKBMCSPN2,CO2,2047,-657.0130012953165
REGION1,DKBMCSPN2,CO2,2048,-657.0129996543874
REGION1,DKBMCSPN2,CO2,2049,-657.0130105671751
REGION1,DKBMCSPN2,CO2,2050,-673.175964253975
REGION1,DKBMCSPN2,CO2,2051,-830.9305533885553
REGION1,DKBMCSPN2,CO2,2052,-914.8943122846799
REGION1,DKBMCSPN2,CO2,2053,-999.4517789125207
REGION1,DKBMCSPN2,CO2,2054,-1030.9448784589135
REGION1,DKBMCSPN2,CO2,2055,-1030.9448578912456
REGION1,DKBMCSPN2,CO2,2056,-1030.944857842217
REGION1,DKBMCSPN2,CO2,2057,-1030.9448584218858
REGION1,DKBMCSPN2,CO2,2058,-1030.944888098539
REGION1,DKBMCSPN2,CO2,2059,-1030.9449465312086
REGION1,DKBMCSPN2,CO2,2060,-1030.9448887822064
REGION1,DKBMSTPH3,DKPM25,2015,1.4968436648073162
REGION1,DKBMSTPH3,DKPM25,2016,1.4968438471617505
REGION1,DKBMSTPH3,DKPM25,2017,1.4968437939703072
REGION1,DKBMSTPH3,DKPM25,2018,1.4968439346168685
REGION1,DKBMSTPH3,DKPM25,2019,1.4968437722593777
REGION1,DKBMSTPH3,DKPM25,2020,1.4968437364250786
REGION1,DKBMSTPH3,DKPM25,2021,1.4968437850226515
REGION1,DKBMSTPH3,DKPM25,2022,1.496843805236736
REGION1,DKBMSTPH3,DKPM25,2023,1.071945923480826
REGION1,DKBMSTPH3,DKPM25,2024,1.071945629559859
REGION1,DKBMSTPH3,DKPM25,2025,1.3596676262294092
REGION1,DKBMSTPH3,DKPM25,2026,1.4505967302664609
REGION1,DKBMSTPH3,DKPM25,2027,2.462997696788179
REGION1,DKBMSTPH3,DKPM25,2028,2.7618115644142436
REGION1,DKBMSTPH3,DKPM25,2029,2.8839572209598714
REGION1,DKBMSTPH3,DKPM25,2030,3.21015413260486
REGION1,DKBMSTPH3,DKPM25,2031,3.2101542913281906
REGION1,DKBMSTPH3,DKPM25,2032,3.3995874015662793
REGION1,DKBMSTPH3,DKPM25,2033,3.532110239490926
REGION1,DKBMSTPH3,DKPM25,2034,3.6464233549240284
REGION1,DKBMSTPH3,DKPM25,2035,3.7384282378307474
REGION1,DKBMSTPH3,DKPM25,2036,3.783339731660969
REGION1,DKBMSTPH3,DKPM25,2037,3.8282556199179942
REGION1,DKBMSTPH3,DKPM25,2038,3.8731714574932083
REGION1,DKBMSTPH3,DKPM25,2039,3.8731718265994353
REGION1,DKBMSTPH3,DKPM25,2040,3.8731710420443886
REGION1,DKBMSTPH3,DKPM25,2041,3.8731725545406874
REGION1,DKBMSTPH3,DKPM25,2042,4.0228442973716465
REGION1,DKBMSTPH3,DKPM25,2043,3.901641782909556
REGION1,DKBMSTPH3,DKPM25,2044,3.6873938140905254
REGION1,DKBMSTPH3,DKPM25,2045,3.975121104453065
REGION1,DKBMSTPH3,DKPM25,2046,4.0291821359576465
REGION1,DKBMSTPH3,DKPM25,2047,4.083240715795432
REGION1,DKBMSTPH3,DKPM25,2048,4.137305161238038
REGION1,DKBMSTPH3,DKPM25,2049,4.1913644876471325
REGION1,DKBMSTPH3,DKPM25,2050,4.191364112789024
REGION1,DKBMSTPH3,DKPM25,2051,4.191363949752217
REGION1,DKBMSTPH3,DKPM25,2052,4.191364940620251
REGION1,DKBMSTPH3,DKPM25,2053,4.191364483986394
REGION1,DKBMSTPH3,DKPM25,2054,4.191363441110018
REGION1,DKBMSTPH3,DKPM25,2055,3.9036424199304833
REGION1,DKBMSTPH3,DKPM25,2056,3.812712996061726
REGION1,DKBMSTPH3,DKPM25,2057,2.8003129890564984
REGION1,DKBMSTPH3,DKPM25,2058,2.501498356931226
REGION1,DKBMSTPH3,DKPM25,2059,2.379352700584791
REGION1,DKBMSTPH3,DKPM25,2060,1.8867381188312802
REGION1,DKCO00I00,CO2,2015,7084.285358457861
REGION1,DKCO00I00,CO2,2016,8352.778119592682
REGION1,DKCO00I00,CO2,2017,7800.216405303519
REGION1,DKCO00I00,CO2,2018,2618.9152335163876
REGION1,DKCO00I00,CO2,2019,1991.575511636215
REGION1,DKCO00I00,CO2,2020,1403.6877415471363
REGION1,DKCO00I00,CO2,2021,2948.1163636172805
REGION1,DKCO00I00,CO2,2022,5105.797251265761
REGION1,DKCO00I00,CO2,2023,2585.8273926890256
REGION1,DKCOCHPH3,DKPM25,2015,0.07336811906729336
REGION1,DKCOCHPH3,DKPM25,2016,0.08966050754121795
REGION1,DKCOCHPH3,DKPM25,2017,0.08387562878412086
REGION1,DKCOCHPH3,DKPM25,2018,0.020461023356219327
REGION1,DKCOCHPH3,DKPM25,2019,0.01291746715366416
REGION1,DKCOCHPH3,DKPM25,2020,0.006178559933315025
REGION1,DKCOCHPH3,DKPM25,2021,0.03552899386850749
REGION1,DKCOCHPH3,DKPM25,2022,0.06505183554161345
REGION1,DKCOCHPH3,DKPM25,2023,0.03302449998331821
REGION1,DKCOSTPH1,DKPM25,2015,0.012079548946726913
REGION1,DKCOSTPH1,DKPM25,2016,0.012079549547684065
REGION1,DKCOSTPH1,DKPM25,2017,0.01207954866912396
REGION1,DKCOSTPH1,DKPM25,2018,0.012079550174668132
REGION1,DKCOSTPH1,DKPM25,2019,0.012079547846852516
REGION1,DKCOSTPH1,DKPM25,2020,0.01162038553980527
REGION1,DKCOSTPH1,DKPM25,2021,0.001942617635363323
REGION1,DKHGSRPH2,DKPM25,2015,0.005516258038563524
REGION1,DKHGSRPH2,DKPM25,2016,0.004357071064070285
REGION1,DKHGSRPH2,DKPM25,2017,0.0062525071639706765
REGION1,DKHGSRPH2,DKPM25,2018,0.004596268377290682
REGION1,DKHGSRPH2,DKPM25,2019,0.005821694601635989
REGION1,DKHGSRPH2,DKPM25,2020,0.004298191726092678
REGION1,DKHGSRPH2,DKPM25,2021,0.004953224366466292
REGION1,DKHGSRPH2,DKPM25,2022,0.005799614855267125
REGION1,DKHGSRPH2,DKPM25,2023,0.004467469817405556
REGION1,DKHGSRPH2,DKPM25,2024,0.004695627257441523
REGION1,DKHGSRPH2,DKPM25,2025,0.005553057630172268
REGION1,DKHGSRPH2,DKPM25,2026,0.005722335732230625
REGION1,DKHGSRPH2,DKPM25,2027,0.0063884082457886715
REGION1,DKHGSRPH2,DKPM25,2028,0.006623925597699097
REGION1,DKHGSRPH2,DKPM25,2029,0.006005692548934228
REGION1,DKHGSRPH2,DKPM25,2030,0.007956070635560666
REGION1,DKHGSRPH2,DKPM25,2031,0.010443722675860023
REGION1,DKHGSRPH2,DKPM25,2032,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2033,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2034,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2035,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2036,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2037,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2038,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2039,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2040,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2041,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2042,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2043,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2044,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2045,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2046,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2047,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2048,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2049,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2050,0.010745479288367997
REGION1,DKHYDMPH0,DKHO,2015,0.07999995536525187
REGION1,DKHYDMPH0,DKHO,2016,0.07999995404822358
REGION1,DKHYDMPH0,DKHO,2017,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2018,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2019,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2020,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2021,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2022,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2023,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2024,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2025,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2026,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2027,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2028,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2029,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2030,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2031,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2032,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2033,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2034,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,2035,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2036,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2037,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2038,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2039,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2040,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2041,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2042,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2043,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2044,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2045,0.022035465121181885
REGION1,DKHYDMPH0,DKHO,2046,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2047,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2048,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2049,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2050,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2051,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2052,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2053,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2054,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2055,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2056,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2057,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2058,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2059,0.02101559077807277
REGION1,DKHYDMPH0,DKHO,2060,0.02101559077807277
REGION1,DKHYDMPH3,DKHO,2018,0.057964503256090864
REGION1,DKHYDMPH3,DKHO,2019,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2020,0.05796450325609088
