REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00X00,2015,74.8503100964401
REGION1,DKBM00X00,2016,74.85031921515186
REGION1,DKBM00X00,2017,74.8503165552909
REGION1,DKBM00X00,2018,74.8503235883826
REGION1,DKBM00X00,2019,74.85031546962655
REGION1,DKBM00X00,2020,74.85031367771704
REGION1,DKBM00X00,2021,74.85031610785953
REGION1,DKBM00X00,2022,74.85031711867352
REGION1,DKBM00X00,2023,53.60311612066922
REGION1,DKBM00X00,2024,53.603101423025095
REGION1,DKBM00X00,2025,67.99076339375934
REGION1,DKBM00X00,2026,72.53771227959433
REGION1,DKBM00X00,2027,123.16325726317213
REGION1,DKBM00X00,2028,138.10557300314403
REGION1,DKBM00X00,2029,144.21351899932822
REGION1,DKBM00X00,2030,160.52513561178952
REGION1,DKBM00X00,2031,160.52514354881777
REGION1,DKBM00X00,2032,169.99782755531967
REGION1,DKBM00X00,2033,176.62468896158222
REGION1,DKBM00X00,2034,182.34096537670092
REGION1,DKBM00X00,2035,186.94170904677617
REGION1,DKBM00X00,2036,189.18752757754385
REGION1,DKBM00X00,2037,191.43356585351046
REGION1,DKBM00X00,2038,193.67960159511142
REGION1,DKBM00X00,2039,194.7543375334796
REGION1,DKBM00X00,2040,198.17144754335155
REGION1,DKBM00X00,2041,199.1548369856282
REGION1,DKBM00X00,2042,206.59566048859625
REGION1,DKBM00X00,2043,202.01944436201018
REGION1,DKBM00X00,2044,205.01225876899247
REGION1,DKBM00X00,2045,219.23204084997354
REGION1,DKBM00X00,2046,221.7672401299732
REGION1,DKBM00X00,2047,224.30239200381334
REGION1,DKBM00X00,2048,226.83776242390837
REGION1,DKBM00X00,2049,229.37295177586086
REGION1,DKBM00X00,2050,229.68730075147724
REGION1,DKBM00X00,2051,234.22792109394578
REGION1,DKBM00X00,2052,236.5696910073018
REGION1,DKBM00X00,2053,238.93466631599122
REGION1,DKBM00X00,2054,239.7536371384863
REGION1,DKBM00X00,2055,225.2817010412173
REGION1,DKBM00X00,2056,220.66760578223267
REGION1,DKBM00X00,2057,184.25110475981873
REGION1,DKBM00X00,2058,169.25444745037333
REGION1,DKBM00X00,2059,163.10078559038902
