REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,325.4726705650971
REGION1,DKBMCSPN2,2039,33.2281704635897
REGION1,DKBMCSPN2,2040,106.0604170933813
REGION1,DKBMCSPN2,2041,31.84228658670363
REGION1,DKBMCSPN2,2043,48.53586728324013
REGION1,DKBMCSPN2,2044,440.6706574102916
REGION1,DKBMCSPN2,2050,16.244734558039433
REGION1,DKBMCSPN2,2051,158.5528224730021
REGION1,DKBMCSPN2,2052,84.38861198572246
REGION1,DKBMCSPN2,2053,84.9853157261122
REGION1,DKBMCSPN2,2054,31.6524340322494
REGION1,DKBMSTPH3,2025,195.48725975128207
REGION1,DKBMSTPH3,2026,61.55966276297891
REGION1,DKBMSTPH3,2027,682.963457739327
REGION1,DKBMSTPH3,2028,200.8578378884292
REGION1,DKBMSTPH3,2029,81.80925910713857
REGION1,DKBMSTPH3,2030,328.7464291653574
REGION1,DKBMSTPH3,2032,125.50312609979062
REGION1,DKBMSTPH3,2033,87.47914169039893
REGION1,DKBMSTPH3,2034,75.182237414798
REGION1,DKBMSTPH3,2035,60.288445845407566
REGION1,DKBMSTPH3,2036,29.399862682786047
REGION1,DKBMSTPH3,2037,29.373537007163428
REGION1,DKBMSTPH3,2038,29.34401109810705
REGION1,DKBMSTPH3,2042,113.51916679258062
REGION1,DKBMSTPH3,2043,381.552735346571
REGION1,DKBMSTPH3,2044,159.79038331473214
REGION1,DKBMSTPH3,2046,35.03635257686824
REGION1,DKBMSTPH3,2047,35.00040312893885
REGION1,DKBMSTPH3,2048,34.969394598522385
REGION1,DKBMSTPH3,2049,34.930436201402934
REGION1,DKGOCVPH2,2022,107.01992463046398
REGION1,DKGOCVPH2,2023,7.350268315015886
REGION1,DKGOCVPH2,2024,7.339806246402129
REGION1,DKGOCVPH2,2025,7.3292042403536595
REGION1,DKGOCVPH2,2026,73.41388108795691
REGION1,DKGOCVPH2,2027,73.30838401531345
REGION1,DKGOCVPH2,2028,73.20077583569494
REGION1,DKGOCVPH2,2029,73.09183142553395
REGION1,DKGOCVPH2,2030,72.98237162843343
REGION1,DKGOCVPH2,2031,56.42633558985308
REGION1,DKGOCVPH2,2032,56.4830331542098
REGION1,DKGOCVPH2,2033,56.5395354078489
REGION1,DKGOCVPH2,2034,29.38352517344898
REGION1,DKHFCHPH3,2022,294.1379795246231
REGION1,DKHFCHPH3,2023,1686.5038614212374
REGION1,DKHFCHPH3,2024,1153.9971468866895
REGION1,DKHFCHPH3,2025,6.688499852295502
REGION1,DKHFCHPH3,2026,29.921119261375253
REGION1,DKHFCHPH3,2036,11.835009420423548
REGION1,DKHFCHPH3,2037,17.091230315800978
REGION1,DKHFCHPH3,2038,25.99507935888816
REGION1,DKHFCHPH3,2040,3.5190262668412955
REGION1,DKHFCHPH3,2042,3.000098599159931
REGION1,DKHFCHPH3,2044,47.24229873557726
REGION1,DKHFCHPH3,2046,15.771988748576051
REGION1,DKHFCHPH3,2047,339.03785086886
REGION1,DKHFCHPH3,2048,1731.4025351614368
REGION1,DKHFCHPH3,2049,1198.8970182309272
REGION1,DKHFCHPH3,2050,60.4417806555074
REGION1,DKHFCHPH3,2051,67.34040060933091
REGION1,DKHFCHPH3,2052,72.65040518091227
REGION1,DKHFCHPH3,2053,50.04283490936007
REGION1,DKHFCHPH3,2054,56.058547493921566
REGION1,DKHFCHPH3,2055,130.1462598285072
REGION1,DKHFCHPH3,2056,76.41188889932542
REGION1,DKHFCHPH3,2057,182.48001059134376
REGION1,DKHFCHPH3,2058,132.41266711857892
REGION1,DKHFCHPH3,2059,77.22568386101011
REGION1,DKHFCHPH3,2060,129.43967029195397
REGION1,DKHYDMPH3,2018,4.1257111644322135
REGION1,DKHYDMPH3,2059,0.07018802999999806
REGION1,DKSOUTPH2,2024,384.676397321981
REGION1,DKSOUTPH2,2025,240.3469737228994
REGION1,DKSOUTPH2,2026,70.87694180469178
REGION1,DKSOUTPH2,2027,67.16321129764535
REGION1,DKSOUTPH2,2028,64.66857773516138
REGION1,DKSOUTPH2,2029,62.365839062099255
REGION1,DKSOUTPH2,2030,60.25499527845897
REGION1,DKSOUTPH2,2031,37.622686261353245
REGION1,DKSOUTPH2,2032,35.93624423273303
REGION1,DKSOUTPH2,2033,34.46206455322877
REGION1,DKSOUTPH2,2034,34.043302171448
REGION1,DKSOUTPH2,2035,33.81283141268171
REGION1,DKSOUTPH2,2036,29.01376713218377
REGION1,DKSOUTPH2,2037,121.8650358358077
REGION1,DKSOUTPH2,2038,67.72128195013268
REGION1,DKSOUTPH2,2039,32.74675606715233
REGION1,DKSOUTPH2,2040,64.44579900691815
REGION1,DKSOUTPH2,2041,18.577118486235214
REGION1,DKSOUTPH2,2042,18.086093328008737
REGION1,DKSOUTPH2,2043,17.595068169782255
REGION1,DKSOUTPH2,2044,17.267718064297934
REGION1,DKSOUTPH2,2045,16.85853043244274
REGION1,DKSOUTPH2,2046,6.270447710225516
REGION1,DKSOUTPH2,2047,5.5875276625771
REGION1,DKSOUTPH2,2048,6.022113147444501
REGION1,DKSOUTPH2,2049,190.0
REGION1,DKSOUTPH2,2050,123.55312021221096
REGION1,DKSOUTPH2,2051,42.70225686369628
REGION1,DKSOUTPH2,2052,41.2856210623761
REGION1,DKSOUTPH2,2053,40.63374283507543
REGION1,DKSOUTPH2,2054,40.633742835075616
REGION1,DKSOUTPH2,2055,40.63374283507543
REGION1,DKSOUTPH2,2056,27.96868013323372
REGION1,DKSOUTPH2,2057,28.212528133233963
REGION1,DKSOUTPH2,2058,27.44096918732366
REGION1,DKSOUTPH2,2059,27.814969187323875
REGION1,DKSOUTPH2,2060,28.342680133233465
REGION1,DKWIONPH3,2030,520.1337121732853
REGION1,DKWIONPH3,2032,538.0973909302826
REGION1,DKWIONPH3,2033,3216.9819106489463
REGION1,DKWIONPH3,2034,1306.9516172225058
REGION1,DKWIONPH3,2035,1694.3800156368443
REGION1,DKWIONPH3,2036,1318.9860355307294
REGION1,DKWIONPH3,2037,1236.6735386568423
REGION1,DKWIONPH3,2038,1766.6906633507592
REGION1,DKWIONPH3,2039,2013.7717443664103
REGION1,DKWIONPH3,2040,1629.582289711642
REGION1,DKWIONPH3,2041,2335.991382894252
REGION1,DKWIONPH3,2042,1124.476646880748
REGION1,DKWIONPH3,2043,3236.4728360134927
REGION1,DKWIONPH3,2044,332.1974092925091
REGION1,DKWIONPH3,2045,1332.4116960803858
REGION1,DKWIONPH3,2057,293.85239919213194
REGION1,DKWIONPH3,2058,2418.045549429085
REGION1,DKWIONPH3,2059,1630.731137779783
REGION1,DKWIONPH3,2060,2592.7039041439384
REGION1,DKWSSTPH1,2022,882.4737328920155
REGION1,DKWSSTPH1,2023,159.41220233557416
REGION1,DKWSSTPH1,2024,223.39846634601676
REGION1,DKWSSTPH1,2025,44.93744234906302
REGION1,DKWSSTPH1,2026,8.867862263347606
REGION1,DKWSSTPH1,2028,20.274431942247507
REGION1,DKWSSTPH1,2029,40.07222737522251
REGION1,DKWSSTPH1,2030,36.25190994272575
REGION1,DKWSSTPH1,2038,4.8073668354745385
REGION1,DKWSSTPH1,2052,567.2095768999602
REGION1,DKWSSTPH1,2053,105.51408260992592
REGION1,DKWSSTPH1,2054,152.94204908360902
REGION1,DKWSSTPH1,2055,14.198534271080984
REGION1,DKWSSTPH1,2059,6.272569576732924
REGION1,DKWSSTPH1,2060,14.447966975873491
REGION1,FIBMCSPN2,2035,500.5677485362853
REGION1,FIBMCSPN2,2036,544.4446729819126
REGION1,FIBMCSPN2,2037,822.6689656842318
REGION1,FIBMCSPN2,2038,1147.434090283414
REGION1,FIBMCSPN2,2039,1020.4675840990936
REGION1,FIBMCSPN2,2040,549.6797452103481
REGION1,FIBMCSPN2,2041,1099.8307836334025
REGION1,FIBMCSPN2,2042,292.6267364951695
REGION1,FIBMCSPN2,2043,812.9458186744279
REGION1,FIBMCSPN2,2044,813.5783517229355
REGION1,FIBMCSPN2,2045,1361.006263784329
REGION1,FIBMCSPN2,2047,1184.3309179458076
REGION1,FIBMCSPN2,2048,1184.3309179458156
REGION1,FIBMCSPN2,2049,1183.325856528583
REGION1,FIBMCSPN2,2050,1126.7306744238724
REGION1,FIBMCSPN2,2051,104.7027874049579
REGION1,FIBMCSPN2,2052,178.866997892234
REGION1,FIBMCSPN2,2053,13.344461165497464
REGION1,FIBMSTPH3,2034,301.3427879934678
REGION1,FIBMSTPH3,2035,393.82617365118927
REGION1,FIBMSTPH3,2038,447.1512501667197
REGION1,FIBMSTPH3,2042,81.11370781362741
REGION1,FIBMSTPH3,2045,1301.1452532265707
REGION1,FIBMSTPH3,2046,1285.1321464955386
REGION1,FIBMSTPH3,2047,157.1274942414779
REGION1,FIBMSTPH3,2048,639.3182852835781
REGION1,FIGOCVPH2,2022,0.4359261187737888
REGION1,FIGOCVPH2,2023,0.21802960725510256
REGION1,FIGOCVPH2,2024,0.2177256907823817
REGION1,FIGOCVPH2,2025,0.21741884679578125
REGION1,FIGOCVPH2,2026,0.6476933891080583
REGION1,FIGOCVPH2,2027,0.6467581195332757
REGION1,FIGOCVPH2,2028,0.6458097004540766
REGION1,FIGOCVPH2,2029,0.6448639295343636
REGION1,FIGOCVPH2,2030,0.6438982036316486
REGION1,FIGOCVPH2,2031,1.0705376036397205
REGION1,FIGOCVPH2,2032,1.0716494662799687
REGION1,FIGOCVPH2,2033,1.0727333572653222
REGION1,FIGOCVPH2,2034,1.073846851228099
REGION1,FIGOCVPH2,2035,1.0749254787572309
REGION1,FIGOCVPH2,2036,0.4422082803001056
REGION1,FIGOCVPH2,2037,0.4426838303662364
REGION1,FIGOCVPH2,2038,0.4431354607558944
REGION1,FIGOCVPH2,2039,0.44358639829093327
REGION1,FIGOCVPH2,2040,0.4440105720066208
REGION1,FIGOCVPH2,2041,0.4434649438146014
REGION1,FIGOCVPH2,2042,0.4438399613854756
REGION1,FIGOCVPH2,2043,0.44423943266221966
REGION1,FIGOCVPH2,2044,0.4445868244743317
REGION1,FIGOCVPH2,2045,0.4449600405237083
REGION1,FIGOCVPH2,2046,0.23645050324717456
REGION1,FIGOCVPH2,2047,0.23662306608084224
REGION1,FIGOCVPH2,2048,0.23684505920507523
REGION1,FIGOCVPH2,2049,0.23701617461132607
REGION1,FIGOCVPH2,2050,0.237237369089014
REGION1,FIGOCVPH2,2051,0.1602265755420222
REGION1,FIGOCVPH2,2052,0.16199003526219413
REGION1,FIGOCVPH2,2053,0.16378369488504124
REGION1,FIGOCVPH2,2054,0.1656076755115661
REGION1,FIGOCVPH2,2055,0.16742363184768302
REGION1,FIGOCVPH2,2056,0.16921881225556895
REGION1,FIGOCVPH2,2057,0.17110750787204318
REGION1,FIGOCVPH2,2058,0.17302690455460756
REGION1,FIGOCVPH2,2059,0.17492702220178658
REGION1,FIGOCVPH2,2060,0.17681710124379452
REGION1,FIHFCHPH3,2022,1185.143133099175
REGION1,FIHFCHPH3,2023,926.2926343219841
REGION1,FIHFCHPH3,2024,210.9462635081221
REGION1,FIHFCHPH3,2025,107.14306219912086
REGION1,FIHFCHPH3,2026,8.951574782664826
REGION1,FIHFCHPH3,2027,464.4801774857946
REGION1,FIHFCHPH3,2028,16.764159018189147
REGION1,FIHFCHPH3,2029,570.5896474256633
REGION1,FIHFCHPH3,2031,209.28795582843097
REGION1,FIHFCHPH3,2032,534.2394740171025
REGION1,FIHFCHPH3,2034,13.01928440860296
REGION1,FIHFCHPH3,2047,446.37203788101897
REGION1,FIHFCHPH3,2048,677.0304351471747
REGION1,FIHFCHPH3,2052,588.9213072888355
REGION1,FIHFCHPH3,2053,92.10876582725886
REGION1,FIHFCHPH3,2054,647.6479535316138
REGION1,FIHFCHPH3,2055,16.03423817529866
REGION1,FIHFCHPH3,2056,251.17784201875128
REGION1,FIHFCHPH3,2057,581.6964248025904
REGION1,FIHFCHPH3,2058,48.6045861663283
REGION1,FIHFCHPH3,2059,65.33817881437352
REGION1,FIHFCHPH3,2060,51.75974670638165
REGION1,FIHYDMPH3,2022,2479.457403393087
REGION1,FIHYDMPH3,2028,380.579979849818
REGION1,FIHYDMPH3,2030,916.7303886996684
REGION1,FIHYDMPH3,2032,239.96024970580947
REGION1,FIHYDMPH3,2033,45.95551508122202
REGION1,FIHYDMPH3,2034,364.4861404775151
REGION1,FIHYDMPH3,2035,329.0861608529064
REGION1,FIHYDMPH3,2036,149.758064970573
REGION1,FIHYDMPH3,2037,361.9769415176463
REGION1,FIHYDMPH3,2038,75.57977697057382
REGION1,FIHYDMPH3,2039,295.34361297059473
REGION1,FIHYDMPH3,2040,344.83919911763405
REGION1,FIHYDMPH3,2041,42.14553175648525
REGION1,FIHYDMPH3,2042,246.84943486006503
REGION1,FIHYDMPH3,2043,183.26831560000585
REGION1,FIHYDMPH3,2044,32.857011599991665
REGION1,FIHYDMPH3,2045,278.9291300000113
REGION1,FIHYDMPH3,2046,82.98393257809582
REGION1,FIHYDMPH3,2047,163.24584876962552
REGION1,FIHYDMPH3,2048,82.94767922178934
REGION1,FIHYDMPH3,2049,94.8327542304584
REGION1,FIHYDMPH3,2050,81.25319734817904
REGION1,FIHYDMPH3,2051,318.1628975192976
